sentence_id,company_id,company_name,report_year,section,sentence_text,matched_surface_forms,matched_core_ids,matched_pattern_ids,candidate_labels,dedup_key,specific_technology_labels,product_labels,ai_general_anchor,company_attribution,status_code,max_embedding_similarity,rule_confidence,final_confidence,is_candidate,evidence_terms,notes,source_file,pdf_page,report_page,subheading,text_type,original_sentence_id,embedding_pass_labels,embedding_review_labels,embedding_score_summary
CAND-00011,000997.SZ,新大陆,2025,业务概要,新大陆软件公司是通信行业领先的数智化资产建设服务运营商，以新一代数智化云原生业务系统为平台全栈产品线提供支撑，主要在运营商领域为客户提供企业级大数据、云计算、人工智能等平台、产品、服务，以及业务运营、网络支撑等方面的行业数智化解决方案。,人工智能,AIFT-001,ALS-0001,AI_GENERAL,MDAF0000243+AI_GENERAL,,,1,COMPANY,,0.371705,0.6,0.6,1,人工智能,,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,3,13,2、电信运营商数字化服务,正文,MDAF0000243,,AI_GENERAL,AI_GENERAL=0.3717/-0.0198
CAND-00012,000997.SZ,新大陆,2025,核心竞争力,上述交叉优势进而推动了公司将AI 能力推向行业数字化建设，在商户运营、政务服务、智慧交通、数字身份安全等应用场景中逐渐显现，全方位赋能线下商业场景、制造业等领域的数字化转型升级。,AI,AIFT-001,ALS-0002,AI_GENERAL,MDAF0000245+AI_GENERAL,,,1,COMPANY,APPLIED,0.424623,0.65,0.65,1,AI,,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,7,17,3、多元场景和核心数据处理能力的交叉优势。公司一方面在长期经营中积累了人脸识别、条码识读、,正文,MDAF0000245,,AI_GENERAL,AI_GENERAL=0.4246/-0.0728
CAND-00013,000997.SZ,新大陆,2025,核心竞争力,息智能处理等产业环节中，尤其是数字支付、智能感知识别领域拥有全系列产品和软硬件创新能力，同时伴随人工智能等技术的演进，公司加码AI 算法，通过云侧和边缘侧结合，在全系智能终端上形成边缘侧算法优势，建立分布式算力能力，赋能产业数字化。,人工智能; AI,AIFT-001,ALS-0001; ALS-0002,AI_GENERAL,MDAF0000252+AI_GENERAL,,,1,COMPANY,WEAK_GENERIC,0.413001,0.6,0.6,1,人工智能; AI,,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,7,17,2、端边一体化能力。公司依靠自主创新形成的产业核心技术，在物联网的信息识读、信息传输、信,正文,MDAF0000252,,AI_GENERAL,AI_GENERAL=0.4130/-0.0281
CAND-00014,000997.SZ,新大陆,2025,研发投入,主要研发项目名称：人工智能赋能的高端智能支付系统软件研发。,人工智能; 智能支付,AIFT-001; AIFT-238,ALS-0001; ALS-0963,AI_GENERAL; PRODUCT_PAYMENT,MDAF0000287+PRODUCT_PAYMENT,,PRODUCT_PAYMENT,1,UNKNOWN,R_AND_D,0.459761,0.6,0.6,1,人工智能; 智能支付,,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,18,28,,表格行,MDAF0000287,,AI_GENERAL;PRODUCT_PAYMENT,AI_GENERAL=0.4598/0.0894; PRODUCT_PAYMENT=0.4126/-0.0060
CAND-00015,000997.SZ,新大陆,2025,研发投入,主要研发项目名称：商户AI 智能审核平台。,AI,AIFT-001,ALS-0002,AI_GENERAL,MDAF0000288+AI_GENERAL,,,1,UNKNOWN,R_AND_D,0.438139,0.6,0.6,1,AI,,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,18,28,,表格行,MDAF0000288,,AI_GENERAL,AI_GENERAL=0.4381/0.0755
CAND-00016,000997.SZ,新大陆,2025,研发投入,主要研发项目名称：基于银联一体化终端安全规范与开放生态的技术创新下的智能支付终端系统研发。,智能支付,AIFT-238,ALS-0963,PRODUCT_PAYMENT,MDAF0000289+PRODUCT_PAYMENT,,PRODUCT_PAYMENT,0,UNKNOWN,R_AND_D,0.459362,0.25,0.25,1,智能支付,anchor未满足,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,18,28,,表格行,MDAF0000289,,PRODUCT_PAYMENT,PRODUCT_PAYMENT=0.4594/0.0075
CAND-00017,000997.SZ,新大陆,2025,研发投入,拟达到的目标：构筑公司智能支付核心技术壁垒。,智能支付,AIFT-238,ALS-0963,PRODUCT_PAYMENT,MDAF0000302+PRODUCT_PAYMENT,,PRODUCT_PAYMENT,0,COMPANY,,0.476969,0.1,0.1,1,智能支付,anchor未满足；仅弱词无锚点,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,18,28,,表格行,MDAF0000302,,PRODUCT_PAYMENT,PRODUCT_PAYMENT=0.4770/0.0504
CAND-00018,000997.SZ,新大陆,2025,研发投入,项目目的：开发安全合规的智能支付终端。,智能支付,AIFT-238,ALS-0963,PRODUCT_PAYMENT,MDAF0000304+PRODUCT_PAYMENT,,PRODUCT_PAYMENT,0,UNKNOWN,R_AND_D,0.48941,0.25,0.25,1,智能支付,anchor未满足,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,18,28,,表格行,MDAF0000304,,PRODUCT_PAYMENT,PRODUCT_PAYMENT=0.4894/0.0468
CAND-00019,000997.SZ,新大陆,2025,研发投入,项目目的：构建 AI 驱动的智能支付核心。,AI; 智能支付,AIFT-001; AIFT-238,ALS-0002; ALS-0963,AI_GENERAL; PRODUCT_PAYMENT,MDAF0000307+PRODUCT_PAYMENT,,PRODUCT_PAYMENT,1,UNKNOWN,R_AND_D,0.486828,0.6,0.6,1,AI; 智能支付,,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,18,28,,表格行,MDAF0000307,,AI_GENERAL;PRODUCT_PAYMENT,PRODUCT_PAYMENT=0.4868/0.0548; AI_GENERAL=0.4383/0.0487
CAND-00020,000997.SZ,新大陆,2025,研发投入,预计对公司未来发展的影响：提升数字商业板块智能风控能力。,智能风控,AIFT-173,ALS-0701,PRODUCT_CREDIT,MDAF0000313+PRODUCT_CREDIT,,PRODUCT_CREDIT,0,COMPANY,,0.532923,0.95,0.95,1,智能风控,,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,18,28,,表格行,MDAF0000313,,PRODUCT_CREDIT,PRODUCT_CREDIT=0.5329/0.1845
CAND-00021,002537.SZ,海联金汇,2025,核心竞争力,在合同评审环节，通过AI 辅助信息提取、智能比对及自动处理，相关业务流程效率提升近40%；在办公协同环节，依托AI 办公模块实现智能文档、会议纪要自动生成等，大幅减少员工重复性、机械性的文案工作，提升办公效率；在数据分析环节，通过落实智能报表建设，覆盖采购、生产、销售等关键节点，数据处理与经营分析能力得以提升，“数智化”水平不断提高。,AI,AIFT-001,ALS-0002,AI_GENERAL,MDAF0000449+AI_GENERAL,,,1,UNKNOWN,COMMERCIAL,0.429236,0.6,0.6,1,AI,,002537.SZ_海联金汇_2025_管理层讨论与分析.pdf,7,16,（四）深化AI 技术应用赋能，智能驱动、管理提效,正文,MDAF0000449,,AI_GENERAL,AI_GENERAL=0.4292/0.0491
CAND-00022,002537.SZ,海联金汇,2025,核心竞争力,在数字化转型升级过程中，公司积极推动AI 技术与业务场景深度融合，围绕合同评审、办公协同、数据分析等环节全面落地智能应用，助力管理提效。,AI,AIFT-001,ALS-0002,AI_GENERAL,MDAF0000450+AI_GENERAL,,,1,COMPANY,APPLIED,0.484803,0.65,0.65,1,AI,,002537.SZ_海联金汇_2025_管理层讨论与分析.pdf,7,16,（四）深化AI 技术应用赋能，智能驱动、管理提效,正文,MDAF0000450,,AI_GENERAL,AI_GENERAL=0.4848/0.0256
CAND-00023,002537.SZ,海联金汇,2025,研发投入,与模具传热学原理，开发分区精准控温与流量动态平衡技术，实现对复杂形状模具冷却速率的精确控制：1.个性化上行路由技术：通过创建智能路由表，实现上行短信的精准分发，显著提升处理效率； 2.共享黑名单智能管理：构建支持亿级数据量的黑名单库，实现短信内容的实时智能过滤； 3.多维度短信内容审核：结合白模板、黑模板与人工审核流程，确保短信内容的。,智能路由,AIFT-241,ALS-0975,PRODUCT_PAYMENT,MDAF0000480+PRODUCT_PAYMENT,,PRODUCT_PAYMENT,0,UNKNOWN,R_AND_D,0.452808,0.25,0.25,1,智能路由,anchor未满足,002537.SZ_海联金汇_2025_管理层讨论与分析.pdf,13,22,,表格行,MDAF0000480,,PRODUCT_PAYMENT,PRODUCT_PAYMENT=0.4528/0.1091
CAND-00024,002537.SZ,海联金汇,2025,研发投入,与模具传热学原理，开发分区精准控温与流量动态平衡技术，实现对复杂形状模具冷却速率的精确控制：采用最新的高功率光纤激光器技术，能量利用率高、切割速度快，满足工业化生产的需求；结合人工智能和机器人技术，实现全自动化的切割和上下料过程，减少人工干预，提高生产效率。,人工智能,AIFT-001,ALS-0001,AI_GENERAL,MDAF0000508+AI_GENERAL,,,1,UNKNOWN,R_AND_D,0.32174,0.6,0.6,1,人工智能,,002537.SZ_海联金汇_2025_管理层讨论与分析.pdf,13,22,,表格行,MDAF0000508,,AI_GENERAL,AI_GENERAL=0.3217/0.1043
CAND-00025,002647.SZ,仁东控股,2025,业务概要,经过不断地丰富和发展，目前合利宝业务涵盖智慧零售、金融科技、跨境支付、电商文化、旅游出行、教育考试等多个领域，推出了多种创新扫码支付产品，比如智能POS 机、4G 云音响、4G 语音台卡、立牌、贴纸等，智慧支付解决方案已聚合多种支付渠道，涵盖支付宝、微信、云闪付等多种支付方式，能够满足消费者多样化的付款需求，显著提高商家收银效率，为数百万商户提供可靠的支付及增值服务，交易额稳居头部，是国内领先的第三方支付机构。,智慧支付,AIFT-238,ALS-0965,PRODUCT_PAYMENT,MDAF0000521+PRODUCT_PAYMENT,,PRODUCT_PAYMENT,0,UNKNOWN,APPLIED,0.437155,0.25,0.25,1,智慧支付,anchor未满足,002647.SZ_仁东控股_2025_管理层讨论与分析.pdf,1,10,,正文,MDAF0000521,,PRODUCT_PAYMENT,PRODUCT_PAYMENT=0.4372/-0.1049
CAND-00026,002647.SZ,仁东控股,2025,业务概要,公司秉承“支付赋能产业，AI 引领未来”的战略愿景，构建智能科技生态闭环，打造共生、共创、共享的智能科技产业生态。,AI,AIFT-001,ALS-0002,AI_GENERAL,MDAF0000527+AI_GENERAL,,,1,COMPANY,R_AND_D,0.427871,0.65,0.65,1,AI,,002647.SZ_仁东控股_2025_管理层讨论与分析.pdf,2,11,5、积极谋划业务第二增长曲线,正文,MDAF0000527,,AI_GENERAL,AI_GENERAL=0.4279/0.0613
CAND-00027,002647.SZ,仁东控股,2025,核心竞争力,为满足客户便捷化的服务需求，合利宝智能客户系统实现全新升级，能自主优化系统流程，提升人机协作水平，准确理解用户需求并解决问题，目前合利宝已搭建包括智能客服系统、人工客服等在内的全新多元化客服载体，随时对用户发起的提问做出响应。,智能客服,AIFT-204,ALS-0826,PRODUCT_CUSTOMER,MDAF0000537+PRODUCT_CUSTOMER,,PRODUCT_CUSTOMER,0,UNKNOWN,R_AND_D,0.452369,0.95,0.95,1,智能客服,,002647.SZ_仁东控股_2025_管理层讨论与分析.pdf,3,12,3、产品及服务优势。合利宝针对不同行业的商户，按需定制个性化的智慧经营解决方案，围绕产业支付需求，提供,正文,MDAF0000537,,PRODUCT_CUSTOMER,PRODUCT_CUSTOMER=0.4524/0.1057
CAND-00028,002647.SZ,仁东控股,2025,研发投入,争护城河：依据客户的需求，融合智能算法，持续优化最优换汇策略模型，为客户提供一站式、低成本、多元化的外汇解决方案，全面提升资金运营效率与体验。,智能算法,AIFT-001,ALS-0006,AI_GENERAL,MDAF0000563+AI_GENERAL,,,1,UNKNOWN,R_AND_D,0.29817,0.6,0.6,1,智能算法,,002647.SZ_仁东控股_2025_管理层讨论与分析.pdf,8,17,,表格行,MDAF0000563,,AI_GENERAL,AI_GENERAL=0.2982/0.0135
CAND-00029,002647.SZ,仁东控股,2025,研发投入,争护城河：基于大数据构建智能化、系统化的风控机制，聚焦于事前智能化风险评估与事后系统化交易核验，并结合事中多维度风控模型，形成覆盖交易全流程、智能化的风险监测体系。,系统化交易,AIFT-217,ALS-0881,PRODUCT_INVEST,MDAF0000569+PRODUCT_INVEST,,PRODUCT_INVEST,0,UNKNOWN,R_AND_D,0.490778,0.25,0.25,1,系统化交易,anchor未满足,002647.SZ_仁东控股_2025_管理层讨论与分析.pdf,8,17,,表格行,MDAF0000569,,PRODUCT_INVEST,PRODUCT_INVEST=0.4908/0.0850
CAND-00030,002647.SZ,仁东控股,2025,研发投入,争护城河：打造一个全线上化、 智能化的商户自助注册与身份认证平台， 支持多语言、多证件类型识别与自动校验，简化入驻流程， 提升审核效率，帮助中小型企业快速完成入网并开展业务，降低人工介入与操作成本。,身份认证,AIFT-195,ALS-0792,PRODUCT_FRAUD,MDAF0000574+PRODUCT_FRAUD,,PRODUCT_FRAUD,0,UNKNOWN,WEAK_GENERIC,0.487386,0.1,0.1,1,身份认证,anchor未满足；仅弱词无锚点,002647.SZ_仁东控股_2025_管理层讨论与分析.pdf,8,17,,表格行,MDAF0000574,,PRODUCT_FRAUD,PRODUCT_FRAUD=0.4874/0.1143
CAND-00031,002657.SZ,中科金财,2025,业务概要,公司AI 业务流程智能体原生平台通过国家工业信息安全发展研究中心软件所“软件智能化成熟度等级”测评，在智能理解与生成、智能交互、智能分析与决策、智能检索与智能集成这五方面均满足三级能力要求。,AI; 智能检索; 智能体,AIFT-001; AIFT-049; AIFT-128,ALS-0002; ALS-0200; ALS-0523,AI_GENERAL; TECH_NLP,MDAF0000620+TECH_NLP,TECH_NLP,,1,COMPANY,WEAK_GENERIC,0.502281,0.8,0.8,1,AI; 智能检索; 智能体,,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1,10,（一）人工智能综合服务,正文,MDAF0000620,,AI_GENERAL;TECH_NLP,AI_GENERAL=0.5023/0.1002; TECH_NLP=0.4112/0.0852
CAND-00032,002657.SZ,中科金财,2025,业务概要,公司与阿里云、百度、火山引擎等头部厂商建立了稳固共赢的生态合作，合作范围覆盖基础设施、平台工具、产品实施、场景交付全链条服务，解决方案及应用更趋多元丰富，覆盖AI 原生智能体平台、知识库、智能营销、智能问数、全流程智能贷款、手机银行、OCR、客户画像等核心场景，合作客户覆盖股份制、城商行、农商农信、证券、保险等金融机构。,AI; OCR; 智能体; 客户画像; 智能营销,AIFT-001; AIFT-079; AIFT-128; AIFT-206; AIFT-208,ALS-0002; ALS-0326; ALS-0523; ALS-0835; ALS-0844,AI_GENERAL; PRODUCT_CUSTOMER; TECH_CV; TECH_LLM,MDAF0000621+TECH_CV,TECH_CV; TECH_LLM,PRODUCT_CUSTOMER,1,COMPANY,COMMERCIAL,0.552056,0.85,0.85,1,AI; OCR; 智能体; 客户画像; 智能营销,,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1,10,（一）人工智能综合服务,正文,MDAF0000621,,AI_GENERAL;PRODUCT_CUSTOMER;TECH_CV;TECH_LLM,TECH_LLM=0.5521/0.2305; AI_GENERAL=0.4325/0.0239; PRODUCT_CUSTOMER=0.4274/0.1163; TECH_CV=0.4117/0.1652
CAND-00033,002657.SZ,中科金财,2025,业务概要,公司坚守AI-Native 技术设计理念，以本体构建、语义模型研发为核心技术架构，整合动力层与动态层形成完善技术框架，着力推动业务与技术的深度融合，全力搭建从底层架构、交互逻辑到应用场景均以AI 为核心进行重构的人工智能服务链条。,人工智能; AI,AIFT-001,ALS-0001; ALS-0002,AI_GENERAL,MDAF0000622+AI_GENERAL,,,1,COMPANY,APPLIED,0.494012,0.65,0.65,1,人工智能; AI,,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1,10,（一）人工智能综合服务,正文,MDAF0000622,,AI_GENERAL,AI_GENERAL=0.4940/0.0613
CAND-00034,002657.SZ,中科金财,2025,业务概要,公司建立了多层次生态合作模式，覆盖AI 全产业链合作。,AI,AIFT-001,ALS-0002,AI_GENERAL,MDAF0000623+AI_GENERAL,,,1,COMPANY,,0.427991,0.6,0.6,1,AI,,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1,10,（一）人工智能综合服务,正文,MDAF0000623,,AI_GENERAL,AI_GENERAL=0.4280/0.0396
CAND-00035,002657.SZ,中科金财,2025,业务概要,公司立足于全球AI 发展前沿，与国际国内AI 领域各龙头企业建立广泛联系与合作，保持科技的领先性和业务的前瞻性，坚持大客户战略，加大研发投入，进一步推动AI 技术在垂类行业的落地。,AI,AIFT-001,ALS-0002,AI_GENERAL,MDAF0000625+AI_GENERAL,,,1,COMPANY,APPLIED,0.476877,0.65,0.65,1,AI,,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1,10,（一）人工智能综合服务,正文,MDAF0000625,,AI_GENERAL,AI_GENERAL=0.4769/-0.0030
CAND-00036,002657.SZ,中科金财,2025,业务概要,公司遵循国家数字经济发展方向，以数字科技为切入点，围绕金融机构、政府与公共事业、企业等客户群体，提供人工智能综合服务、金融科技综合服务和数据中心综合服务，通过科技赋能帮助客户实现新一轮数字化、智能化升级。,人工智能,AIFT-001,ALS-0001,AI_GENERAL,MDAF0000626+AI_GENERAL,,,1,COMPANY,R_AND_D,0.494632,0.65,0.65,1,人工智能,,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1,10,,正文,MDAF0000626,,AI_GENERAL,AI_GENERAL=0.4946/0.0076
CAND-00037,002657.SZ,中科金财,2025,业务概要,在生态合作方面，公司构建了“头部AI 厂商合作＋小B 协同赋能”双轮驱动的生态体系，整合行业上下游，形成“理论研究—技术研发—场景适配—项目交付—价值变现”全链条闭环。,AI,AIFT-001,ALS-0002,AI_GENERAL,MDAF0000627+AI_GENERAL,,,1,COMPANY,COMMERCIAL,0.421033,0.65,0.65,1,AI,,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1,10,（一）人工智能综合服务,正文,MDAF0000627,,AI_GENERAL,AI_GENERAL=0.4210/0.0444
CAND-00038,002657.SZ,中科金财,2025,业务概要,截至目前，公司在人工智能领域累计获得《基于大模型的本体建模平台V1.0》《基于本体的智能问数平台V1.0》《AI 业务流程智能体原生平台V1.0》《多模态大模型数据集及数据管理平台V1.0》《银行大模型应用及大模型管理平台 V1.0》《多模态AI 视频工具平台 V1.0》等178项软件著作权、13项发明专利。,人工智能; AI; 本体建模; 多模态大模型; 智能体; 建模平台; 模型管理平台; 大模型,AIFT-001; AIFT-103; AIFT-116; AIFT-128; AIFT-149; AIFT-153,ALS-0001; ALS-0002; ALS-0422; ALS-0475; ALS-0523; ALS-0608; ALS-0621; ANCHOR:大模型,AI_ENGINEERING; AI_GENERAL; TECH_KG; TECH_LLM,MDAF0000628+TECH_KG,TECH_KG; TECH_LLM,,1,COMPANY,APPLIED,0.518413,0.85,0.85,1,人工智能; AI; 本体建模; 多模态大模型; 智能体; 建模平台; 模型管理平台; 大模型,,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1,10,（一）人工智能综合服务,正文,MDAF0000628,,AI_ENGINEERING;AI_GENERAL;TECH_KG;TECH_LLM,AI_GENERAL=0.5184/0.1142; AI_ENGINEERING=0.4913/0.2347; TECH_LLM=0.4609/0.0283; TECH_KG=0.3087/0.0812
CAND-00039,002657.SZ,中科金财,2025,业务概要,"报告期内，公司人工智能综合服务业务结构优化，人工智能综合服务营业收入217,938,046.6元，较上年同期上升7.27%；毛利额72,903,446.12元，较上年同期上升69.58%；毛利率33.45%，较上年同期提升12.29个百分点，销售合同签订金额270,151,625.85元，续签客户数量达77.48%。",人工智能,AIFT-001,ALS-0001,AI_GENERAL,MDAF0000629+AI_GENERAL,,,1,COMPANY,COMMERCIAL,0.362244,0.65,0.65,1,人工智能,,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1,10,（一）人工智能综合服务,正文,MDAF0000629,,AI_GENERAL,AI_GENERAL=0.3622/0.0196
CAND-00040,002657.SZ,中科金财,2025,业务概要,报告期内，公司在AI 本体应用、AI Agent 等方向投入研发，并形成解决方案。,AI; Agent; AI Agent,AIFT-001; AIFT-128; AIFT-129,ALS-0002; ALS-0524; ALS-0529,AI_GENERAL; TECH_LLM,MDAF0000630+TECH_LLM,TECH_LLM,,1,COMPANY,APPLIED,0.521308,0.85,0.85,1,AI; Agent; AI Agent,,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1,10,（一）人工智能综合服务,正文,MDAF0000630,,AI_GENERAL;TECH_LLM,AI_GENERAL=0.5213/0.0641; TECH_LLM=0.4254/0.0143
CAND-00041,002657.SZ,中科金财,2025,业务概要,报告期内，公司深度聚焦银行智能化转型需求，持续打造和增强覆盖银行前、中、后台的全链路智能银行解决方案，在数据治理、软件开发与维护、数据库建设等领域落地项目，以数据为驱动，以智能化为引擎，助力银行突破传统服务边界，实现效率提升、风险可控与业务创新的协同发展。,数据治理,AIFT-168,ALS-0681,AI_ENGINEERING,MDAF0000638+AI_ENGINEERING,,,0,COMPANY,APPLIED,0.424769,0.3,0.3,1,数据治理,anchor未满足,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,2,11,（二）金融科技综合服务,正文,MDAF0000638,,AI_ENGINEERING,AI_ENGINEERING=0.4248/0.0613
