sentence_id,candidate_label,positive_similarity,positive_prototype_id,positive_prototype_text,hard_negative_similarity,hard_negative_prototype_id,hard_negative_prototype_text,semantic_margin,positive_threshold,margin_threshold,embedding_pass,sentence_text,company_id,company_name,report_year,section,company_attribution,status_code,rule_confidence,source_file,pdf_page
CAND-00010,TECH_LLM,0.476305,PRO-036,公司基于金融语料微调大语言模型，用于研报摘要和问答。,0.454106,PRO-040,公司列举了多个大模型品牌，但未披露任何接入或应用行为。,0.022199,0.72,0.08,0,主要产品线包括一揽子大模型解决方案、大数据框架平台等基础产品和业务系统，同时提供相关系统的咨询、运营、集成、维护和第三方测试等服务，产品和服务涵盖电信运营商业务支撑服务域和网络支撑运营服务域的核心环节。,000997.SZ,新大陆,2025,业务概要,UNKNOWN,R_AND_D,0.8,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,3
CAND-00011,AI_GENERAL,0.371705,PRO-201,本集团已将AI能力接入多个业务平台，但未披露具体模型架构。,0.391481,PRO-203,人工智能正在推动金融行业数字化转型。,-0.019775,0.72,0.08,0,新大陆软件公司是通信行业领先的数智化资产建设服务运营商，以新一代数智化云原生业务系统为平台全栈产品线提供支撑，主要在运营商领域为客户提供企业级大数据、云计算、人工智能等平台、产品、服务，以及业务运营、网络支撑等方面的行业数智化解决方案。,000997.SZ,新大陆,2025,业务概要,COMPANY,,0.6,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,3
CAND-00012,AI_GENERAL,0.424623,PRO-201,本集团已将AI能力接入多个业务平台，但未披露具体模型架构。,0.497441,PRO-203,人工智能正在推动金融行业数字化转型。,-0.072818,0.72,0.08,0,上述交叉优势进而推动了公司将AI 能力推向行业数字化建设，在商户运营、政务服务、智慧交通、数字身份安全等应用场景中逐渐显现，全方位赋能线下商业场景、制造业等领域的数字化转型升级。,000997.SZ,新大陆,2025,核心竞争力,COMPANY,APPLIED,0.65,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,7
CAND-00013,AI_GENERAL,0.413001,PRO-202,公司部署智能体执行多步骤业务任务，但未披露大模型或强化学习技术。,0.441066,PRO-203,人工智能正在推动金融行业数字化转型。,-0.028065,0.72,0.08,0,息智能处理等产业环节中，尤其是数字支付、智能感知识别领域拥有全系列产品和软硬件创新能力，同时伴随人工智能等技术的演进，公司加码AI 算法，通过云侧和边缘侧结合，在全系智能终端上形成边缘侧算法优势，建立分布式算力能力，赋能产业数字化。,000997.SZ,新大陆,2025,核心竞争力,COMPANY,WEAK_GENERIC,0.6,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,7
CAND-00014,AI_GENERAL,0.459761,PRO-200,公司正在推进人工智能技术在金融业务中的研发和应用。,0.370328,PRO-203,人工智能正在推动金融行业数字化转型。,0.089433,0.72,0.08,0,主要研发项目名称：人工智能赋能的高端智能支付系统软件研发。,000997.SZ,新大陆,2025,研发投入,UNKNOWN,R_AND_D,0.6,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,18
CAND-00014,PRODUCT_PAYMENT,0.412633,PRO-077,智能路由系统根据成功率、成本和风险选择支付通道。,0.418585,PRO-080,支付系统按照固定优先级选择通道。,-0.005952,0.72,0.08,0,主要研发项目名称：人工智能赋能的高端智能支付系统软件研发。,000997.SZ,新大陆,2025,研发投入,UNKNOWN,R_AND_D,0.6,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,18
CAND-00015,AI_GENERAL,0.438139,PRO-200,公司正在推进人工智能技术在金融业务中的研发和应用。,0.362631,PRO-204,公司名称或英文单词内部包含字母AI，但不存在独立AI术语。,0.075507,0.72,0.08,0,主要研发项目名称：商户AI 智能审核平台。,000997.SZ,新大陆,2025,研发投入,UNKNOWN,R_AND_D,0.6,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,18
CAND-00016,PRODUCT_PAYMENT,0.459362,PRO-077,智能路由系统根据成功率、成本和风险选择支付通道。,0.451836,PRO-080,支付系统按照固定优先级选择通道。,0.007526,0.72,0.08,0,主要研发项目名称：基于银联一体化终端安全规范与开放生态的技术创新下的智能支付终端系统研发。,000997.SZ,新大陆,2025,研发投入,UNKNOWN,R_AND_D,0.25,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,18
CAND-00017,PRODUCT_PAYMENT,0.476969,PRO-077,智能路由系统根据成功率、成本和风险选择支付通道。,0.426528,PRO-080,支付系统按照固定优先级选择通道。,0.050441,0.72,0.08,0,拟达到的目标：构筑公司智能支付核心技术壁垒。,000997.SZ,新大陆,2025,研发投入,COMPANY,,0.1,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,18
CAND-00018,PRODUCT_PAYMENT,0.48941,PRO-077,智能路由系统根据成功率、成本和风险选择支付通道。,0.442616,PRO-079,公司提供二维码支付和账户结算服务。,0.046794,0.72,0.08,0,项目目的：开发安全合规的智能支付终端。,000997.SZ,新大陆,2025,研发投入,UNKNOWN,R_AND_D,0.25,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,18
CAND-00019,AI_GENERAL,0.438302,PRO-200,公司正在推进人工智能技术在金融业务中的研发和应用。,0.389619,PRO-203,人工智能正在推动金融行业数字化转型。,0.048683,0.72,0.08,0,项目目的：构建 AI 驱动的智能支付核心。,000997.SZ,新大陆,2025,研发投入,UNKNOWN,R_AND_D,0.6,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,18
CAND-00019,PRODUCT_PAYMENT,0.486828,PRO-077,智能路由系统根据成功率、成本和风险选择支付通道。,0.431998,PRO-080,支付系统按照固定优先级选择通道。,0.054831,0.72,0.08,0,项目目的：构建 AI 驱动的智能支付核心。,000997.SZ,新大陆,2025,研发投入,UNKNOWN,R_AND_D,0.6,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,18
CAND-00020,PRODUCT_CREDIT,0.532923,PRO-051,公司推出智能授信产品，利用机器学习评估小微企业信用风险。,0.348456,PRO-054,公司按照内部制度开展常规信用风险评估。,0.184467,0.72,0.08,0,预计对公司未来发展的影响：提升数字商业板块智能风控能力。,000997.SZ,新大陆,2025,研发投入,COMPANY,,0.95,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,18
CAND-00021,AI_GENERAL,0.429236,PRO-202,公司部署智能体执行多步骤业务任务，但未披露大模型或强化学习技术。,0.380154,PRO-203,人工智能正在推动金融行业数字化转型。,0.049082,0.72,0.08,0,在合同评审环节，通过AI 辅助信息提取、智能比对及自动处理，相关业务流程效率提升近40%；在办公协同环节，依托AI 办公模块实现智能文档、会议纪要自动生成等，大幅减少员工重复性、机械性的文案工作，提升办公效率；在数据分析环节，通过落实智能报表建设，覆盖采购、生产、销售等关键节点，数据处理与经营分析能力得以提升，“数智化”水平不断提高。,002537.SZ,海联金汇,2025,核心竞争力,UNKNOWN,COMMERCIAL,0.6,002537.SZ_海联金汇_2025_管理层讨论与分析.pdf,7
CAND-00022,AI_GENERAL,0.484803,PRO-200,公司正在推进人工智能技术在金融业务中的研发和应用。,0.459193,PRO-203,人工智能正在推动金融行业数字化转型。,0.02561,0.72,0.08,0,在数字化转型升级过程中，公司积极推动AI 技术与业务场景深度融合，围绕合同评审、办公协同、数据分析等环节全面落地智能应用，助力管理提效。,002537.SZ,海联金汇,2025,核心竞争力,COMPANY,APPLIED,0.65,002537.SZ_海联金汇_2025_管理层讨论与分析.pdf,7
CAND-00023,PRODUCT_PAYMENT,0.452808,PRO-077,智能路由系统根据成功率、成本和风险选择支付通道。,0.343665,PRO-080,支付系统按照固定优先级选择通道。,0.109143,0.72,0.08,0,与模具传热学原理，开发分区精准控温与流量动态平衡技术，实现对复杂形状模具冷却速率的精确控制：1.个性化上行路由技术：通过创建智能路由表，实现上行短信的精准分发，显著提升处理效率； 2.共享黑名单智能管理：构建支持亿级数据量的黑名单库，实现短信内容的实时智能过滤； 3.多维度短信内容审核：结合白模板、黑模板与人工审核流程，确保短信内容的。,002537.SZ,海联金汇,2025,研发投入,UNKNOWN,R_AND_D,0.25,002537.SZ_海联金汇_2025_管理层讨论与分析.pdf,13
CAND-00024,AI_GENERAL,0.32174,PRO-202,公司部署智能体执行多步骤业务任务，但未披露大模型或强化学习技术。,0.217432,PRO-204,公司名称或英文单词内部包含字母AI，但不存在独立AI术语。,0.104308,0.72,0.08,0,与模具传热学原理，开发分区精准控温与流量动态平衡技术，实现对复杂形状模具冷却速率的精确控制：采用最新的高功率光纤激光器技术，能量利用率高、切割速度快，满足工业化生产的需求；结合人工智能和机器人技术，实现全自动化的切割和上下料过程，减少人工干预，提高生产效率。,002537.SZ,海联金汇,2025,研发投入,UNKNOWN,R_AND_D,0.6,002537.SZ_海联金汇_2025_管理层讨论与分析.pdf,13
CAND-00025,PRODUCT_PAYMENT,0.437155,PRO-077,智能路由系统根据成功率、成本和风险选择支付通道。,0.54201,PRO-079,公司提供二维码支付和账户结算服务。,-0.104856,0.72,0.08,0,经过不断地丰富和发展，目前合利宝业务涵盖智慧零售、金融科技、跨境支付、电商文化、旅游出行、教育考试等多个领域，推出了多种创新扫码支付产品，比如智能POS 机、4G 云音响、4G 语音台卡、立牌、贴纸等，智慧支付解决方案已聚合多种支付渠道，涵盖支付宝、微信、云闪付等多种支付方式，能够满足消费者多样化的付款需求，显著提高商家收银效率，为数百万商户提供可靠的支付及增值服务，交易额稳居头部，是国内领先的第三方支付机构。,002647.SZ,仁东控股,2025,业务概要,UNKNOWN,APPLIED,0.25,002647.SZ_仁东控股_2025_管理层讨论与分析.pdf,1
CAND-00026,AI_GENERAL,0.427871,PRO-202,公司部署智能体执行多步骤业务任务，但未披露大模型或强化学习技术。,0.366541,PRO-204,公司名称或英文单词内部包含字母AI，但不存在独立AI术语。,0.06133,0.72,0.08,0,公司秉承“支付赋能产业，AI 引领未来”的战略愿景，构建智能科技生态闭环，打造共生、共创、共享的智能科技产业生态。,002647.SZ,仁东控股,2025,业务概要,COMPANY,R_AND_D,0.65,002647.SZ_仁东控股_2025_管理层讨论与分析.pdf,2
CAND-00027,PRODUCT_CUSTOMER,0.452369,PRO-061,智能客服通过大语言模型回答客户的账户和产品问题。,0.346649,PRO-064,公司使用CRM系统记录客户基本信息。,0.10572,0.72,0.08,0,为满足客户便捷化的服务需求，合利宝智能客户系统实现全新升级，能自主优化系统流程，提升人机协作水平，准确理解用户需求并解决问题，目前合利宝已搭建包括智能客服系统、人工客服等在内的全新多元化客服载体，随时对用户发起的提问做出响应。,002647.SZ,仁东控股,2025,核心竞争力,UNKNOWN,R_AND_D,0.95,002647.SZ_仁东控股_2025_管理层讨论与分析.pdf,3
CAND-00028,AI_GENERAL,0.29817,PRO-200,公司正在推进人工智能技术在金融业务中的研发和应用。,0.284719,PRO-203,人工智能正在推动金融行业数字化转型。,0.013451,0.72,0.08,0,争护城河：依据客户的需求，融合智能算法，持续优化最优换汇策略模型，为客户提供一站式、低成本、多元化的外汇解决方案，全面提升资金运营效率与体验。,002647.SZ,仁东控股,2025,研发投入,UNKNOWN,R_AND_D,0.6,002647.SZ_仁东控股_2025_管理层讨论与分析.pdf,8
CAND-00029,PRODUCT_INVEST,0.490778,PRO-068,智能投顾系统根据客户风险偏好提供资产配置建议。,0.405736,PRO-069,公司开展传统程序化交易，策略由人工设定。,0.085043,0.72,0.08,0,争护城河：基于大数据构建智能化、系统化的风控机制，聚焦于事前智能化风险评估与事后系统化交易核验，并结合事中多维度风控模型，形成覆盖交易全流程、智能化的风险监测体系。,002647.SZ,仁东控股,2025,研发投入,UNKNOWN,R_AND_D,0.25,002647.SZ_仁东控股_2025_管理层讨论与分析.pdf,8
CAND-00030,PRODUCT_FRAUD,0.487386,PRO-056,智能反洗钱平台通过知识图谱发现可疑交易网络。,0.373114,PRO-060,合规人员人工核对制裁名单。,0.114272,0.72,0.08,0,争护城河：打造一个全线上化、 智能化的商户自助注册与身份认证平台， 支持多语言、多证件类型识别与自动校验，简化入驻流程， 提升审核效率，帮助中小型企业快速完成入网并开展业务，降低人工介入与操作成本。,002647.SZ,仁东控股,2025,研发投入,UNKNOWN,WEAK_GENERIC,0.1,002647.SZ_仁东控股_2025_管理层讨论与分析.pdf,8
CAND-00031,AI_GENERAL,0.502281,PRO-202,公司部署智能体执行多步骤业务任务，但未披露大模型或强化学习技术。,0.402107,PRO-204,公司名称或英文单词内部包含字母AI，但不存在独立AI术语。,0.100174,0.72,0.08,0,公司AI 业务流程智能体原生平台通过国家工业信息安全发展研究中心软件所“软件智能化成熟度等级”测评，在智能理解与生成、智能交互、智能分析与决策、智能检索与智能集成这五方面均满足三级能力要求。,002657.SZ,中科金财,2025,业务概要,COMPANY,WEAK_GENERIC,0.8,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1
CAND-00031,TECH_NLP,0.411218,PRO-012,系统对合同文本进行实体识别、条款分类和风险提示。,0.325979,PRO-014,公司安排人员人工阅读合同并形成摘要。,0.085239,0.72,0.08,0,公司AI 业务流程智能体原生平台通过国家工业信息安全发展研究中心软件所“软件智能化成熟度等级”测评，在智能理解与生成、智能交互、智能分析与决策、智能检索与智能集成这五方面均满足三级能力要求。,002657.SZ,中科金财,2025,业务概要,COMPANY,WEAK_GENERIC,0.8,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1
CAND-00032,AI_GENERAL,0.432506,PRO-200,公司正在推进人工智能技术在金融业务中的研发和应用。,0.408563,PRO-203,人工智能正在推动金融行业数字化转型。,0.023943,0.72,0.08,0,公司与阿里云、百度、火山引擎等头部厂商建立了稳固共赢的生态合作，合作范围覆盖基础设施、平台工具、产品实施、场景交付全链条服务，解决方案及应用更趋多元丰富，覆盖AI 原生智能体平台、知识库、智能营销、智能问数、全流程智能贷款、手机银行、OCR、客户画像等核心场景，合作客户覆盖股份制、城商行、农商农信、证券、保险等金融机构。,002657.SZ,中科金财,2025,业务概要,COMPANY,COMMERCIAL,0.85,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1
CAND-00032,PRODUCT_CUSTOMER,0.427441,PRO-061,智能客服通过大语言模型回答客户的账户和产品问题。,0.311124,PRO-064,公司使用CRM系统记录客户基本信息。,0.116317,0.72,0.08,0,公司与阿里云、百度、火山引擎等头部厂商建立了稳固共赢的生态合作，合作范围覆盖基础设施、平台工具、产品实施、场景交付全链条服务，解决方案及应用更趋多元丰富，覆盖AI 原生智能体平台、知识库、智能营销、智能问数、全流程智能贷款、手机银行、OCR、客户画像等核心场景，合作客户覆盖股份制、城商行、农商农信、证券、保险等金融机构。,002657.SZ,中科金财,2025,业务概要,COMPANY,COMMERCIAL,0.85,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1
CAND-00032,TECH_CV,0.411712,PRO-021,公司利用OCR识别发票、银行回单和保险理赔材料。,0.246542,PRO-025,员工将扫描件人工录入财务系统。,0.16517,0.72,0.08,0,公司与阿里云、百度、火山引擎等头部厂商建立了稳固共赢的生态合作，合作范围覆盖基础设施、平台工具、产品实施、场景交付全链条服务，解决方案及应用更趋多元丰富，覆盖AI 原生智能体平台、知识库、智能营销、智能问数、全流程智能贷款、手机银行、OCR、客户画像等核心场景，合作客户覆盖股份制、城商行、农商农信、证券、保险等金融机构。,002657.SZ,中科金财,2025,业务概要,COMPANY,COMMERCIAL,0.85,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1
CAND-00032,TECH_LLM,0.552056,PRO-037,平台结合RAG与企业知识库构建金融智能助手。,0.321521,PRO-040,公司列举了多个大模型品牌，但未披露任何接入或应用行为。,0.230535,0.72,0.08,0,公司与阿里云、百度、火山引擎等头部厂商建立了稳固共赢的生态合作，合作范围覆盖基础设施、平台工具、产品实施、场景交付全链条服务，解决方案及应用更趋多元丰富，覆盖AI 原生智能体平台、知识库、智能营销、智能问数、全流程智能贷款、手机银行、OCR、客户画像等核心场景，合作客户覆盖股份制、城商行、农商农信、证券、保险等金融机构。,002657.SZ,中科金财,2025,业务概要,COMPANY,COMMERCIAL,0.85,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1
CAND-00033,AI_GENERAL,0.494012,PRO-201,本集团已将AI能力接入多个业务平台，但未披露具体模型架构。,0.432713,PRO-204,公司名称或英文单词内部包含字母AI，但不存在独立AI术语。,0.061299,0.72,0.08,0,公司坚守AI-Native 技术设计理念，以本体构建、语义模型研发为核心技术架构，整合动力层与动态层形成完善技术框架，着力推动业务与技术的深度融合，全力搭建从底层架构、交互逻辑到应用场景均以AI 为核心进行重构的人工智能服务链条。,002657.SZ,中科金财,2025,业务概要,COMPANY,APPLIED,0.65,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1
CAND-00034,AI_GENERAL,0.427991,PRO-201,本集团已将AI能力接入多个业务平台，但未披露具体模型架构。,0.388357,PRO-204,公司名称或英文单词内部包含字母AI，但不存在独立AI术语。,0.039634,0.72,0.08,0,公司建立了多层次生态合作模式，覆盖AI 全产业链合作。,002657.SZ,中科金财,2025,业务概要,COMPANY,,0.6,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1
CAND-00035,AI_GENERAL,0.476877,PRO-200,公司正在推进人工智能技术在金融业务中的研发和应用。,0.479836,PRO-204,公司名称或英文单词内部包含字母AI，但不存在独立AI术语。,-0.002959,0.72,0.08,0,公司立足于全球AI 发展前沿，与国际国内AI 领域各龙头企业建立广泛联系与合作，保持科技的领先性和业务的前瞻性，坚持大客户战略，加大研发投入，进一步推动AI 技术在垂类行业的落地。,002657.SZ,中科金财,2025,业务概要,COMPANY,APPLIED,0.65,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1
CAND-00036,AI_GENERAL,0.494632,PRO-200,公司正在推进人工智能技术在金融业务中的研发和应用。,0.487029,PRO-203,人工智能正在推动金融行业数字化转型。,0.007603,0.72,0.08,0,公司遵循国家数字经济发展方向，以数字科技为切入点，围绕金融机构、政府与公共事业、企业等客户群体，提供人工智能综合服务、金融科技综合服务和数据中心综合服务，通过科技赋能帮助客户实现新一轮数字化、智能化升级。,002657.SZ,中科金财,2025,业务概要,COMPANY,R_AND_D,0.65,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1
CAND-00037,AI_GENERAL,0.421033,PRO-202,公司部署智能体执行多步骤业务任务，但未披露大模型或强化学习技术。,0.376679,PRO-204,公司名称或英文单词内部包含字母AI，但不存在独立AI术语。,0.044355,0.72,0.08,0,在生态合作方面，公司构建了“头部AI 厂商合作＋小B 协同赋能”双轮驱动的生态体系，整合行业上下游，形成“理论研究—技术研发—场景适配—项目交付—价值变现”全链条闭环。,002657.SZ,中科金财,2025,业务概要,COMPANY,COMMERCIAL,0.65,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1
CAND-00038,AI_ENGINEERING,0.491255,PRO-048,AI中台向多个金融产品提供统一推理和特征服务。,0.256548,PRO-049,公司建设普通数据仓库用于报表查询。,0.234707,0.72,0.08,0,截至目前，公司在人工智能领域累计获得《基于大模型的本体建模平台V1.0》《基于本体的智能问数平台V1.0》《AI 业务流程智能体原生平台V1.0》《多模态大模型数据集及数据管理平台V1.0》《银行大模型应用及大模型管理平台 V1.0》《多模态AI 视频工具平台 V1.0》等178项软件著作权、13项发明专利。,002657.SZ,中科金财,2025,业务概要,COMPANY,APPLIED,0.85,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1
CAND-00038,AI_GENERAL,0.518413,PRO-201,本集团已将AI能力接入多个业务平台，但未披露具体模型架构。,0.404261,PRO-204,公司名称或英文单词内部包含字母AI，但不存在独立AI术语。,0.114152,0.72,0.08,0,截至目前，公司在人工智能领域累计获得《基于大模型的本体建模平台V1.0》《基于本体的智能问数平台V1.0》《AI 业务流程智能体原生平台V1.0》《多模态大模型数据集及数据管理平台V1.0》《银行大模型应用及大模型管理平台 V1.0》《多模态AI 视频工具平台 V1.0》等178项软件著作权、13项发明专利。,002657.SZ,中科金财,2025,业务概要,COMPANY,APPLIED,0.85,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1
CAND-00038,TECH_KG,0.308663,PRO-026,公司构建企业股权、担保和交易关系网络，识别关联风险。,0.227466,PRO-029,公司展示了集团组织架构图。,0.081196,0.72,0.08,0,截至目前，公司在人工智能领域累计获得《基于大模型的本体建模平台V1.0》《基于本体的智能问数平台V1.0》《AI 业务流程智能体原生平台V1.0》《多模态大模型数据集及数据管理平台V1.0》《银行大模型应用及大模型管理平台 V1.0》《多模态AI 视频工具平台 V1.0》等178项软件著作权、13项发明专利。,002657.SZ,中科金财,2025,业务概要,COMPANY,APPLIED,0.85,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1
CAND-00038,TECH_LLM,0.46091,PRO-036,公司基于金融语料微调大语言模型，用于研报摘要和问答。,0.432633,PRO-040,公司列举了多个大模型品牌，但未披露任何接入或应用行为。,0.028277,0.72,0.08,0,截至目前，公司在人工智能领域累计获得《基于大模型的本体建模平台V1.0》《基于本体的智能问数平台V1.0》《AI 业务流程智能体原生平台V1.0》《多模态大模型数据集及数据管理平台V1.0》《银行大模型应用及大模型管理平台 V1.0》《多模态AI 视频工具平台 V1.0》等178项软件著作权、13项发明专利。,002657.SZ,中科金财,2025,业务概要,COMPANY,APPLIED,0.85,002657.SZ_中科金财_2025_管理层讨论与分析.pdf,1
