run,version,sample_id,parse_level,schema_ok,职位名称,最低薪资,最高薪资,薪资周期,工作地点,硬技能,软技能,学历要求,经验要求,AI相关技术栈要求
run1,v2,J08,strict,True,web前端开发工程师,,,,,前端开发 | JavaScript | HTML5 | storybook | element-plus | React | vue3 | x6 | vugdraggable | echarts | 动态表单 | H5开发 | 容器技术 | 微服务架构 | 数据库常见命令 | 操作系统,需求理解和分析能力 | 团队合作精神 | 抗压能力,,,
run1,v2,J09,strict,True,高级前端开发工程师,,,,,前端开发 | 小程序 | Vue | Web端 | Oracle | JavaScript | HTML5 | W3C标准 | webpack | 前端工程化 | 模块化 | 前后端分离,对技术有热情 | 团队合作精神,全日制大学本科及以上,5年以上web前端开发经验（本科毕业8年及以上）,
run1,v2,J10,strict,True,iOS开发工程师,,,,常州,Objective-C | MVC开发 | Hybrid开发 | Xcode | GIT | iOS开发 | Swift | JavaScript | RN | weex | 性能优化,良好的编程习惯 | 沟通能力,,,
run1,v2,J11,strict,True,中级java开发工程师(济南恒丰岗),,,,济南,Java | SpringCloud | Hadoop | SQL Server | Hive | MySQL | MyBatis | 分布式 | 微服务 | 云计算 | 大数据 | 建行P2/P8框架 | 银行信贷,,学信网可查全日制本科,5年以上,大数据 | 云计算
run1,v2,J12,strict,True,数据迁移工程师,,,,,Java | Spark | BI报表开发 | 数据平台开发 | 数据迁移 | Oracle | DB2 | SQL | 存储过程 | ETL | SQL优化 | 数据库设计,沟通和表达能力 | 逻辑思维能力,本科,3年以上,
run1,v2,J13,strict,True,Java工程师,,,,,服务器配置 | Java | SQL | 分布式技术 | Spring | SpringMVC | Dubbo | Struts | SQL SERVER | Oracle | DB2 | MYSQL | Tomcat | JBOSS | Weblogic | Web Sphere | 单元测试,,统招本科及以上,,
run1,v2,J14,strict,True,初中高级-Java开发工程师,,,,,Spring | Struts | Oracle | Java | Java EE | MyBatis | SQL | 设计模式 | SOA,沟通能力 | 学习能力,本科,1-3年以上,
run1,v2,J15,strict,True,理财顾问,,,,,同业销售 | 资产/财富管理 | 对机构销售 | 对普通个人客户销售 | 理财 | 证券从业资格 | 基金从业资格 | 证券产品 | 基金产品 | 客户开发 | 客户服务 | 投资咨询 | 开户,善于沟通 | 团队荣誉感 | 团队协作精神 | 勤奋敬业 | 有激情 | 有耐性 | 客户拓展能力,专科以上,具有金融理财/财富管理相关工作经验,
run1,v2,J16,strict,True,证券公司机构业务经理,,,,,机构销售 | IPO | 新三板 | 大宗交易 | 经纪业务 | 资产托管 | 尽职调查 | 渠道拓展 | 客户谈判 | 证券投资顾问资格 | 基金从业资格 | 营销活动组织,创新能力 | 抗压能力 | 沟通协调能力 | 大客户开发能力,全日制本科及以上,3年以上,
run1,v2,J17,repaired,True,理财经理/团队经理,,,,,证券分析 | 证券经纪 | 客户开发 | 理财咨询 | 投资建议 | 资产配置 | 客户关系维护 | 证券从业资格,客户服务能力,,,
run1,v2,J18,strict,True,营业部副总经理,,,,全国区域,市场营销管理 | 市场营销 | 市场策划 | 市场开发 | 市场推广 | 商务渠道 | 业务拓展 | 团队搭建 | 发展规划制定 | 绩效评估 | 财富销售资源,规划能力 | 组织策划能力 | 客户服务能力 | 资源整合能力 | 辅导培养能力 | 危机处理能力,,3年及以上,
run1,v2,J19,strict,True,财富管理顾问,15000元,30000元,月,,对高净值客户销售 | 证券从业资格 | 基金从业资格 | 客户适当性管理 | 客户开发 | 外部渠道合作 | 融资融券 | 个股期权 | 港股通 | 约定购回 | 客户资产归集 | 客户转介绍,,,,
run1,v2,J20,strict,True,投资顾问,7000元,12000元,月,,资产/财富管理 | 对机构销售 | 对高净值客户销售 | 对普通个人客户销售 | 证券从业资格 | 基金从业资格 | 投资顾问资格 | 理财产品配置 | 财富管理方案 | 财富保全 | 财富转移 | 家族企业治理,执行力 | 沟通协调能力 | 抗压能力,本科（含）以上,两年以上,
run1,v3,J01,strict,True,AI实习生,,,,,数据标注 | 数据整理 | 数据分析 | 数据分析工具 | WPS | 办公软件 | 文档编辑 | 数据统计,跨部门沟通与协作 | 问题发现、分析和解决能力 | 学习能力 | 工作严谨负责 | 注重细节 | 积极主动 | 团队合作精神,全日制本科及以上学历在读,,
run1,v3,J02,strict,True,研究员,,,,,Python | Pandas | NumPy | Oracle | MySQL | NoSQL | 数据挖掘 | 机器学习 | 因子挖掘 | 量化投资策略 | 资产配置模型 | 资产管理 | 买方研究 | 中英文文献阅读能力,责任心 | 好奇心 | 独立完成任务的能力 | 团队合作精神,本科以上,1年以上,人工智能 | 机器学习 | 数据挖掘
run1,v3,J03,strict,True,数据AI工程师,,,,,Python | 算法设计 | Java | SQL | 推荐算法 | 数据分析 | Hadoop | Linux | C | 机器学习 | 数据抓取 | 数据清洗 | 数据挖掘 | 特征分析 | 大数据分布式平台 | 分布式系统架构,分析解决问题能力 | 沟通能力 | 团队合作精神,本科（985或211）及以上,3年以上,机器学习 | 推荐算法
run1,v3,J04,strict,True,算法工程师（机器学习、大模型方向）,,,,,语音算法 | Java | 深度学习 | 大模型算法 | 自然语言处理 | Spark | Hadoop | Hive | 算法工程化 | 风控算法 | 推荐算法 | SQL | C/C++ | 机器学习 | 模型加速/性能优化 | Python | Tensorflow | Pytorch | Mxnet | 分布式算法 | 数据挖掘 | 数学基础,,本科及以上,1年及以上,大模型 | 深度学习 | 机器学习 | 自然语言处理 | CV | 多模态 | Tensorflow | Pytorch | Mxnet | 语音算法 | 推荐算法 | 风控算法 | 数据挖掘
run1,v3,J05,strict,True,大数据开发工程师,,,,,Java | Kafka | Spark | Python | SQL | Hive SQL | 数据仓库建模 | 数据治理 | 元数据管理 | 报表开发 | 实时数仓 | 数据平台开发 | AI Agent | MCP | Skill,,本科及以上,6年以上,AI Agent | Skill | MCP
run1,v3,J06,strict,True,Java,,,,海淀,Java | Hibernate | SpringCloud | MySQL | 多线程 | MyBatis | Redis | SSH | SpringBoot | Spring | Oracle | SSM | js | jquery | idea | eclipse | tomcat | linux | tidb | maven | struts | jsp | Git | SVN | 设计模式 | io | 集合,主动沟通反馈 | 独立完成工作的能力,统招全日制（学信网可查）,3年以上,ai大模型
run1,v3,J07,strict,True,ai解决方案工程师,,,,,金融信息化项目 | 售前技术支持 | FDE | AI agent | 大模型 | 机器学习 | 招投标 | 需求调研与分析 | 解决方案编写 | POC | 神经网络 | MCP | skills,,硕士优先,至少5年,大模型 | 机器学习 | 神经网络 | AI agent | MCP | skills
run1,v3,J08,strict,True,web前端开发工程师,,,,,前端开发 | JavaScript | HTML5 | storybook | element-plus | React | vue3 | x6 | vugdraggable | echarts | 动态表单 | H5开发 | 容器技术 | 微服务架构 | 数据库常见命令 | 操作系统,需求理解和分析能力 | 团队合作精神 | 抗压能力,,,
run1,v3,J09,strict,True,高级前端开发工程师,,,,,前端开发 | 小程序 | Vue | Web端 | Oracle | JavaScript | HTML5 | W3C标准 | webpack | 前端工程化 | 模块化 | 前后端分离,对技术有热情 | 团队合作精神,全日制大学本科及以上,5年以上,
run1,v3,J10,strict,True,iOS开发工程师,,,,,Objective-C | MVC开发 | Hybrid开发 | Xcode | GIT | iOS开发 | swift | JavaScript | RN | weex | 性能优化,良好的编程习惯,,,
run1,v3,J11,strict,True,中级java开发工程师(济南恒丰岗),,,,济南,Java | SpringCloud | Hadoop | SQL Server | Hive | MySQL | MyBatis | 分布式 | 微服务 | 云计算 | 大数据 | 建行P2/P8框架 | 银行信贷,,学信网可查全日制本科,5年以上,
run1,v3,J12,strict,True,数据迁移工程师,,,,,Java | Spark | BI报表开发 | 数据平台开发 | 数据迁移 | Oracle | DB2 | SQL | 存储过程 | ETL | SQL优化 | 数据库设计,沟通和表达能力 | 逻辑思维能力,本科,3年以上,
run1,v3,J13,strict,True,Java工程师,,,,,服务器配置 | Java | SQL | 分布式技术 | Spring | SpringMVC | Dubbo | Struts | SQL SERVER | Oracle | DB2 | MYSQL | Tomcat | JBOSS | Weblogic | Web Sphere | 单元测试,,统招本科及以上,,
run1,v3,J14,strict,True,初中高级-Java开发工程师,,,,,Spring | Struts | Oracle | Java | Java EE | MyBatis | SQL | 设计模式 | SOA,沟通能力 | 学习能力,本科,1-3年以上,
run1,v3,J15,strict,True,理财顾问,,,,,同业销售 | 资产/财富管理 | 对机构销售 | 对普通个人客户销售 | 理财 | 证券从业资格 | 基金从业资格 | 证券产品 | 基金产品 | 客户开发 | 客户服务 | 投资咨询 | 开户,善于沟通 | 团队荣誉感 | 团队协作精神 | 勤奋敬业 | 有激情 | 有耐性 | 客户拓展能力,专科以上,具有金融理财/财富管理相关工作经验,
run1,v3,J16,strict,True,证券公司机构业务经理,,,,,机构销售 | IPO | 新三板 | 大宗交易 | 经纪业务 | 资产托管 | 尽职调查 | 渠道拓展 | 客户谈判 | 证券投资顾问资格 | 基金从业资格 | 营销活动组织,创新能力 | 抗压能力 | 沟通协调能力 | 大客户开发能力,全日制本科及以上,3年以上,
run1,v3,J17,strict,True,理财经理/团队经理,,,,,证券分析 | 证券经纪 | 客户开发 | 理财咨询 | 投资建议 | 资产配置 | 客户关系维护 | 证券从业资格,,,,
run1,v3,J18,strict,True,营业部副总经理,,,,,市场营销管理 | 市场营销 | 市场策划 | 市场开发 | 市场推广 | 商务渠道 | 全国区域 | 业务拓展 | 团队搭建 | 发展规划制定 | 绩效评估 | 财富销售资源,规划能力 | 组织策划能力 | 客户服务能力 | 资源整合能力 | 辅导培养能力 | 危机处理能力,,3年及以上,
run1,v3,J19,strict,True,财富管理顾问,15000元,30000元,月,,对高净值客户销售 | 证券从业资格 | 基金从业资格 | 客户适当性管理 | 客户开发 | 外部渠道合作 | 融资融券 | 个股期权 | 港股通 | 约定购回 | 客户资产归集 | 客户转介绍,,,,
run1,v3,J20,strict,True,投资顾问,7000元,12000元,月,,资产/财富管理 | 对机构销售 | 对高净值客户销售 | 对普通个人客户销售 | 证券从业资格 | 基金从业资格 | 投资顾问资格 | 理财产品配置 | 财富管理方案 | 财富保全 | 财富转移 | 家族企业治理,执行力 | 沟通协调能力 | 抗压能力,本科（含）以上,两年以上,
run2,v1,J01,text,False,AI实习生,,,,,数据标注 | 数据整理 | 数据分析 | 办公软件（WPS） | 数据统计 | 问答质检 | 内容审核,沟通协作能力 | 问题分析与解决能力 | 学习能力 | 责任心 | 注重细节 | 主动性 | 团队合作,全日制本科及以上在读,,AI项目实施 | 数据标注 | 模型优化
run2,v1,J03,text,False,数据AI工程师,,,,,Python | Java | C | SQL | Hadoop | Linux | 算法设计 | 推荐算法 | 数据分析 | 机器学习 | 数据抓取 | 数据清洗 | 数据挖掘 | 特征分析 | 分布式系统,分析解决问题能力 | 沟通能力 | 团队合作精神,本科（985或211）及以上,3年以上机器学习相关工作经验,机器学习 | 推荐算法 | 算法模型
run2,v1,J04,text,False,算法工程师（机器学习、大模型方向）,,,,,Python | Java | C | C++ | SQL | Spark | Hadoop | Hive | TensorFlow | PyTorch | Mxnet | 机器学习 | 深度学习 | 自然语言处理 | 语音算法 | 推荐算法 | 风控算法 | 大模型算法 | 模型加速 | 算法工程化 | 分布式算法,学习能力 | 团队协作能力,本科及以上,1年及以上,大模型 | CV | NLP | 多模态 | 深度学习 | 机器学习 | TensorFlow | PyTorch | Mxnet | Transformer
run2,v1,J06,text,False,Java开发工程师,,,,海淀,Java | Spring | SpringBoot | SpringCloud | SSM | SSH | Hibernate | MyBatis | Struts | JSP | Maven | Oracle | MySQL | TiDB | Redis | 多线程 | JS | jQuery | IDEA | Eclipse | Tomcat | Linux | Git | SVN | 设计模式,沟通能力 | 独立工作能力,统招全日制，学信网可查,3年以上Java编码开发经验,AI大模型
run2,v1,J09,text,False,高级前端开发工程师,,,,,JavaScript | Vue | HTML5 | Oracle | 小程序 | Web端 | 前端开发 | W3C标准 | webpack | 前端工程化 | 模块化 | 前后端分离,团队合作精神 | 对技术有热情 | 学习能力,全日制大学本科及以上,5年以上web前端开发经验,
run2,v1,J13,text,False,Java工程师,,,,,Java | SQL | Spring | SpringMVC | Dubbo | Struts | 分布式技术 | 服务器配置 | SQL Server | Oracle | DB2 | MySQL | Tomcat | JBOSS | Weblogic | WebSphere | 单元测试 | 编码规范,团队协作 | 沟通能力,统招本科及以上,,
run2,v1,J17,text,False,理财经理/团队经理,,,,,证券分析 | 证券经纪 | 客户开发 | 理财咨询 | 投资建议 | 资产配置 | 客户关系维护 | 证券从业资格,沟通能力 | 客户服务能力 | 团队管理,,,
run2,v1,J19,text,False,财富管理顾问,15000元,30000元,月,,对高净值客户销售 | 客户适当性管理 | 客户开发 | 渠道合作 | 融资融券 | 个股期权 | 港股通 | 约定购回 | 证券从业资格 | 基金从业资格 | 客户资产归集 | 客户转介绍 | 金融产品,沟通能力 | 服务意识,,,
run2,v2,J01,strict,True,AI实习生,,,,,数据标注 | 数据整理 | 数据分析 | WPS | 办公软件 | 文档编辑 | 数据统计 | 问答质检 | 内容审核,跨部门沟通与协作 | 问题发现、分析和解决能力 | 学习能力 | 工作严谨负责 | 注重细节 | 积极主动 | 团队合作精神,全日制本科及以上学历在读,,AI项目实施
run2,v2,J03,strict,True,数据AI工程师,,,,,Python | 算法设计 | Java | SQL | 推荐算法 | 数据分析 | Hadoop | Linux | C | 机器学习 | 数据抓取 | 数据清洗 | 数据挖掘 | 特征分析 | 大数据分布式平台 | 分布式系统架构,分析解决问题能力 | 沟通能力 | 团队合作精神,本科（985或211）及以上,3年以上,机器学习 | 推荐算法
run2,v2,J04,repaired,True,算法工程师（机器学习、大模型方向）,,,,,语音算法 | Java | 深度学习 | 大模型算法 | 自然语言处理算法 | Spark | Hadoop | Hive | 算法工程化经验 | 风控算法 | 推荐算法 | SQL | C/C++ | 机器学习 | 模型加速/性能优化 | Python | Tensorflow | Pytorch | Mxnet | 分布式算法 | 数据挖掘 | 数学基础,,本科及以上,1年及以上,深度学习 | 机器学习 | 大模型 | CV | NLP | 多模态 | Tensorflow | Pytorch | Mxnet | 语音算法 | 推荐算法 | 风控算法 | 数据挖掘 | 文本分类 | 意图识别 | 实体抽取 | 关系抽取
run2,v2,J06,strict,True,Java,,,,海淀,Java | Hibernate | SpringCloud | MySQL | 多线程 | MyBatis | Redis | SSH | SpringBoot | Spring | Oracle | SSM | js | jquery | idea | eclipse | tomcat | linux | tidb | maven | struts | jsp | Git | SVN | 设计模式 | io | 集合,主动沟通反馈 | 独立完成工作的能力,统招全日制本科（学信网可查）,3年以上,ai大模型
run2,v2,J09,strict,True,高级前端开发工程师,,,,,前端开发 | 小程序 | Vue | Web端 | Oracle | JavaScript | HTML5 | W3C标准 | webpack | 前端工程化 | 模块化 | 前后端分离 | 小程序开发,对技术有热情 | 团队合作精神,全日制大学本科及以上,5年以上,
run2,v2,J13,strict,True,Java工程师,,,,,服务器配置 | Java | SQL | 分布式技术 | Spring | SpringMVC | Dubbo | Struts | SQL SERVER | Oracle | DB2 | MYSQL | Tomcat | JBOSS | Weblogic | Web Sphere | 单元测试,,统招本科及以上,,
run2,v2,J17,strict,True,理财经理/团队经理,,,,,证券分析 | 证券经纪 | 客户开发 | 理财咨询 | 投资建议 | 资产配置 | 客户关系维护 | 证券从业资格,,,,
run2,v2,J19,strict,True,财富管理顾问,15000,30000,元/月,,对高净值客户销售 | 证券从业资格 | 基金从业资格 | 客户适当性管理 | 客户开发 | 外部渠道合作 | 融资融券 | 个股期权 | 港股通 | 约定购回 | 客户资产归集 | 客户转介绍,,,,
run2,v3,J01,strict,True,AI实习生,,,,,数据标注 | 数据整理 | 数据分析 | 数据分析工具 | WPS | 办公软件 | 文档编辑 | 数据统计,跨部门沟通与协作 | 问题发现、分析和解决能力 | 学习能力 | 工作严谨负责 | 注重细节 | 积极主动 | 团队合作精神,全日制本科及以上学历在读,,
run2,v3,J03,strict,True,数据AI工程师,,,,,Python | 算法设计 | Java | SQL | 推荐算法 | 数据分析 | Hadoop | Linux | C | 机器学习 | 数据抓取 | 数据清洗 | 数据挖掘 | 特征分析 | 大数据分布式平台 | 分布式系统架构,分析解决问题能力 | 沟通能力 | 团队合作精神,本科（985或211）及以上,3年以上,机器学习 | 推荐算法
run2,v3,J04,strict,True,算法工程师（机器学习、大模型方向）,,,,,语音算法 | Java | 深度学习 | 大模型算法 | 自然语言处理 | Spark | Hadoop | Hive | 算法工程化 | 风控算法 | 推荐算法 | SQL | C/C++ | 机器学习 | 模型加速/性能优化 | Python | Tensorflow | Pytorch | Mxnet | 分布式算法 | 数据挖掘 | 数学基础,,本科及以上,1年及以上,大模型 | 深度学习 | 机器学习 | 自然语言处理 | CV | 多模态 | Tensorflow | Pytorch | Mxnet | 语音算法 | 推荐算法 | 风控算法 | 数据挖掘
run2,v3,J06,strict,True,Java,,,,海淀,Java | Hibernate | SpringCloud | MySQL | 多线程 | MyBatis | Redis | SSH | SpringBoot | Spring | Oracle | SSM | js | jquery | idea | eclipse | tomcat | linux | tidb | maven | struts | jsp | Git | SVN | 设计模式 | io | 集合,主动沟通反馈 | 独立完成工作的能力,统招全日制（学信网可查）,3年以上,ai大模型
run2,v3,J09,strict,True,高级前端开发工程师,,,,,前端开发 | 小程序 | Vue | Web端 | Oracle | JavaScript | HTML5 | W3C标准 | webpack | 前端工程化 | 模块化 | 前后端分离,对技术有热情 | 团队合作精神,全日制大学本科及以上,5年以上,
run2,v3,J13,strict,True,Java工程师,,,,,服务器配置 | Java | SQL | 分布式技术 | Spring | SpringMVC | Dubbo | Struts | SQL SERVER | Oracle | DB2 | MYSQL | Tomcat | JBOSS | Weblogic | Web Sphere | 单元测试,,统招本科及以上,,
