company_id,company_name,primary_direction,primary_cn,secondary_direction,secondary_cn,stack_breadth,stack_depth,hhi,top3,cluster,cluster_name,evidence_sentences,high_conf,medium_conf,product_line_count,board,segment
300542.SZ,新晨科技,TECH_LLM,大模型与生成式AI,TECH_CV,计算机视觉,2,2.243,0.512,大模型与生成式AI(0.97) > 计算机视觉(0.80),5,计算机视觉/内部提效应用,5,0,5,0,创业板,金融IT服务商
300180.SZ,华峰超纤,TECH_LLM,大模型与生成式AI,TECH_DECISION,智能决策与预测,3,2.026,0.375,大模型与生成式AI(0.83) > 智能决策与预测(0.76) > 机器学习与深度学习(0.54),5,计算机视觉/内部提效应用,7,0,5,0,创业板,其他
300561.SZ,汇金科技,TECH_CV,计算机视觉,TECH_SPEECH,智能语音,3,1.716,0.414,计算机视觉(1.00) > 智能语音(0.43) > 大模型与生成式AI(0.39),5,计算机视觉/内部提效应用,4,1,2,0,创业板,金融IT服务商
300674.SZ,宇信科技,TECH_LLM,大模型与生成式AI,,,1,1.658,1.0,大模型与生成式AI(0.99),2,智能信贷/自然语言处理,5,0,6,1,创业板,金融IT服务商
600446.SH,金证股份,TECH_LLM,大模型与生成式AI,,,1,1.62,1.0,大模型与生成式AI(1.00),4,大模型与生成式AI/智能投研与财富管理,5,1,2,0,沪市主板,金融IT服务商
600570.SH,恒生电子,TECH_LLM,大模型与生成式AI,,,1,1.212,1.0,大模型与生成式AI(0.95),3,智能投研与财富管理/智能客服与营销,7,1,9,3,沪市主板,金融IT服务商
600906.SH,财达证券,TECH_DECISION,智能决策与预测,TECH_LLM,大模型与生成式AI,2,0.786,0.501,智能决策与预测(0.90) > 大模型与生成式AI(0.85),5,计算机视觉/内部提效应用,2,0,3,1,沪市主板,证券
300468.SZ,四方精创,TECH_DECISION,智能决策与预测,TECH_LLM,大模型与生成式AI,2,0.556,0.573,智能决策与预测(0.95) > 大模型与生成式AI(0.59),5,计算机视觉/内部提效应用,5,0,1,0,创业板,金融IT服务商
000997.SZ,新大陆,TECH_DECISION,智能决策与预测,,,1,0.533,1.0,智能决策与预测(1.00),1,智能支付与清算/反欺诈与合规,8,2,4,1,深市主板,支付与商户服务
300130.SZ,新国都,TECH_DECISION,智能决策与预测,,,1,0.448,1.0,智能决策与预测(1.00),1,智能支付与清算/反欺诈与合规,3,1,3,2,创业板,支付与商户服务
002721.SZ,金一文化,TECH_LLM,大模型与生成式AI,,,1,0.439,1.0,大模型与生成式AI(1.00),4,大模型与生成式AI/智能投研与财富管理,2,0,1,0,深市主板,其他
601788.SH,光大证券,TECH_LLM,大模型与生成式AI,,,1,0.421,1.0,大模型与生成式AI(0.96),5,计算机视觉/内部提效应用,1,0,2,1,沪市主板,证券
000987.SZ,越秀资本,TECH_LLM,大模型与生成式AI,,,1,0.42,1.0,大模型与生成式AI(0.94),4,大模型与生成式AI/智能投研与财富管理,1,0,1,0,深市主板,证券
002670.SZ,国盛证券,TECH_LLM,大模型与生成式AI,,,1,0.406,1.0,大模型与生成式AI(0.96),4,大模型与生成式AI/智能投研与财富管理,1,0,1,0,深市主板,证券
603093.SH,南华期货,TECH_LLM,大模型与生成式AI,,,1,0.397,1.0,大模型与生成式AI(0.94),3,智能投研与财富管理/智能客服与营销,1,0,2,1,沪市主板,证券
600928.SH,西安银行,TECH_DECISION,智能决策与预测,,,1,0.366,1.0,智能决策与预测(1.00),2,智能信贷/自然语言处理,2,0,2,1,沪市主板,银行
002647.SZ,仁东控股,TECH_DECISION,智能决策与预测,,,1,0.204,1.0,智能决策与预测(0.82),1,智能支付与清算/反欺诈与合规,3,0,2,2,深市主板,支付与商户服务
300465.SZ,高伟达,TECH_NLP,自然语言处理,,,1,0.203,1.0,自然语言处理(1.00),2,智能信贷/自然语言处理,4,0,1,1,创业板,金融IT服务商
