source,target,rel,weight,evidence,conf,quote,section,page
002647.SZ,TECH_DECISION,USES_TECH,0.204,1,LOW,争护城河：基于大数据构建智能化、系统化的风控机制，聚焦于事前智能化风险评估与事后系统化交易核验，并结合事中多维度风控模型，形成覆盖交易全流程、智能化的风险监测体系。,研发投入,8.0
002657.SZ,PRODUCT_CUSTOMER,OFFERS_PRODUCT,0.138,1,LOW,预计对公司未来发展：形成账户管理 Agent、智能客服 Agent、智能营销 Agent、智能授权 Agent，通过AI Agent 降本增效。,研发投入,12.0
002657.SZ,TECH_CV,USES_TECH,2.288,5,HIGH,预计对公司未来发展：建成具备多语言、复杂排版识别能力的 OCR 识别平台，赋能业务场景。,研发投入,12.0
002657.SZ,TECH_KG,USES_TECH,0.372,1,MEDIUM,公司研发的业务数据治理体系，通过统一业务术语、指标口径、实体关系与业务规则，构建覆盖全业务域的语义标准与知识图谱，实现数据从技术字段到业务知识的转化，破解跨系统数据孤岛、用数门槛高、AI 应用语义偏差等痛点。,核心竞争力,6.0
002657.SZ,TECH_LLM,USES_TECH,2.462,9,LOW,截至目前，公司在人工智能领域累计获得《基于大模型的本体建模平台V1.0》《基于本体的智能问数平台V1.0》《AI 业务流程智能体原生平台V1.0》《多模态大模型数据集及数据管理平台V1.0》《银行大模型应用及大模型管理平,业务概要,1.0
002670.SZ,TECH_LLM,USES_TECH,0.406,1,MEDIUM,基于大模型的归因分析及业务预测平台的研究开发。,研发投入,6.0
002721.SZ,TECH_LLM,USES_TECH,0.439,1,MEDIUM,根据软件及信息技术服务业务的未来发展战略规划，开科唯识将聚焦于财富管理与支付清算领域的创新发展，助力金融行业智能化转型，将AI 和大模型技术深度融入财富管理、支付清算、营销服务、客户经营、风险控制等核心场景，打造行业智能,核心竞争力,6.0
002987.SZ,APP_INTERNAL,APPLIES_INTERNAL,0.468,1,MEDIUM,拟达到的目标：1、搭建大模型应用服务平台，支持多种业务智能体集成与功能展示； 2、完成智能营销、智能合规、智能运维、 智能办公、智能报告等智能体研发。,研发投入,12.0
002987.SZ,TECH_CV,USES_TECH,0.169,1,LOW,在产品创新方面，公司已构建涵盖大模型智能体类、计算机视觉类、大数据类、盘庚测试云平台、影像及流程管理类、基础技术平台类等在内的通用产品与技术体系，并面向银行、保险、证券等金融行业客户，形成覆盖集约化运营、运营管理与风控、,核心竞争力,4.0
002987.SZ,TECH_LLM,USES_TECH,2.343,6,MEDIUM,项目目的：大模型应用服务平台基于前沿大语言模型技术构建，支持AI 能力集成与按需灵活拓展，可无缝搭载智能营销、智能合规、智能运维、 智能办公等多场景业务智能体，通过清晰直观的功能体系，为企业提供全流程、高适配的业务智能赋,研发投入,12.0
300033.SZ,AI_ENGINEERING,USES_TECH,0.13,1,LOW,报告期内，公司立足主业稳步推进年度经营计划，持续加大人工智能研发投入，强化自研大模型能力建设，提升模型在金融专业场景中的准确性与应用深度，推动产品智能化升级。,业务概要,1.0
300033.SZ,PRODUCT_CUSTOMER,OFFERS_PRODUCT,1.357,5,LOW,在人工智能技术加速发展的背景下，公司持续推进“大模型+金融”应用落地，已在智能投顾、智能客服、智能投研、代码生成、法律咨询、办公助手、翻译等场景推出相关产品，推动金融服务效率与智能化水平提升。,核心竞争力,7.0
300033.SZ,PRODUCT_INVEST,OFFERS_PRODUCT,4.789,12,MEDIUM,在人工智能技术加速发展的背景下，公司持续推进“大模型+金融”应用落地，已在智能投顾、智能客服、智能投研、代码生成、法律咨询、办公助手、翻译等场景推出相关产品，推动金融服务效率与智能化水平提升。,核心竞争力,7.0
300033.SZ,TECH_LLM,USES_TECH,9.028,18,MEDIUM,报告期内，公司自主构建并开源金融大语言模型评测基准 （BizFinBench），涵盖10万余条中文金融问答数据，从数值计算、逻辑推理、信息抽取、预测识别及知识问答等维度系统评估模型能力，为金融大模型性能优化与行业应用提供,业务概要,2.0
300059.SZ,AI_ENGINEERING,USES_TECH,0.516,4,LOW,公司自主研发妙想大模型，凭借数据特色和算法优势，聚焦于核心金融场景，不断优化金融垂直能力，向整个东方财富生态输入妙想AI 能力，进一步完善互联网财富管理生态建设。,核心竞争力,2.0
300059.SZ,PRODUCT_INVEST,OFFERS_PRODUCT,0.933,4,LOW,项目目的：面向投资、投研领域的复杂金融应用场景，全面训练并提升妙想大模型的核心金融能力。,研发投入,7.0
300059.SZ,TECH_LLM,USES_TECH,6.154,14,MEDIUM,公司自主研发妙想大模型，凭借数据特色和算法优势，聚焦于核心金融场景，不断优化金融垂直能力，向整个东方财富生态输入妙想AI 能力，进一步完善互联网财富管理生态建设。,核心竞争力,2.0
300059.SZ,TECH_NLP,USES_TECH,0.473,1,MEDIUM,公司充分发挥多年来积累的研发技术优势，自主研发了一系列网络核心技术，拥有充实的AI 技术能力，包括自然语言处理、图像处理、语音识别和多模态融合技术，同时公司密切跟踪行业前沿技术发展，持续加强生成式AI、交互式AI 等领域,核心竞争力,2.0
300059.SZ,TECH_SPEECH,USES_TECH,0.309,1,MEDIUM,公司充分发挥多年来积累的研发技术优势，自主研发了一系列网络核心技术，拥有充实的AI 技术能力，包括自然语言处理、图像处理、语音识别和多模态融合技术，同时公司密切跟踪行业前沿技术发展，持续加强生成式AI、交互式AI 等领域,核心竞争力,2.0
300085.SZ,PRODUCT_INVEST,OFFERS_PRODUCT,0.538,3,LOW,报告期内，公司持续引进专业人才，自主开发股票行情分析软件，重点在于融合AI 技术，实现人工智能辅助的股票行情与投资决策分析功能。,业务概要,4.0
300085.SZ,TECH_CV,USES_TECH,2.761,5,HIGH,基于机器学习技术建立公司级图像识别引擎，主要包括图像分类、图像全幅面 OCR、图像指定区域 OCR、图像特征点定位等通用功能，以及垂直领域的特定图像内容识别，如身份证、银行卡、营业执照、发票等。,研发投入,15.0
300085.SZ,TECH_LLM,USES_TECH,0.399,1,MEDIUM,大模型在金融领域的应用项目：股票行情分析软件。,研发投入,16.0
300085.SZ,TECH_ML,USES_TECH,0.418,2,LOW,基于机器学习的新一代图像识别引擎。,研发投入,15.0
300085.SZ,TECH_SPEECH,USES_TECH,0.145,1,LOW,完成基于通道质量的智能路由能力、富媒体短信的性能提升和功能完善、5G 消息的多样性模版、智能语音识别、AI 驱动能力。,研发投入,15.0
300130.SZ,PRODUCT_FRAUD,OFFERS_PRODUCT,0.897,2,MEDIUM,面对支付领域不断变化的欺诈手段，公司秉持科技赋能业务理念，基于大数据与人工智能技术，打造具备自主知识产权的支付风险防控系统，通过海量数据跨行业、跨领域自动深度挖掘、开展关联分析、溯源风险交易，构建全方位、多层级的“事前、,核心竞争力,4.0
300130.SZ,PRODUCT_PAYMENT,OFFERS_PRODUCT,0.772,1,HIGH,面对支付领域不断变化的欺诈手段，公司秉持科技赋能业务理念，基于大数据与人工智能技术，打造具备自主知识产权的支付风险防控系统，通过海量数据跨行业、跨领域自动深度挖掘、开展关联分析、溯源风险交易，构建全方位、多层级的“事前、,核心竞争力,4.0
300130.SZ,TECH_DECISION,USES_TECH,0.448,1,MEDIUM,数据罗盘，赋能内部运营效率提升：PayKKa 智能风控系统。,研发投入,12.0
300180.SZ,APP_INTERNAL,APPLIES_INTERNAL,0.636,2,LOW,次，适配全网”的能力：旨在构建一个超越当前所有AIOps 范式的全新体系。,研发投入,13.0
300180.SZ,TECH_DECISION,USES_TECH,0.665,2,LOW,次，适配全网”的能力：开发基于人工智能和大模型的智能决策引擎，该引擎将集成自然语言处理、机器学习、深度学习等多种先进技术，能够对复杂的商业数据进行实时分析和预测。,研发投入,13.0
300180.SZ,TECH_LLM,USES_TECH,0.971,3,MEDIUM,次，适配全网”的能力：本项目以智能大模型、先进制造技术为支撑，研发新一代智能收单展业小程序。,研发投入,13.0
300180.SZ,TECH_ML,USES_TECH,0.39,1,MEDIUM,次，适配全网”的能力：开发基于人工智能和大模型的智能决策引擎，该引擎将集成自然语言处理、机器学习、深度学习等多种先进技术，能够对复杂的商业数据进行实时分析和预测。,研发投入,13.0
300348.SZ,PRODUCT_FRAUD,OFFERS_PRODUCT,0.467,1,MEDIUM,公司严格遵循国家数据局、中国信通院等机构牵头制定的相关标准，聚焦反欺诈、实时风控、精准营销、监管报送等具体业务痛点，帮助客户实现降本增效。,业务概要,3.0
300348.SZ,PRODUCT_PAYMENT,OFFERS_PRODUCT,0.484,1,MEDIUM,支付平台采用交易与对账分离结构，支持新老系统无风险切换，确保业务连续性；依托智能路由、智能入账、智能分析等核心能力，实现支付路径的自动优选、资金的高效清算和交易风险的实时管控。,业务概要,2.0
300348.SZ,TECH_DECISION,USES_TECH,0.546,1,HIGH,2026年，公司将继续以“产品智能化、服务深度化、市场全球化”为战略核心，夯实DataMind 数智一体化平台的底座能力，以AIS Agent 通用智能体平台为创新引擎，推动AI 大模型与数据业务融合，推动智能风控、智能,业务概要,4.0
300348.SZ,TECH_LLM,USES_TECH,3.668,8,MEDIUM,报告期内，公司坚持“AI 原生”战略，将大模型技术深度植入核心业务平台，构建了通用大模型与金融垂域小模型协同创新的“N+M”技术体系。,核心竞争力,9.0
300348.SZ,TECH_PRIVACY,USES_TECH,0.427,1,MEDIUM,基于在银行核心系统领域近百个项目的成功实施经验，以及自主研发的微服务架构、分布式技术平台等成熟技术积累，公司将在数字人民币2.0 领域进行系统性布局：一是研发数字人民币与银行核心系统一体化解决方案；二是研发智能合约、隐私,业务概要,3.0
300377.SZ,APP_INTERNAL,APPLIES_INTERNAL,0.178,1,LOW,AI 原生+前沿技术构建智能审核体系：确立AI 原生研发思路，突破传统系统功能局限，构建新一代信息披露平台，实现产品由传统模式向场景化、自动化、数智化转型，为资管行业报表提供专业、高效、稳定、安全的信息披露解决方案，已在,业务概要,5.0
300377.SZ,PRODUCT_INVEST,OFFERS_PRODUCT,0.371,2,LOW,AI 应用方面，公司聚焦资管单据处理痛点，推出AI 智能解析平台。,业务概要,5.0
300377.SZ,TECH_LLM,USES_TECH,2.993,7,MEDIUM,报告期内，公司为头部公募基金、头部保险资管完成资产管理全系统AI 原生适配，实现估值核算、资金清算全流程人工智能能力嵌入；为大型股份制银行完成资产托管系统大模型兼容改造，实现多源大模型无缝切换调用。,业务概要,1.0
300377.SZ,TECH_ML,USES_TECH,0.315,1,MEDIUM,AI 原生+前沿技术深度融合应用：以AI 原生为核心研发理念，将自然语言处理（NLP）、机器学习、大数据等前沿技术深度耦合至数据业务场景，推动技术与业务深度融合创新。,业务概要,4.0
300380.SZ,PRODUCT_CREDIT,OFFERS_PRODUCT,1.007,2,MEDIUM,从设计开发到运维的全生命周期，可以大幅简化复杂应用软件的开发和维护。以人工智能为核心驱动力的下一代信贷系统， 聚焦打造具备深度智慧能力的软件版本。 系统以全业务场景AI 赋能为核心方向，将人工智能技术与信贷业务深度融合，,研发投入,11.0
300465.SZ,PRODUCT_CREDIT,OFFERS_PRODUCT,0.802,3,LOW,拟达到的目标：1、“智能催收分析系统”是我司人工智能在贷后催收中的应用系统。,研发投入,8.0
300465.SZ,TECH_NLP,USES_TECH,0.203,1,LOW,拟达到的目标：实现通话内容关键点高效提取，运用先进的自然语言处理技术，精准识别并提取被催收人员的还款能力相关信息，例如其明确提及的收入来源、资产状况、当前财务困境等；同时深度挖掘被催收人员的还款意愿，如是否主动承诺还款时,研发投入,8.0
300468.SZ,TECH_DECISION,USES_TECH,0.384,1,MEDIUM,核心实现招聘全流程数字化管控与以候选人为中心的进度追踪；构建无代码可配置的简历筛选规则引擎，结合自有 AI Agent 提升人岗匹配精度；基于NL2SQL 技术打造智能BI，支持自然语言数据洞察。,研发投入,19.0
300468.SZ,TECH_LLM,USES_TECH,0.172,1,LOW,针对生成式人工智能技术革命对金融业蕴含的巨大潜力和风险，公司荣幸成为香港金融管理局与香港数码港管理有限公司联合组织的第一与第二期生成式AI 沙盒的官方技术合作伙伴，与监管机构和行业先锋代表一起探索在金融行业确保风险可控前,核心竞争力,3.0
300541.SZ,AI_ENGINEERING,USES_TECH,1.153,2,HIGH,报告期内，公司紧抓AI 大模型驱动算力基础设施快速增长的机遇，建立了高效的供应链协同机制，优先保障客户AI 算力服务器、GPU 集群的资源调配，向客户提供优质的AI 训练、推理算力设备，并积极推广自有品牌算力服务器，满足,业务概要,1.0
300541.SZ,APP_INTERNAL,APPLIES_INTERNAL,0.514,1,MEDIUM,报告期内，公司启动了Starring AI+一体化研发，正式发布了先进数通金融级大模型智能代码助手平台软件，与国内主要信创厂商完成了双向兼容性认证，助力云原生开发平台的智能代码补全、逐行注释、代码解析、函数注释、代码优化,业务概要,2.0
300541.SZ,TECH_LLM,USES_TECH,1.448,4,LOW,报告期内，公司启动了Starring AI+一体化研发，正式发布了先进数通金融级大模型智能代码助手平台软件，与国内主要信创厂商完成了双向兼容性认证，助力云原生开发平台的智能代码补全、逐行注释、代码解析、函数注释、代码优化,业务概要,2.0
300542.SZ,PRODUCT_CREDIT,OFFERS_PRODUCT,0.147,1,LOW,拟达到的目标：增强公司在金融数据分析、非结构化数据管理等领域的基础技术以及产品能力， 减少 80%以上的双录人工质检工作量，双录质检周期从天级缩短至分钟级，贷款面签材料审核从小时级缩短至秒级，大幅加速业务流转。,研发投入,13.0
300542.SZ,TECH_CV,USES_TECH,0.948,2,MEDIUM,拟达到的目标：基于多模态大模型，研发一套符合银行业务要求的智能双录质检与图像识别系统原型。,研发投入,13.0
300542.SZ,TECH_LLM,USES_TECH,1.295,3,MEDIUM,拟达到的目标：基于多模态大模型，研发一套符合银行业务要求的智能双录质检与图像识别系统原型。,研发投入,13.0
300561.SZ,TECH_CV,USES_TECH,0.965,2,HIGH,公司将人工智能技术、物联网技术、身份识别技术与金融服务场景相结合，针对银行自助机具、金库运营、网点柜面、信贷风控、运营授权等业务场景，开发研制了一系列具备人脸识别、语音识别、指静脉识别、国密安全控制等核心功能的系统解决方,业务概要,1.0
300561.SZ,TECH_LLM,USES_TECH,0.427,1,MEDIUM,借助大模型技术发展，将业务领域专业性与通用大模型进行整合训练，希望在新兴领域应用产品化，达成人工智能产品落地。,研发投入,12.0
300561.SZ,TECH_SPEECH,USES_TECH,0.324,1,MEDIUM,公司将人工智能技术、物联网技术、身份识别技术与金融服务场景相结合，针对银行自助机具、金库运营、网点柜面、信贷风控、运营授权等业务场景，开发研制了一系列具备人脸识别、语音识别、指静脉识别、国密安全控制等核心功能的系统解决方,业务概要,1.0
300663.SZ,AI_ENGINEERING,USES_TECH,3.449,7,MEDIUM,在AI算力基础设施方面，公司推出训推一体机产品，完成与华为昇腾、中昊芯英TPU 等国产算力芯片的集成适配，并与魔聚平台深度协同，构建集模型训练、推理服务与资源管理于一体的私有化算力平台，为金融等行业大模型应用规模化落地提,核心竞争力,31.0
300663.SZ,PRODUCT_CREDIT,OFFERS_PRODUCT,0.686,1,HIGH,d.智能信贷尽调平台：公司所推出的智能信贷尽调平台，是专为银行等金融机构对公信贷业务打造的AI 智能解决方案，深度融合前沿大模型技术与金融信贷专业Know-How，精准破解传统对公尽调流程繁琐、效率低下、风险识别不足等痛,业务概要,15.0
300663.SZ,PRODUCT_CUSTOMER,OFFERS_PRODUCT,1.487,3,MEDIUM,在此基础上，公司推出PowerAgent 企业级大模型应用平台，覆盖智能合规、普惠金融、智能营销、智能客服等核心场景，形成了“魔聚+PowerAgent”的AI 双引擎架构，已在国内多家银行机构落地应用。,核心竞争力,31.0
300663.SZ,PRODUCT_INVEST,OFFERS_PRODUCT,0.554,2,LOW,在通用人工智能方面，结合主流大模型等AI 技术，“小蓝”支持智能语音对话、人脸识别、远程视频柜员、3D 数字人、智能投顾等功能，支持数字人民币与现金的自由兑换，可为银行客户提供更多个性化的服务；同时，产品重点提升网点服务,业务概要,11.0
300663.SZ,TECH_CV,USES_TECH,0.376,1,MEDIUM,在通用人工智能方面，结合主流大模型等AI 技术，“小蓝”支持智能语音对话、人脸识别、远程视频柜员、3D 数字人、智能投顾等功能，支持数字人民币与现金的自由兑换，可为银行客户提供更多个性化的服务；同时，产品重点提升网点服务,业务概要,11.0
300663.SZ,TECH_LLM,USES_TECH,5.519,15,MEDIUM,升级后的AI 数字银行产品系列，包括AI 银行APP 应用、AI 营销等AI 系统化能力，提供模型管理平台，支持DeepSeek、千问、智谱等主流开源大模型的管理及路由等。,业务概要,13.0
300674.SZ,PRODUCT_CREDIT,OFFERS_PRODUCT,1.564,4,MEDIUM,项目目的：利用大模型技术，并结合宇信在信贷领域的多年沉淀，助力银行信贷业务智能化升级。,研发投入,20.0
300674.SZ,TECH_LLM,USES_TECH,1.658,5,MEDIUM,项目目的：利用大模型技术，并结合宇信在信贷领域的多年沉淀，助力银行信贷业务智能化升级。,研发投入,20.0
300803.SZ,PRODUCT_CUSTOMER,OFFERS_PRODUCT,0.352,1,MEDIUM,主要研发项目名称：智能客服系统。,研发投入,8.0
300803.SZ,PRODUCT_INVEST,OFFERS_PRODUCT,0.846,3,LOW,拟达到的目标：为投资者提供全方位智能投研支持。,研发投入,8.0
300941.SZ,PRODUCT_PAYMENT,OFFERS_PRODUCT,0.458,1,MEDIUM,公司以软件及云平台为驱动，以终端设备为载体，聚合各种支付渠道，为用户提供统一支付和统一对账解决方案；并以支付为联结，结合行业特色应用、场景建设以及个性化营销，为商户、银行等用户提供“电子支付+ 行业特色应用+ 数字化营销,业务概要,1.0
300996.SZ,PRODUCT_FINANCE,OFFERS_PRODUCT,0.386,1,MEDIUM,项目进展：完成市场研究、业务研究、技术研究工作，整体进入开发阶段，完成费用报销智能填单、总账报账核算规则智能化，基于规则引擎与机器学习，搭建智能稽核中心，实现预算管控、 合同管控、大额支付等核心场景的自动审核与风险智能预,研发投入,19.0
300996.SZ,TECH_DECISION,USES_TECH,0.351,1,MEDIUM,项目进展：完成市场研究、业务研究、技术研究工作，整体进入开发阶段，完成费用报销智能填单、总账报账核算规则智能化，基于规则引擎与机器学习，搭建智能稽核中心，实现预算管控、 合同管控、大额支付等核心场景的自动审核与风险智能预,研发投入,19.0
300996.SZ,TECH_LLM,USES_TECH,1.045,3,MEDIUM,依托大模型技术持续打造设备智慧运维大模型等应用场景，提供智能助手及多个机理模型和算法模型，覆盖故障诊断、性能预测、资源优化等多个关键领域。,业务概要,3.0
300996.SZ,TECH_ML,USES_TECH,1.082,3,MEDIUM,项目进展：完成市场研究、业务研究、技术研究工作，整体进入开发阶段，完成费用报销智能填单、总账报账核算规则智能化，基于规则引擎与机器学习，搭建智能稽核中心，实现预算管控、 合同管控、大额支付等核心场景的自动审核与风险智能预,研发投入,19.0
600446.SH,PRODUCT_INVEST,OFFERS_PRODUCT,0.143,1,LOW,在资产管理领域，金证基于A8 新一代投资交易系统，构建了智能交易、智能风控等多个应用场景。,业务概要,2.0
600446.SH,TECH_LLM,USES_TECH,1.62,3,MEDIUM,在人工智能领域，公司自主研发金融领域特定场景大语言模型K-GPT、代码大模型K-CODE 及开发应用平台，推动技术创新和业务创新的双向赋能。,核心竞争力,5.0
600570.SH,PRODUCT_CUSTOMER,OFFERS_PRODUCT,1.148,2,HIGH,公司持续优化客户服务体系，面向客户同时提供产品化和个性化服务，并依托专业的服务团队和完善的支持体系，通过专家1 对1 的服务和统一知识服务平台，沉淀经验，结合大模型技术应用，提升主动服务能力，确保客户在使用公司产品和服务,核心竞争力,5.0
600570.SH,PRODUCT_INSURANCE,OFFERS_PRODUCT,0.278,1,MEDIUM,其中PB2.0 自主可控在多家头部券商完成竣工，产品竞争力进一步提升；程序化交易新规下，LDP 极速风控系统在多家券商上线，实现了合规性展业；量化算法服务客群进一步延伸至高净值用户，OPLUS 产品中标多家保险私募子公司,业务概要,2.0
600570.SH,PRODUCT_INVEST,OFFERS_PRODUCT,2.073,4,MEDIUM,智能投研产品主要包括WarrenQ 智能投研平台、洞见一体化投研解决方案、智眸风险预警系统及小梵智能财富组件服务。,业务概要,2.0
600570.SH,TECH_LLM,USES_TECH,1.212,3,MEDIUM,客服大模型实现客户服务全生命周期服务链路赋能，形成“接入-服务-受理-检查-分析-改进”的完整解决方案，完成11家新客户签约。,业务概要,1.0
600906.SH,PRODUCT_CUSTOMER,OFFERS_PRODUCT,0.387,1,MEDIUM,一是不断创新并优化迭代股市通APP、理财师等产品，逐步将大模型能力融入业务场景，使投资者能够更便捷、高效地开展投资活动，构建全场景数字化服务矩阵以及数智化对客服务平台。,核心竞争力,15.0
600906.SH,PRODUCT_INVEST,OFFERS_PRODUCT,0.177,1,LOW,一是不断创新并优化迭代股市通APP、理财师等产品，逐步将大模型能力融入业务场景，使投资者能够更便捷、高效地开展投资活动，构建全场景数字化服务矩阵以及数智化对客服务平台。,核心竞争力,15.0
600906.SH,TECH_DECISION,USES_TECH,0.372,1,MEDIUM,二是持续打造“看、管、办”一体化的智能风控平台，实现纵向穿透、横向互联的风控体系，有效提升风险管控能力。,核心竞争力,15.0
600906.SH,TECH_LLM,USES_TECH,0.414,1,MEDIUM,一是不断创新并优化迭代股市通APP、理财师等产品，逐步将大模型能力融入业务场景，使投资者能够更便捷、高效地开展投资活动，构建全场景数字化服务矩阵以及数智化对客服务平台。,核心竞争力,15.0
600928.SH,PRODUCT_CREDIT,OFFERS_PRODUCT,0.448,1,MEDIUM,二是强化贷后管理，迭代升级智能风控预警体系，实现对风险信号的早识别、早预警、早干预，全面提升风险管控精度与处置效率。,业务概要,24.0
600928.SH,PRODUCT_CUSTOMER,OFFERS_PRODUCT,0.164,1,LOW,通过产品、营销、风控、合规线上化，提升业务运转效率；依托手机银行平台，聚焦客户高频需求，探索“千人千面”精准服务与智能AI 应用，打造“金融+生活”一体化的高粘性综合服务平台，实现业务增长与客户体验的双重提升。,核心竞争力,28.0
600928.SH,TECH_DECISION,USES_TECH,0.366,1,MEDIUM,二是强化贷后管理，迭代升级智能风控预警体系，实现对风险信号的早识别、早预警、早干预，全面提升风险管控精度与处置效率。,业务概要,24.0
601059.SH,PRODUCT_FRAUD,OFFERS_PRODUCT,0.41,1,MEDIUM,公司持续强化合规检查、合规监测等管理手段，推进反洗钱、员工投资行为管理等系统的升级改造；推进风险管理系统建设，健全优化内部评级管理体系，持续推进业务覆盖范围，持续完善同一客户同一业务数据质量，风险管理水平不断提高。,核心竞争力,6.0
601788.SH,PRODUCT_CUSTOMER,OFFERS_PRODUCT,0.353,1,MEDIUM,致力于构建以用户和场景为中心的一体化数字金融服务体系，深化大数据、人工智能等技术与业务融合，积极探索AI 与大模型在客户服务、运营优化等领域的应用，持续加强网络与信息安全体系建设，夯实数字化发展的稳固基石。,核心竞争力,10.0
601788.SH,TECH_LLM,USES_TECH,0.421,1,MEDIUM,致力于构建以用户和场景为中心的一体化数字金融服务体系，深化大数据、人工智能等技术与业务融合，积极探索AI 与大模型在客户服务、运营优化等领域的应用，持续加强网络与信息安全体系建设，夯实数字化发展的稳固基石。,核心竞争力,10.0
603093.SH,PRODUCT_INVEST,OFFERS_PRODUCT,0.37,1,MEDIUM,公司推出南华投研通、南华研究小程序等服务载体，上线NHTD5 系统，有效支撑相关业务高效开展；同时，打造新一代智能化数据底座与AI 大模型底座，实现数据治理、开发与应用的良性循环，推动大模型在多个业务场景落地应用。,核心竞争力,7.0
603093.SH,TECH_LLM,USES_TECH,0.397,1,MEDIUM,公司推出南华投研通、南华研究小程序等服务载体，上线NHTD5 系统，有效支撑相关业务高效开展；同时，打造新一代智能化数据底座与AI 大模型底座，实现数据治理、开发与应用的良性循环，推动大模型在多个业务场景落地应用。,核心竞争力,7.0
603123.SH,PRODUCT_PAYMENT,OFFERS_PRODUCT,0.458,1,MEDIUM,基于较强的大数据治理能力，海科融通前瞻性布局AI 技术研发，通过“智能支付+”创新服务体系构建行业生态：以人工智能为核心驱动力，深度整合AI 大模型技术能力，全面赋能公司业务向数字支付领域转型。,核心竞争力,5.0
603171.SH,TECH_KG,USES_TECH,0.611,1,HIGH,目前，公司财税垂域大模型已积累大量高精度的财税专业知识图谱，有力支撑数智财税专家咨询业务，显著提升了专家的工作质效。,业务概要,5.0
603171.SH,TECH_LLM,USES_TECH,2.136,6,MEDIUM,公司依托“犀友”人工智能平台，构建垂域大模型、垂域知识中心、垂域AI 产品生态，更好地为客户提供数据价值服务，提升政府治理效率。,业务概要,4.0
603171.SH,TECH_RL,USES_TECH,0.393,1,MEDIUM,依托垂直领域Harness 约束反馈系统与深度强化学习、逻辑验证机制，公司持续迭代财税垂域大模型，有效解决通用大模型知识缺失、AI 幻觉、推理不确定等核心问题，实现财税服务判断精准推演、全流程可追溯与结论零风险，保障在财,核心竞争力,10.0
603927.SH,AI_ENGINEERING,USES_TECH,1.173,3,LOW,在技术落地层面，公司以MaaS 平台为智能中枢，贯通算力调度、模型训练与推理。,核心竞争力,17.0
603927.SH,APP_INTERNAL,APPLIES_INTERNAL,0.453,1,MEDIUM,研发项目：行业应用软件可观测AIOps 平台、智慧执法办案平台、企业级人工智能MES 系统、保险监管数据AIGC 知识辅助系统、智慧工坊、基于人工智能的自动化测试平台、智能化数字人寿险建议书系统、基于语义理解的团险特约理,研发投入,15.0
603927.SH,PRODUCT_INSURANCE,OFFERS_PRODUCT,1.078,3,MEDIUM,于大数据和智能匹配的汽车后市场维修资源智能推送系统、意健险快速出单系统、保险中介风控出单平台：数据治理与分析应用。,研发投入,16.0
603927.SH,TECH_KG,USES_TECH,0.932,2,HIGH,通过将海量项目实践中的样本程序、技术文档及业务逻辑转化为结构化的知识图谱与经验模型，公司不仅实现了软件开发的提质增效与快速迭代，更形成了一套完整的行业专识体系。,核心竞争力,17.0
