原型ID,标准标签代码,样本类型,原型句,用途,预期判定
PRO-028,TECH_KG,POSITIVE,系统利用知识图谱推理发现账户之间的隐性关联。,用于短语/句子嵌入原型或验证集,正向类别
PRO-029,TECH_KG,HARD_NEGATIVE,公司展示了集团组织架构图。,用于易混淆样本校验,不应归入该类别
PRO-030,TECH_KG,HARD_NEGATIVE,网络运维平台绘制服务器拓扑关系。,用于易混淆样本校验,不应归入该类别
PRO-031,TECH_DECISION,POSITIVE,风控决策引擎融合机器学习评分模型和业务规则进行自动审批。,用于短语/句子嵌入原型或验证集,正向类别
PRO-032,TECH_DECISION,POSITIVE,决策平台调用知识图谱和风险模型生成授信建议。,用于短语/句子嵌入原型或验证集,正向类别
PRO-033,TECH_DECISION,POSITIVE,策略引擎根据模型预测结果动态调整交易拦截规则。,用于短语/句子嵌入原型或验证集,正向类别
PRO-034,TECH_DECISION,HARD_NEGATIVE,系统根据人工配置的固定规则执行流程审批。,用于易混淆样本校验,不应归入该类别
PRO-035,TECH_DECISION,HARD_NEGATIVE,公司建设普通工作流引擎实现表单流转。,用于易混淆样本校验,不应归入该类别
PRO-036,TECH_LLM,POSITIVE,公司基于金融语料微调大语言模型，用于研报摘要和问答。,用于短语/句子嵌入原型或验证集,正向类别
PRO-037,TECH_LLM,POSITIVE,平台结合RAG与企业知识库构建金融智能助手。,用于短语/句子嵌入原型或验证集,正向类别
PRO-038,TECH_LLM,POSITIVE,公司接入DeepSeek并通过工具调用完成合同审查流程。,用于短语/句子嵌入原型或验证集,正向类别
PRO-039,TECH_LLM,HARD_NEGATIVE,年报介绍了ChatGPT在全球市场的发展趋势。,用于易混淆样本校验,不应归入该类别
PRO-040,TECH_LLM,HARD_NEGATIVE,公司列举了多个大模型品牌，但未披露任何接入或应用行为。,用于易混淆样本校验,不应归入该类别
PRO-041,TECH_PRIVACY,POSITIVE,公司采用联邦学习与银行联合训练信用风险模型，数据不出域。,用于短语/句子嵌入原型或验证集,正向类别
PRO-042,TECH_PRIVACY,POSITIVE,隐私计算平台支持多家金融机构开展联合反欺诈建模。,用于短语/句子嵌入原型或验证集,正向类别
PRO-043,TECH_PRIVACY,POSITIVE,系统使用安全多方计算完成跨机构风险特征统计。,用于短语/句子嵌入原型或验证集,正向类别
PRO-044,TECH_PRIVACY,HARD_NEGATIVE,公司对数据库进行普通访问权限管理。,用于易混淆样本校验,不应归入该类别
PRO-045,TECH_PRIVACY,HARD_NEGATIVE,公司使用加密传输保护网站登录数据。,用于易混淆样本校验,不应归入该类别
PRO-046,AI_ENGINEERING,POSITIVE,公司建设MLOps平台管理模型训练、上线、监控和迭代。,用于短语/句子嵌入原型或验证集,正向类别
PRO-047,AI_ENGINEERING,POSITIVE,模型监控平台持续检测数据漂移和预测性能变化。,用于短语/句子嵌入原型或验证集,正向类别
PRO-048,AI_ENGINEERING,POSITIVE,AI中台向多个金融产品提供统一推理和特征服务。,用于短语/句子嵌入原型或验证集,正向类别
PRO-049,AI_ENGINEERING,HARD_NEGATIVE,公司建设普通数据仓库用于报表查询。,用于易混淆样本校验,不应归入该类别
PRO-050,AI_ENGINEERING,HARD_NEGATIVE,信息系统升级了服务器和网络设备。,用于易混淆样本校验,不应归入该类别
PRO-051,PRODUCT_CREDIT,POSITIVE,公司推出智能授信产品，利用机器学习评估小微企业信用风险。,用于短语/句子嵌入原型或验证集,正向类别
PRO-052,PRODUCT_CREDIT,POSITIVE,信用评分模型已部署到消费金融贷款审批流程。,用于短语/句子嵌入原型或验证集,正向类别
PRO-053,PRODUCT_CREDIT,POSITIVE,贷后预警系统通过异常检测识别客户还款风险。,用于短语/句子嵌入原型或验证集,正向类别
PRO-054,PRODUCT_CREDIT,HARD_NEGATIVE,公司按照内部制度开展常规信用风险评估。,用于易混淆样本校验,不应归入该类别
PRO-055,PRODUCT_CREDIT,HARD_NEGATIVE,贷款审批主要由人工调查和专家判断完成。,用于易混淆样本校验,不应归入该类别
PRO-056,PRODUCT_FRAUD,POSITIVE,智能反洗钱平台通过知识图谱发现可疑交易网络。,用于短语/句子嵌入原型或验证集,正向类别
PRO-057,PRODUCT_FRAUD,POSITIVE,反欺诈模型实时识别支付交易中的异常行为。,用于短语/句子嵌入原型或验证集,正向类别
PRO-058,PRODUCT_FRAUD,POSITIVE,智能KYC系统结合证照识别和风险模型完成客户尽调。,用于短语/句子嵌入原型或验证集,正向类别
PRO-059,PRODUCT_FRAUD,HARD_NEGATIVE,公司依据监管要求建立反洗钱管理制度。,用于易混淆样本校验,不应归入该类别
PRO-060,PRODUCT_FRAUD,HARD_NEGATIVE,合规人员人工核对制裁名单。,用于易混淆样本校验,不应归入该类别
PRO-061,PRODUCT_CUSTOMER,POSITIVE,智能客服通过大语言模型回答客户的账户和产品问题。,用于短语/句子嵌入原型或验证集,正向类别
PRO-062,PRODUCT_CUSTOMER,POSITIVE,客户流失模型识别高风险客群并触发挽留策略。,用于短语/句子嵌入原型或验证集,正向类别
PRO-063,PRODUCT_CUSTOMER,POSITIVE,推荐算法根据客户画像生成个性化金融产品建议。,用于短语/句子嵌入原型或验证集,正向类别
PRO-064,PRODUCT_CUSTOMER,HARD_NEGATIVE,公司使用CRM系统记录客户基本信息。,用于易混淆样本校验,不应归入该类别
PRO-065,PRODUCT_CUSTOMER,HARD_NEGATIVE,营销人员根据经验对客户进行人工分组。,用于易混淆样本校验,不应归入该类别
PRO-066,PRODUCT_INVEST,POSITIVE,智能投研平台利用NLP解析公告并生成事件摘要。,用于短语/句子嵌入原型或验证集,正向类别
PRO-067,PRODUCT_INVEST,POSITIVE,机器学习模型用于股票因子挖掘和组合优化。,用于短语/句子嵌入原型或验证集,正向类别
PRO-068,PRODUCT_INVEST,POSITIVE,智能投顾系统根据客户风险偏好提供资产配置建议。,用于短语/句子嵌入原型或验证集,正向类别
PRO-069,PRODUCT_INVEST,HARD_NEGATIVE,公司开展传统程序化交易，策略由人工设定。,用于易混淆样本校验,不应归入该类别
PRO-070,PRODUCT_INVEST,HARD_NEGATIVE,研究员人工阅读研报并形成投资建议。,用于易混淆样本校验,不应归入该类别
PRO-071,PRODUCT_INSURANCE,POSITIVE,智能核保模型根据健康数据预测承保风险。,用于短语/句子嵌入原型或验证集,正向类别
PRO-072,PRODUCT_INSURANCE,POSITIVE,智能理赔系统使用OCR和图像识别审核理赔材料。,用于短语/句子嵌入原型或验证集,正向类别
PRO-073,PRODUCT_INSURANCE,POSITIVE,保险反欺诈平台识别异常投保和团伙理赔行为。,用于短语/句子嵌入原型或验证集,正向类别
PRO-074,PRODUCT_INSURANCE,HARD_NEGATIVE,核保人员按照固定规则人工审核投保申请。,用于易混淆样本校验,不应归入该类别
PRO-075,PRODUCT_INSURANCE,HARD_NEGATIVE,公司上线普通保单管理系统。,用于易混淆样本校验,不应归入该类别
PRO-076,PRODUCT_PAYMENT,POSITIVE,支付风控模型实时识别异常商户和高风险交易。,用于短语/句子嵌入原型或验证集,正向类别
PRO-077,PRODUCT_PAYMENT,POSITIVE,智能路由系统根据成功率、成本和风险选择支付通道。,用于短语/句子嵌入原型或验证集,正向类别
PRO-078,PRODUCT_PAYMENT,POSITIVE,商户风险识别平台利用图网络发现关联套现行为。,用于短语/句子嵌入原型或验证集,正向类别
PRO-079,PRODUCT_PAYMENT,HARD_NEGATIVE,公司提供二维码支付和账户结算服务。,用于易混淆样本校验,不应归入该类别
PRO-080,PRODUCT_PAYMENT,HARD_NEGATIVE,支付系统按照固定优先级选择通道。,用于易混淆样本校验,不应归入该类别
PRO-081,PRODUCT_FINANCE,POSITIVE,智能审计系统利用异常检测识别财务舞弊线索。,用于短语/句子嵌入原型或验证集,正向类别
PRO-082,PRODUCT_FINANCE,POSITIVE,合同审核平台通过NLP抽取条款并提示合规风险。,用于短语/句子嵌入原型或验证集,正向类别
PRO-083,PRODUCT_FINANCE,POSITIVE,现金流预测模型支持企业资金计划和流动性管理。,用于短语/句子嵌入原型或验证集,正向类别
PRO-084,PRODUCT_FINANCE,HARD_NEGATIVE,公司使用财务软件完成会计核算。,用于易混淆样本校验,不应归入该类别
PRO-085,PRODUCT_FINANCE,HARD_NEGATIVE,审计人员人工抽查凭证和合同。,用于易混淆样本校验,不应归入该类别
PRO-086,APP_INTERNAL,POSITIVE,研发团队使用代码助手生成程序并进行代码解释。,用于短语/句子嵌入原型或验证集,正向类别
PRO-087,APP_INTERNAL,POSITIVE,AIOps平台通过异常检测完成告警降噪和根因分析。,用于短语/句子嵌入原型或验证集,正向类别
PRO-088,APP_INTERNAL,POSITIVE,内部知识助手结合企业知识库回答员工业务问题。,用于短语/句子嵌入原型或验证集,正向类别
PRO-089,APP_INTERNAL,HARD_NEGATIVE,公司使用普通RPA脚本搬运报表数据。,用于易混淆样本校验,不应归入该类别
PRO-090,APP_INTERNAL,HARD_NEGATIVE,研发人员使用传统集成开发环境编写代码。,用于易混淆样本校验,不应归入该类别
PRO-200,AI_GENERAL,POSITIVE,公司正在推进人工智能技术在金融业务中的研发和应用。,通用AI锚点原型，不直接映射具体技术栈,仅作为候选召回锚点
PRO-201,AI_GENERAL,POSITIVE,本集团已将AI能力接入多个业务平台，但未披露具体模型架构。,通用AI锚点原型，不直接映射具体技术栈,仅作为候选召回锚点
PRO-202,AI_GENERAL,POSITIVE,公司部署智能体执行多步骤业务任务，但未披露大模型或强化学习技术。,智能体通用锚点原型,归入AI_GENERAL，不直接归入TECH_LLM或TECH_RL
PRO-203,AI_GENERAL,HARD_NEGATIVE,人工智能正在推动金融行业数字化转型。,行业背景难负例,不归属于公司AI布局
PRO-204,AI_GENERAL,HARD_NEGATIVE,公司名称或英文单词内部包含字母AI，但不存在独立AI术语。,英文边界难负例,不得通过字符串包含命中
