ts_code,name,industry,final_fintech_related,final_confidence,final_tracks,evidence_source,consistency_note,round1_fintech_related,round1_confidence,round1_tracks,round1_reason,round2_fintech_related,round2_confidence,round2_tracks,is_pseudo_fintech_false_positive,recommend_manual_review,recheck_trigger,manual_review_conclusion,manual_review_note
688590.SH,新致软件,软件服务,TRUE,80,保险IT、银行IT,第二轮复核-主营业务层面,结论一致,TRUE,75,保险IT、银行IT,公司主营业务包含面向保险和银行等金融行业的IT解决方案，属于金融科技范畴；但未提供AI相关具体证据。,TRUE,80,保险IT、银行IT,FALSE,FALSE,低置信度,,
000997.SZ,新大陆,IT设备,TRUE,75,支付科技、其他金融科技,第二轮复核-主营业务层面,结论一致,TRUE,70,支付科技、其他金融科技,主营业务包含电子支付产品及商户运营增值服务，涉及支付科技，但未明确软件或技术解决方案细节，且无AI证据。,TRUE,75,支付科技、其他金融科技,FALSE,FALSE,低置信度,,
300941.SZ,创识科技,IT设备,TRUE,75,支付科技,第二轮复核-主营业务层面,结论一致,TRUE,70,支付科技,主营业务包含商户端支付解决方案和银行端产品及服务，明确涉及金融支付场景；金融行业收入规模较大，但未提及人工智能技术。,TRUE,75,支付科技,FALSE,FALSE,低置信度,,
300996.SZ,普联软件,软件服务,TRUE,75,财务SaaS,第二轮复核-主营业务层面,★复核修正了第一轮结论,FALSE,65,,仅有'金融行业'作为一项业务，但未提供具体的金融科技产品、解决方案或技术细节，不足以认定其为金融科技供应商。,TRUE,75,财务SaaS,FALSE,FALSE,低置信度,,
300333.SZ,兆日科技,IT设备,TRUE,70,支付科技,第二轮复核-主营业务层面,结论一致,TRUE,75,支付科技,主营业务包含电子支付密码系统、支付管理系统、对公移动支付，属于支付科技范畴，但输入没有AI技术证据，且业务描述较为具体。,TRUE,70,支付科技,FALSE,FALSE,低置信度,,
300348.SZ,长亮科技,软件服务,TRUE,70,银行IT、金融数据,第二轮复核-主营业务层面,结论一致,TRUE,75,银行IT、金融数据,主营业务包括数字金融业务解决方案和大数据应用系统解决方案，明确面向金融行业的数字化和数据处理，符合银行IT和金融数据赛道。但未出现AI相关描述，需要年报进一步验证是否存在AI技术。,TRUE,70,银行IT、金融数据,FALSE,FALSE,低置信度,,
300377.SZ,赢时胜,软件服务,TRUE,70,银行IT、证券IT、保险IT、财富管理科技、其他金融科技,第二轮复核-主营业务层面,结论一致,TRUE,70,银行IT、证券IT、保险IT、财富管理科技、其他金融科技,公司主营业务为面向金融行业的定制软件开发和销售，金融行业收入占比极高（约98.9%），但输入中未明确提及具体金融科技赛道（如银行IT、证券IT）或AI技术，需年报验证。,TRUE,70,银行IT、证券IT、保险IT、财富管理科技、其他金融科技,FALSE,FALSE,低置信度,,
300468.SZ,四方精创,软件服务,TRUE,70,银行IT,第二轮复核-主营业务层面,结论一致,TRUE,65,银行IT、证券IT、保险IT,主营业务包括软件开发及维护、系统集成，客户涉及银行和非银行金融机构，但项目描述宽泛，未明确金融专用软件或AI技术，需要年报验证。,TRUE,70,银行IT,FALSE,FALSE,低置信度,,
600624.SH,ST复华,化学制药,TRUE,70,保险IT,第二轮复核-主营业务层面,结论一致,TRUE,75,保险IT,主营业务中包含'金融保险系统软件产品'，明确指向保险IT赛道，但输入中无AI证据，且产品描述较为概括。,TRUE,70,保险IT,FALSE,FALSE,低置信度,,
300059.SZ,东方财富,证券,TRUE,60,金融数据、证券IT、其他金融科技,第二轮复核-主营业务层面,结论一致,TRUE,70,金融数据,主营业务中包含'金融数据服务'，属于金融科技赛道中的金融数据。但收入占比相对较小（与证券经纪业务等相比），且无AI相关证据。,TRUE,60,金融数据、证券IT、其他金融科技,FALSE,FALSE,低置信度,,
300180.SZ,华峰超纤,化纤,TRUE,60,支付科技、其他金融科技,第二轮复核-主营业务层面,结论一致,TRUE,70,支付科技、其他金融科技,主营业务中包含移动支付产品和金融增值服务业务，属于金融科技范畴；但收入占比低，且未出现AI相关描述。,TRUE,60,支付科技、其他金融科技,FALSE,FALSE,低置信度,,
300542.SZ,新晨科技,软件服务,TRUE,60,银行IT、证券IT、其他金融科技,第二轮复核-主营业务层面,结论一致,TRUE,65,银行IT、证券IT、其他金融科技,公司软件开发业务和系统集成业务面向银行及非银金融机构，收入规模大，属于金融IT服务商，但主营业务描述宽泛，缺乏具体金融科技产品或AI证据。,TRUE,60,银行IT、证券IT、其他金融科技,FALSE,FALSE,低置信度,,
300033.SZ,同花顺,软件服务,TRUE,92,人工智能与大模型、智能投顾与财富管理、数据平台与数据治理、支付清算与数字人民币,第二轮复核-年报层面,结论一致,TRUE,75,金融数据、财富管理科技、其他金融科技,主营业务为金融信息服务、基金销售等，明确面向金融场景，属于金融数据、财富管理科技和其他金融科技赛道。未出现人工智能相关表述，AI证据为none。,TRUE,92,人工智能与大模型、智能投顾与财富管理、数据平台与数据治理、支付清算与数字人民币,FALSE,FALSE,非持牌金融相关主体,,
300380.SZ,安硕信息,软件服务,TRUE,90,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、监管科技与合规、科技投入与组织建设,第二轮复核-年报层面,结论一致,TRUE,75,银行IT、智能风控,主营业务明确包含银行专用信贷管理系统和风险管理系统，属于银行IT和智能风控赛道，但输入未涉及人工智能技术。,TRUE,90,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、监管科技与合规、科技投入与组织建设,FALSE,FALSE,非持牌金融相关主体,,
601658.SH,邮储银行,未提供（未出现在第一轮主营业务文件中）,TRUE,90,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、支付清算与数字人民币、智能投顾与财富管理、监管科技与合规、科技投入与组织建设,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,90,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、支付清算与数字人民币、智能投顾与财富管理、监管科技与合规、科技投入与组织建设,FALSE,FALSE,低置信度,,
601198.SH,东兴证券,未提供（未出现在第一轮主营业务文件中）,TRUE,88,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、智能投顾与财富管理、证券科技、科技投入与组织建设,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,88,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、智能投顾与财富管理、证券科技、科技投入与组织建设,FALSE,FALSE,低置信度,,
000686.SZ,东北证券,未提供（未出现在第一轮主营业务文件中）,TRUE,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、科技投入与组织建设、证券科技,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、科技投入与组织建设、证券科技,FALSE,FALSE,低置信度,,
000776.SZ,广发证券,未提供（未出现在第一轮主营业务文件中）,TRUE,85,人工智能与大模型、智能投顾与财富管理、数据平台与数据治理、云计算与技术基础设施、科技投入与组织建设,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,85,人工智能与大模型、智能投顾与财富管理、数据平台与数据治理、云计算与技术基础设施、科技投入与组织建设,FALSE,FALSE,低置信度,,
000987.SZ,越秀资本,未提供（未出现在第一轮主营业务文件中）,TRUE,85,科技投入与组织建设、智能风控与反欺诈、人工智能与大模型,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,85,科技投入与组织建设、智能风控与反欺诈、人工智能与大模型,FALSE,FALSE,非持牌金融相关主体,,
002670.SZ,国盛证券,未提供（未出现在第一轮主营业务文件中）,TRUE,85,人工智能与大模型、数据平台与数据治理、云计算与技术基础设施、科技投入与组织建设、其他金融科技,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,85,人工智能与大模型、数据平台与数据治理、云计算与技术基础设施、科技投入与组织建设、其他金融科技,FALSE,FALSE,低置信度,,
002721.SZ,金一文化,服饰,TRUE,85,人工智能与大模型、支付清算与数字人民币、智能风控与反欺诈、数据平台与数据治理、数字化渠道与开放银行、科技投入与组织建设,第二轮复核-年报层面,结论一致,TRUE,75,财富管理科技、支付科技、智能风控,主营业务包含明确的金融科技解决方案（财富管理、支付清算、智能数字化客户服务），且银行客户收入显著，但AI证据仅为'智能'一词，属于间接证据，需要年报验证。,TRUE,85,人工智能与大模型、支付清算与数字人民币、智能风控与反欺诈、数据平台与数据治理、数字化渠道与开放银行、科技投入与组织建设,FALSE,FALSE,非持牌金融相关主体,,
002926.SZ,华西证券,未提供（未出现在第一轮主营业务文件中）,TRUE,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、科技投入与组织建设,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、科技投入与组织建设,FALSE,FALSE,低置信度,,
300085.SZ,银之杰,未提供（未出现在第一轮主营业务文件中）,TRUE,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、智能投顾与财富管理、证券科技、科技投入与组织建设、其他金融科技,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、智能投顾与财富管理、证券科技、科技投入与组织建设、其他金融科技,FALSE,FALSE,非持牌金融相关主体,,
300541.SZ,先进数通,软件服务,TRUE,85,人工智能与大模型、智能风控与反欺诈、数据平台与数据治理、云计算与技术基础设施、数字化渠道与开放银行、监管科技与合规、支付清算与数字人民币、证券科技、其他金融科技,第二轮复核-年报层面,结论一致,TRUE,70,银行IT,主营业务包括专对银行的IT基础设施、软件解决方案和运维服务，表明公司从事银行IT业务。但未提及人工智能相关技术，且业务包含通用IT基础设施，需年报进一步验证。,TRUE,85,人工智能与大模型、智能风控与反欺诈、数据平台与数据治理、云计算与技术基础设施、数字化渠道与开放银行、监管科技与合规、支付清算与数字人民币、证券科技、其他金融科技,FALSE,FALSE,非持牌金融相关主体,,
300674.SZ,宇信科技,软件服务,TRUE,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、支付清算与数字人民币、监管科技与合规、科技投入与组织建设,第二轮复核-年报层面,结论一致,TRUE,75,银行IT、证券IT,主营业务明确包含银行IT解决方案和非银IT解决方案，表明公司实质从事金融科技（银行IT和证券IT），且银行IT解决方案收入规模最大，属于核心业务。输入中未出现人工智能相关术语。,TRUE,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、支付清算与数字人民币、监管科技与合规、科技投入与组织建设,FALSE,FALSE,非持牌金融相关主体,,
600036.SH,招商银行,未提供（未出现在第一轮主营业务文件中）,TRUE,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、监管科技与合规、支付清算与数字人民币、科技投入与组织建设,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、监管科技与合规、支付清算与数字人民币、科技投入与组织建设,FALSE,FALSE,低置信度,,
600095.SH,湘财股份,未提供（未出现在第一轮主营业务文件中）,TRUE,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、科技投入与组织建设,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、科技投入与组织建设,FALSE,FALSE,低置信度,,
600928.SH,西安银行,未提供（未出现在第一轮主营业务文件中）,TRUE,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、支付清算与数字人民币、科技投入与组织建设、其他金融科技,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、支付清算与数字人民币、科技投入与组织建设、其他金融科技,FALSE,FALSE,低置信度,,
601166.SH,兴业银行,未提供（未出现在第一轮主营业务文件中）,TRUE,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、支付清算与数字人民币、监管科技与合规、科技投入与组织建设,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、支付清算与数字人民币、监管科技与合规、科技投入与组织建设,FALSE,FALSE,低置信度,,
601788.SH,光大证券,未提供（未出现在第一轮主营业务文件中）,TRUE,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、智能投顾与财富管理、科技投入与组织建设、支付清算与数字人民币、监管科技与合规,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、智能投顾与财富管理、科技投入与组织建设、支付清算与数字人民币、监管科技与合规,FALSE,FALSE,低置信度,,
601860.SH,紫金银行,未提供（未出现在第一轮主营业务文件中）,TRUE,85,支付清算与数字人民币、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、人工智能与大模型、科技投入与组织建设,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,85,支付清算与数字人民币、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、人工智能与大模型、科技投入与组织建设,FALSE,FALSE,低置信度,,
601901.SH,方正证券,未提供（未出现在第一轮主营业务文件中）,TRUE,85,人工智能与大模型、智能风控与反欺诈、云计算与技术基础设施、科技投入与组织建设,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,85,人工智能与大模型、智能风控与反欺诈、云计算与技术基础设施、科技投入与组织建设,FALSE,FALSE,低置信度,,
601939.SH,建设银行,未提供（未出现在第一轮主营业务文件中）,TRUE,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、智能投顾与财富管理、支付清算与数字人民币、科技投入与组织建设,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、智能投顾与财富管理、支付清算与数字人民币、科技投入与组织建设,FALSE,FALSE,低置信度,,
601988.SH,中国银行,未提供（未出现在第一轮主营业务文件中）,TRUE,85,人工智能与大模型、智能风控与反欺诈、支付清算与数字人民币、科技投入与组织建设、数据平台与数据治理、数字化渠道与开放银行、其他金融科技,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,85,人工智能与大模型、智能风控与反欺诈、支付清算与数字人民币、科技投入与组织建设、数据平台与数据治理、数字化渠道与开放银行、其他金融科技,FALSE,FALSE,低置信度,,
603093.SH,南华期货,未提供（未出现在第一轮主营业务文件中）,TRUE,85,人工智能与大模型、数据平台与数据治理、云计算与技术基础设施、数字化渠道与开放银行、科技投入与组织建设、其他金融科技,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,85,人工智能与大模型、数据平台与数据治理、云计算与技术基础设施、数字化渠道与开放银行、科技投入与组织建设、其他金融科技,FALSE,FALSE,低置信度,,
603123.SH,翠微股份,未提供（未出现在第一轮主营业务文件中）,TRUE,85,支付清算与数字人民币、人工智能与大模型、数字化渠道与开放银行、数据平台与数据治理,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,85,支付清算与数字人民币、人工智能与大模型、数字化渠道与开放银行、数据平台与数据治理,FALSE,FALSE,非持牌金融相关主体,,
600906.SH,财达证券,未提供（未出现在第一轮主营业务文件中）,TRUE,82,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、智能投顾与财富管理、科技投入与组织建设、其他金融科技,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,82,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、智能投顾与财富管理、科技投入与组织建设、其他金融科技,FALSE,FALSE,低置信度,,
601688.SH,华泰证券,未提供（未出现在第一轮主营业务文件中）,TRUE,82,人工智能与大模型、智能风控与反欺诈、数据平台与数据治理、监管科技与合规、科技投入与组织建设、其他金融科技,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,82,人工智能与大模型、智能风控与反欺诈、数据平台与数据治理、监管科技与合规、科技投入与组织建设、其他金融科技,FALSE,FALSE,低置信度,,
300803.SZ,指南针,软件服务,TRUE,80,人工智能与大模型、智能投顾与财富管理、证券科技、科技投入与组织建设、其他金融科技,第二轮复核-年报层面,结论一致,TRUE,75,金融数据,主营业务明确包含金融信息服务，属于金融数据赛道，且收入规模大（15.09亿），未提及AI技术。,TRUE,80,人工智能与大模型、智能投顾与财富管理、证券科技、科技投入与组织建设、其他金融科技,FALSE,FALSE,非持牌金融相关主体,,
601519.SH,大智慧,软件服务,TRUE,80,人工智能与大模型、智能风控与反欺诈、数据平台与数据治理、智能投顾与财富管理、科技投入与组织建设、其他金融科技,第二轮复核-年报层面,结论一致,TRUE,75,金融数据、证券IT,主营业务明确为金融资讯和数据终端服务系统，以及证券公司综合服务系统，属于金融数据和证券IT赛道。输入中无AI相关证据。,TRUE,80,人工智能与大模型、智能风控与反欺诈、数据平台与数据治理、智能投顾与财富管理、科技投入与组织建设、其他金融科技,FALSE,FALSE,非持牌金融相关主体,,
601818.SH,光大银行,未提供（未出现在第一轮主营业务文件中）,TRUE,80,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、科技投入与组织建设、支付清算与数字人民币、监管科技与合规,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,80,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、科技投入与组织建设、支付清算与数字人民币、监管科技与合规,FALSE,FALSE,低置信度,,
601825.SH,沪农商行,未提供（未出现在第一轮主营业务文件中）,TRUE,80,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、支付清算与数字人民币、科技投入与组织建设,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,80,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、支付清算与数字人民币、科技投入与组织建设,FALSE,FALSE,低置信度,,
601995.SH,中金公司,未提供（未出现在第一轮主营业务文件中）,TRUE,80,人工智能与大模型、数字化渠道与开放银行、智能投顾与财富管理、科技投入与组织建设,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,80,人工智能与大模型、数字化渠道与开放银行、智能投顾与财富管理、科技投入与组织建设,FALSE,FALSE,低置信度,,
002987.SZ,京北方,软件服务,TRUE,75,人工智能与大模型、智能风控与反欺诈、支付清算与数字人民币、监管科技与合规、其他金融科技,第二轮复核-年报层面,结论一致,TRUE,75,银行IT、其他金融科技,主营业务明确包含金融科技解决方案，且有人工智能及大数据创新产品，表明公司从事金融科技业务并具有AI能力；但具体产品细节不足。,TRUE,75,人工智能与大模型、智能风控与反欺诈、支付清算与数字人民币、监管科技与合规、其他金融科技,FALSE,FALSE,非持牌金融相关主体,,
601059.SH,信达证券,未提供（未出现在第一轮主营业务文件中）,TRUE,75,人工智能与大模型、智能投顾与财富管理、数字化渠道与开放银行、科技投入与组织建设,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,75,人工智能与大模型、智能投顾与财富管理、数字化渠道与开放银行、科技投入与组织建设,FALSE,FALSE,低置信度,,
601375.SH,中原证券,未提供（未出现在第一轮主营业务文件中）,TRUE,75,人工智能与大模型、智能投顾与财富管理、智能风控与反欺诈、数字化渠道与开放银行、监管科技与合规,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,75,人工智能与大模型、智能投顾与财富管理、智能风控与反欺诈、数字化渠道与开放银行、监管科技与合规,FALSE,FALSE,低置信度,,
001236.SZ,弘业期货,未提供（未出现在第一轮主营业务文件中）,TRUE,72,人工智能与大模型、智能风控与反欺诈、智能投顾与财富管理、数据平台与数据治理、数字化渠道与开放银行、其他金融科技,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,72,人工智能与大模型、智能风控与反欺诈、智能投顾与财富管理、数据平台与数据治理、数字化渠道与开放银行、其他金融科技,FALSE,FALSE,低置信度,,
600909.SH,华安证券,未提供（未出现在第一轮主营业务文件中）,TRUE,72,人工智能与大模型、智能风控与反欺诈、数据平台与数据治理、数字化渠道与开放银行、科技投入与组织建设,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,72,人工智能与大模型、智能风控与反欺诈、数据平台与数据治理、数字化渠道与开放银行、科技投入与组织建设,FALSE,FALSE,低置信度,,
000567.SZ,海德股份,多元金融,TRUE,70,人工智能与大模型、智能风控与反欺诈、科技投入与组织建设、其他金融科技,第二轮复核-年报层面,结论一致,TRUE,75,其他金融科技,主营业务中明确包含'金融科技服务'项目，但收入规模较小（约809万），且无具体技术或AI描述。,TRUE,70,人工智能与大模型、智能风控与反欺诈、科技投入与组织建设、其他金融科技,FALSE,TRUE,非持牌金融相关主体,人工复核确认相关,第二轮复核已标记为recommend_manual_review=True，经人工复核后确认结论有效，予以保留
002797.SZ,第一创业,未提供（未出现在第一轮主营业务文件中）,TRUE,70,人工智能与大模型、智能投顾与财富管理、数字化渠道与开放银行、科技投入与组织建设、其他金融科技,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,70,人工智能与大模型、智能投顾与财富管理、数字化渠道与开放银行、科技投入与组织建设、其他金融科技,FALSE,FALSE,低置信度,,
600816.SH,建元信托,未提供（未出现在第一轮主营业务文件中）,TRUE,70,数据平台与数据治理、人工智能与大模型、数字化渠道与开放银行、科技投入与组织建设,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,70,数据平台与数据治理、人工智能与大模型、数字化渠道与开放银行、科技投入与组织建设,FALSE,FALSE,低置信度,,
601099.SH,太平洋,未提供（未出现在第一轮主营业务文件中）,TRUE,70,智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、科技投入与组织建设、其他金融科技,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,70,智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、科技投入与组织建设、其他金融科技,FALSE,FALSE,低置信度,,
