id,label,type,layer,weight,meta,degree_centrality,betweenness
KW::智能运维,智能运维,KEYWORD,0,6.0,6家公司提及,0.0081,0.0
KW::自然语言处理,自然语言处理,KEYWORD,0,5.0,5家公司提及,0.0081,0.0
KW::反欺诈,反欺诈,KEYWORD,0,5.0,5家公司提及,0.0081,0.0
KW::清算,清算,KEYWORD,0,5.0,5家公司提及,0.0081,0.0
KW::资产配置,资产配置,KEYWORD,0,5.0,5家公司提及,0.0081,0.0
KW::规则引擎,规则引擎,KEYWORD,0,5.0,5家公司提及,0.0081,0.0
KW::深度学习,深度学习,KEYWORD,0,5.0,5家公司提及,0.0081,0.0
KW::多智能体,多智能体,KEYWORD,0,4.0,4家公司提及,0.0081,0.0
KW::语音识别,语音识别,KEYWORD,0,4.0,4家公司提及,0.0081,0.0
KW::语义理解,语义理解,KEYWORD,0,4.0,4家公司提及,0.0081,0.0
KW::OCR,OCR,KEYWORD,0,4.0,4家公司提及,0.0081,0.0
KW::贷后,贷后,KEYWORD,0,4.0,4家公司提及,0.0081,0.0
KW::代码生成,代码生成,KEYWORD,0,4.0,4家公司提及,0.0081,0.0
KW::反洗钱,反洗钱,KEYWORD,0,4.0,4家公司提及,0.0081,0.0
KW::智能支付,智能支付,KEYWORD,0,4.0,4家公司提及,0.0081,0.0
KW::知识图谱,知识图谱,KEYWORD,0,4.0,4家公司提及,0.0081,0.0
KW::隐私计算,隐私计算,KEYWORD,0,3.0,3家公司提及,0.0081,0.0
KW::智能投研,智能投研,KEYWORD,0,3.0,3家公司提及,0.0081,0.0
KW::智能审核,智能审核,KEYWORD,0,3.0,3家公司提及,0.0081,0.0
KW::决策引擎,决策引擎,KEYWORD,0,3.0,3家公司提及,0.0081,0.0
KW::策略优化,策略优化,KEYWORD,0,3.0,3家公司提及,0.0081,0.0
KW::强化学习,强化学习,KEYWORD,0,3.0,3家公司提及,0.0081,0.0
KW::人脸识别,人脸识别,KEYWORD,0,3.0,3家公司提及,0.0081,0.0
KW::智能语音,智能语音,KEYWORD,0,3.0,3家公司提及,0.0081,0.0
KW::计算机视觉,计算机视觉,KEYWORD,0,2.0,2家公司提及,0.0081,0.0
KW::智能办公,智能办公,KEYWORD,0,2.0,2家公司提及,0.0081,0.0
KW::智能投顾,智能投顾,KEYWORD,0,2.0,2家公司提及,0.0081,0.0
KW::车险,车险,KEYWORD,0,2.0,2家公司提及,0.0081,0.0
KW::MaaS,MaaS,KEYWORD,0,2.0,2家公司提及,0.0081,0.0
KW::模型管理,模型管理,KEYWORD,0,2.0,2家公司提及,0.0081,0.0
KW::图像识别,图像识别,KEYWORD,0,2.0,2家公司提及,0.0081,0.0
KW::语义分析,语义分析,KEYWORD,0,2.0,2家公司提及,0.0081,0.0
KW::POS,POS,KEYWORD,0,2.0,2家公司提及,0.0081,0.0
KW::神经网络,神经网络,KEYWORD,0,1.0,1家公司提及,0.0081,0.0
KW::TTS,TTS,KEYWORD,0,1.0,1家公司提及,0.0081,0.0
KW::ASR,ASR,KEYWORD,0,1.0,1家公司提及,0.0081,0.0
KW::NLP,NLP,KEYWORD,0,1.0,1家公司提及,0.0081,0.0
KW::深度强化学习,深度强化学习,KEYWORD,0,1.0,1家公司提及,0.0081,0.0
KW::图数据库,图数据库,KEYWORD,0,1.0,1家公司提及,0.0081,0.0
KW::实体关系,实体关系,KEYWORD,0,1.0,1家公司提及,0.0081,0.0
KW::本体建模,本体建模,KEYWORD,0,1.0,1家公司提及,0.0081,0.0
KW::数据脱敏,数据脱敏,KEYWORD,0,1.0,1家公司提及,0.0081,0.0
KW::可信执行环境,可信执行环境,KEYWORD,0,1.0,1家公司提及,0.0081,0.0
KW::贷中,贷中,KEYWORD,0,1.0,1家公司提及,0.0081,0.0
KW::贷前,贷前,KEYWORD,0,1.0,1家公司提及,0.0081,0.0
KW::寿险,寿险,KEYWORD,0,1.0,1家公司提及,0.0081,0.0
KW::聚合支付,聚合支付,KEYWORD,0,1.0,1家公司提及,0.0081,0.0
KW::黑名单,黑名单,KEYWORD,0,1.0,1家公司提及,0.0081,0.0
KW::合规监测,合规监测,KEYWORD,0,1.0,1家公司提及,0.0081,0.0
KW::财务共享,财务共享,KEYWORD,0,1.0,1家公司提及,0.0081,0.0
KW::智能财务,智能财务,KEYWORD,0,1.0,1家公司提及,0.0081,0.0
