keyword,label,direction_cn,layer,cluster,tier,lang,hit_sentences,hit_companies
文本摘要,TECH_NLP,自然语言处理,TECH,感知与生成,EXT,ZH,0,0
语料库,TECH_NLP,自然语言处理,TECH,感知与生成,EXT,ZH,4,1
词向量,TECH_NLP,自然语言处理,TECH,感知与生成,EXT,ZH,0,0
计算机视觉,TECH_CV,计算机视觉,TECH,感知与生成,CORE,ZH,3,2
OCR,TECH_CV,计算机视觉,TECH,感知与生成,CORE,EN,8,4
光学字符识别,TECH_CV,计算机视觉,TECH,感知与生成,CORE,ZH,0,0
图像识别,TECH_CV,计算机视觉,TECH,感知与生成,CORE,ZH,5,2
人脸识别,TECH_CV,计算机视觉,TECH,感知与生成,CORE,ZH,3,3
活体检测,TECH_CV,计算机视觉,TECH,感知与生成,CORE,ZH,0,0
文字识别,TECH_CV,计算机视觉,TECH,感知与生成,CORE,ZH,1,1
票据识别,TECH_CV,计算机视觉,TECH,感知与生成,CORE,ZH,0,0
印鉴识别,TECH_CV,计算机视觉,TECH,感知与生成,CORE,ZH,0,0
视频分析,TECH_CV,计算机视觉,TECH,感知与生成,CORE,ZH,1,1
影像,TECH_CV,计算机视觉,TECH,感知与生成,EXT,ZH,5,4
图像处理,TECH_CV,计算机视觉,TECH,感知与生成,EXT,ZH,1,1
版面分析,TECH_CV,计算机视觉,TECH,感知与生成,EXT,ZH,0,0
目标检测,TECH_CV,计算机视觉,TECH,感知与生成,EXT,ZH,0,0
证件识别,TECH_CV,计算机视觉,TECH,感知与生成,EXT,ZH,0,0
语音识别,TECH_SPEECH,智能语音,TECH,感知与生成,CORE,ZH,5,4
智能语音,TECH_SPEECH,智能语音,TECH,感知与生成,CORE,ZH,5,3
语音合成,TECH_SPEECH,智能语音,TECH,感知与生成,CORE,ZH,0,0
ASR,TECH_SPEECH,智能语音,TECH,感知与生成,CORE,EN,2,1
TTS,TECH_SPEECH,智能语音,TECH,感知与生成,CORE,EN,2,1
声纹识别,TECH_SPEECH,智能语音,TECH,感知与生成,CORE,ZH,0,0
语音转写,TECH_SPEECH,智能语音,TECH,感知与生成,EXT,ZH,0,0
实时字幕,TECH_SPEECH,智能语音,TECH,感知与生成,EXT,ZH,0,0
语音质检,TECH_SPEECH,智能语音,TECH,感知与生成,EXT,ZH,0,0
外呼,TECH_SPEECH,智能语音,TECH,感知与生成,EXT,ZH,0,0
知识图谱,TECH_KG,知识图谱,TECH,认知与推理,CORE,ZH,7,4
图数据库,TECH_KG,知识图谱,TECH,认知与推理,CORE,ZH,1,1
实体关系,TECH_KG,知识图谱,TECH,认知与推理,CORE,ZH,1,1
本体建模,TECH_KG,知识图谱,TECH,认知与推理,CORE,ZH,2,1
关系抽取,TECH_KG,知识图谱,TECH,认知与推理,CORE,ZH,0,0
图计算,TECH_KG,知识图谱,TECH,认知与推理,CORE,ZH,0,0
图神经网络,TECH_KG,知识图谱,TECH,认知与推理,CORE,ZH,0,0
图谱,TECH_KG,知识图谱,TECH,认知与推理,EXT,ZH,8,4
知识抽取,TECH_KG,知识图谱,TECH,认知与推理,EXT,ZH,0,0
知识库,TECH_KG,知识图谱,TECH,认知与推理,EXT,ZH,15,10
关联分析,TECH_KG,知识图谱,TECH,认知与推理,EXT,ZH,1,1
族谱图,TECH_KG,知识图谱,TECH,认知与推理,EXT,ZH,0,0
股权穿透,TECH_KG,知识图谱,TECH,认知与推理,EXT,ZH,0,0
强化学习,TECH_RL,强化学习与智能优化,TECH,认知与推理,CORE,ZH,4,3
RLHF,TECH_RL,强化学习与智能优化,TECH,认知与推理,CORE,EN,0,0
深度强化学习,TECH_RL,强化学习与智能优化,TECH,认知与推理,CORE,ZH,1,1
多智能体,TECH_RL,强化学习与智能优化,TECH,认知与推理,CORE,ZH,7,4
策略优化,TECH_RL,强化学习与智能优化,TECH,认知与推理,CORE,ZH,3,3
寻优,TECH_RL,强化学习与智能优化,TECH,认知与推理,EXT,ZH,0,0
自动调参,TECH_RL,强化学习与智能优化,TECH,认知与推理,EXT,ZH,0,0
在线学习,TECH_RL,强化学习与智能优化,TECH,认知与推理,EXT,ZH,0,0
博弈,TECH_RL,强化学习与智能优化,TECH,认知与推理,EXT,ZH,0,0
动态规划,TECH_RL,强化学习与智能优化,TECH,认知与推理,EXT,ZH,0,0
隐私计算,TECH_PRIVACY,隐私计算与可信AI,TECH,可信与底座,CORE,ZH,4,3
联邦学习,TECH_PRIVACY,隐私计算与可信AI,TECH,可信与底座,CORE,ZH,0,0
多方安全计算,TECH_PRIVACY,隐私计算与可信AI,TECH,可信与底座,CORE,ZH,0,0
同态加密,TECH_PRIVACY,隐私计算与可信AI,TECH,可信与底座,CORE,ZH,0,0
可信执行环境,TECH_PRIVACY,隐私计算与可信AI,TECH,可信与底座,CORE,ZH,1,1
差分隐私,TECH_PRIVACY,隐私计算与可信AI,TECH,可信与底座,CORE,ZH,0,0
数据脱敏,TECH_PRIVACY,隐私计算与可信AI,TECH,可信与底座,CORE,ZH,1,1
可解释性,TECH_PRIVACY,隐私计算与可信AI,TECH,可信与底座,EXT,ZH,2,2
模型安全,TECH_PRIVACY,隐私计算与可信AI,TECH,可信与底座,EXT,ZH,1,1
数据要素,TECH_PRIVACY,隐私计算与可信AI,TECH,可信与底座,EXT,ZH,3,3
数据合规,TECH_PRIVACY,隐私计算与可信AI,TECH,可信与底座,EXT,ZH,0,0
算法备案,TECH_PRIVACY,隐私计算与可信AI,TECH,可信与底座,EXT,ZH,1,1
内容安全,TECH_PRIVACY,隐私计算与可信AI,TECH,可信与底座,EXT,ZH,1,1
智能风控,TECH_DECISION,智能决策与预测,TECH,认知与推理,CORE,ZH,13,10
智能决策,TECH_DECISION,智能决策与预测,TECH,认知与推理,CORE,ZH,7,6
决策引擎,TECH_DECISION,智能决策与预测,TECH,认知与推理,CORE,ZH,3,3
规则引擎,TECH_DECISION,智能决策与预测,TECH,认知与推理,CORE,ZH,6,5
风控模型,TECH_DECISION,智能决策与预测,TECH,认知与推理,CORE,ZH,1,1
评分卡,TECH_DECISION,智能决策与预测,TECH,认知与推理,CORE,ZH,0,0
预测模型,TECH_DECISION,智能决策与预测,TECH,认知与推理,CORE,ZH,1,1
智能预警,TECH_DECISION,智能决策与预测,TECH,认知与推理,CORE,ZH,1,1
趋势预测,TECH_DECISION,智能决策与预测,TECH,认知与推理,EXT,ZH,1,1
销售预测,TECH_DECISION,智能决策与预测,TECH,认知与推理,EXT,ZH,1,1
决策支持,TECH_DECISION,智能决策与预测,TECH,认知与推理,EXT,ZH,10,7
运筹优化,TECH_DECISION,智能决策与预测,TECH,认知与推理,EXT,ZH,0,0
归因分析,TECH_DECISION,智能决策与预测,TECH,认知与推理,EXT,ZH,2,1
压力测试,TECH_DECISION,智能决策与预测,TECH,认知与推理,EXT,ZH,0,0
指标体系,TECH_DECISION,智能决策与预测,TECH,认知与推理,EXT,ZH,1,1
算力,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,CORE,ZH,22,9
GPU,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,CORE,EN,1,1
智算中心,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,CORE,ZH,0,0
MaaS,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,CORE,EN,4,2
模型训练,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,CORE,ZH,12,6
推理服务,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,CORE,ZH,2,1
模型部署,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,CORE,ZH,2,1
模型管理,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,CORE,ZH,2,2
一体机,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,CORE,ZH,5,2
MLOps,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,CORE,EN,0,0
训练框架,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,CORE,ZH,0,0
自研大模型,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,CORE,ZH,3,2
全栈,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,EXT,ZH,21,9
国产化适配,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,EXT,ZH,2,2
信创,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,EXT,ZH,34,11
异构算力,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,EXT,ZH,0,0
向量检索,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,EXT,ZH,0,0
算子优化,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,EXT,ZH,0,0
分布式训练,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,EXT,ZH,0,0
推理加速,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,EXT,ZH,0,0
私有化部署,AI_ENGINEERING,AI工程化与算力底座,TECH,可信与底座,EXT,ZH,1,1
智能信贷,PRODUCT_CREDIT,智能信贷,PRODUCT,,CORE,ZH,1,1
信贷,PRODUCT_CREDIT,智能信贷,PRODUCT,,CORE,ZH,12,7
贷前,PRODUCT_CREDIT,智能信贷,PRODUCT,,CORE,ZH,1,1
贷中,PRODUCT_CREDIT,智能信贷,PRODUCT,,CORE,ZH,1,1
贷后,PRODUCT_CREDIT,智能信贷,PRODUCT,,CORE,ZH,4,4
授信审批,PRODUCT_CREDIT,智能信贷,PRODUCT,,CORE,ZH,0,0
信用评估,PRODUCT_CREDIT,智能信贷,PRODUCT,,CORE,ZH,1,1
智能催收,PRODUCT_CREDIT,智能信贷,PRODUCT,,CORE,ZH,2,1
贷款,PRODUCT_CREDIT,智能信贷,PRODUCT,,EXT,ZH,5,4
催收,PRODUCT_CREDIT,智能信贷,PRODUCT,,EXT,ZH,6,3
额度管理,PRODUCT_CREDIT,智能信贷,PRODUCT,,EXT,ZH,0,0
不良资产,PRODUCT_CREDIT,智能信贷,PRODUCT,,EXT,ZH,0,0
小微信贷,PRODUCT_CREDIT,智能信贷,PRODUCT,,EXT,ZH,0,0
供应链金融,PRODUCT_CREDIT,智能信贷,PRODUCT,,EXT,ZH,1,1
智能理赔,PRODUCT_INSURANCE,智能保险,PRODUCT,,CORE,ZH,0,0
智能核保,PRODUCT_INSURANCE,智能保险,PRODUCT,,CORE,ZH,0,0
车险,PRODUCT_INSURANCE,智能保险,PRODUCT,,CORE,ZH,3,2
寿险,PRODUCT_INSURANCE,智能保险,PRODUCT,,CORE,ZH,3,1
保险科技,PRODUCT_INSURANCE,智能保险,PRODUCT,,CORE,ZH,0,0
保险,PRODUCT_INSURANCE,智能保险,PRODUCT,,EXT,ZH,28,10
理赔,PRODUCT_INSURANCE,智能保险,PRODUCT,,EXT,ZH,5,2
核保,PRODUCT_INSURANCE,智能保险,PRODUCT,,EXT,ZH,0,0
精算,PRODUCT_INSURANCE,智能保险,PRODUCT,,EXT,ZH,1,1
保单,PRODUCT_INSURANCE,智能保险,PRODUCT,,EXT,ZH,1,1
再保,PRODUCT_INSURANCE,智能保险,PRODUCT,,EXT,ZH,1,1
智能支付,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,,CORE,ZH,9,4
收单,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,,CORE,ZH,2,1
POS,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,,CORE,EN,4,2
聚合支付,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,,CORE,ZH,1,1
跨境支付,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,,CORE,ZH,1,1
清算,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,,CORE,ZH,8,5
支付,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,,EXT,ZH,21,11
商户,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,,EXT,ZH,13,5
付款,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,,EXT,ZH,1,1
结算,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,,EXT,ZH,2,2
数字人民币,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,,EXT,ZH,6,4
刷脸支付,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,,EXT,ZH,0,0
智能投顾,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,,CORE,ZH,6,2
智能投研,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,,CORE,ZH,4,3
量化投资,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,,CORE,ZH,0,0
资产配置,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,,CORE,ZH,11,5
财富管理,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,,CORE,ZH,10,8
组合管理,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,,CORE,ZH,1,1
智能选股,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,,CORE,ZH,0,0
AI投研,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,,CORE,MIX,0,0
投资,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,,EXT,ZH,32,15
投研,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,,EXT,ZH,15,7
投顾,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,,EXT,ZH,8,4
行情,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,,EXT,ZH,15,5
基金,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,,EXT,ZH,15,5
股票,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,,EXT,ZH,6,3
理财,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,,EXT,ZH,9,6
资管,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,,EXT,ZH,15,5
量化,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,,EXT,ZH,9,7
选股,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,,EXT,ZH,4,4
研报,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,,EXT,ZH,1,1
反欺诈,PRODUCT_FRAUD,反欺诈与合规,PRODUCT,,CORE,ZH,7,5
反洗钱,PRODUCT_FRAUD,反欺诈与合规,PRODUCT,,CORE,ZH,4,4
AML,PRODUCT_FRAUD,反欺诈与合规,PRODUCT,,CORE,EN,0,0
合规监测,PRODUCT_FRAUD,反欺诈与合规,PRODUCT,,CORE,ZH,1,1
交易监控,PRODUCT_FRAUD,反欺诈与合规,PRODUCT,,CORE,ZH,0,0
黑名单,PRODUCT_FRAUD,反欺诈与合规,PRODUCT,,CORE,ZH,1,1
欺诈,PRODUCT_FRAUD,反欺诈与合规,PRODUCT,,EXT,ZH,7,5
洗钱,PRODUCT_FRAUD,反欺诈与合规,PRODUCT,,EXT,ZH,4,4
可疑交易,PRODUCT_FRAUD,反欺诈与合规,PRODUCT,,EXT,ZH,0,0
风险名单,PRODUCT_FRAUD,反欺诈与合规,PRODUCT,,EXT,ZH,0,0
监管报送,PRODUCT_FRAUD,反欺诈与合规,PRODUCT,,EXT,ZH,6,3
合规审查,PRODUCT_FRAUD,反欺诈与合规,PRODUCT,,EXT,ZH,2,2
智能客服,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,,CORE,ZH,8,7
智能问答,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,,CORE,ZH,13,7
数字人,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,,CORE,ZH,9,7
智能营销,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,,CORE,ZH,14,8
客户画像,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,,CORE,ZH,3,2
推荐系统,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,,CORE,ZH,0,0
陪伴式服务,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,,CORE,ZH,0,0
客服,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,,EXT,ZH,12,11
营销,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,,EXT,ZH,46,15
客户服务,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,,EXT,ZH,11,8
产品推荐,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,,EXT,ZH,3,2
用户体验,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,,EXT,ZH,3,2
千人千面,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,,EXT,ZH,1,1
触达,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,,EXT,ZH,3,2
私域,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,,EXT,ZH,1,1
智能财务,PRODUCT_FINANCE,智能财务与司库,PRODUCT,,CORE,ZH,2,1
财务共享,PRODUCT_FINANCE,智能财务与司库,PRODUCT,,CORE,ZH,4,1
智能报销,PRODUCT_FINANCE,智能财务与司库,PRODUCT,,CORE,ZH,0,0
智能记账,PRODUCT_FINANCE,智能财务与司库,PRODUCT,,CORE,ZH,0,0
司库管理,PRODUCT_FINANCE,智能财务与司库,PRODUCT,,CORE,ZH,0,0
智能税务,PRODUCT_FINANCE,智能财务与司库,PRODUCT,,CORE,ZH,0,0
报销,PRODUCT_FINANCE,智能财务与司库,PRODUCT,,EXT,ZH,1,1
预算,PRODUCT_FINANCE,智能财务与司库,PRODUCT,,EXT,ZH,3,2
对账,PRODUCT_FINANCE,智能财务与司库,PRODUCT,,EXT,ZH,2,2
凭证,PRODUCT_FINANCE,智能财务与司库,PRODUCT,,EXT,ZH,0,0
合并报表,PRODUCT_FINANCE,智能财务与司库,PRODUCT,,EXT,ZH,1,1
资金管理,PRODUCT_FINANCE,智能财务与司库,PRODUCT,,EXT,ZH,1,1
智能运维,APP_INTERNAL,内部提效应用,APP,,CORE,ZH,8,6
AIOps,APP_INTERNAL,内部提效应用,APP,,CORE,EN,2,2
代码助手,APP_INTERNAL,内部提效应用,APP,,CORE,ZH,1,1
代码生成,APP_INTERNAL,内部提效应用,APP,,CORE,ZH,5,4
智能办公,APP_INTERNAL,内部提效应用,APP,,CORE,ZH,4,2
智能审核,APP_INTERNAL,内部提效应用,APP,,CORE,ZH,8,3
知识助手,APP_INTERNAL,内部提效应用,APP,,CORE,ZH,0,0
员工,APP_INTERNAL,内部提效应用,APP,,EXT,ZH,10,7
内部提效,APP_INTERNAL,内部提效应用,APP,,EXT,ZH,0,0
流程自动化,APP_INTERNAL,内部提效应用,APP,,EXT,ZH,5,5
RPA,APP_INTERNAL,内部提效应用,APP,,EXT,EN,5,3
工单,APP_INTERNAL,内部提效应用,APP,,EXT,ZH,0,0
测试用例生成,APP_INTERNAL,内部提效应用,APP,,EXT,ZH,2,2
