revised_fintech_related,revised_ai_evidence_level,revised_tracks,revised_business_materiality,revised_confidence,genuine_finance_evidence,excluded_generic_smart_business_terms,is_pseudo_fintech_false_positive,entity_type_seems_misclassified,entity_type_reason,reason,recommend_manual_review,recheck_key,ts_code,name,industry,round1_financial_entity_type,round1_financial_entity_categories,round1_fintech_related,round1_confidence,round1_tracks,round1_reason,recheck_trigger,recheck_model,recheck_prompt_tokens,recheck_completion_tokens,recheck_total_tokens,recheck_status
True,none,银行IT、金融信息安全、其他金融科技,core,85,电子渠道及中台、互联网银行（含互联网核心）、非银金融机构、网银安全产品,,False,False,金融主体类型规则判定为“非金融主体”，但公司主营业务明确面向银行和非银金融机构提供专用软件产品，属于金融科技服务商，规则未命中可能是因为没有匹配到特定关键词或公司名称模式，但实际业务确属金融科技范畴。,主营业务中的“电子渠道及中台”“互联网银行（含互联网核心）”“非银金融机构”“网银安全产品”均为明确的银行IT和金融软件产品，直接服务于金融业务环节，符合金融科技定义。虽然缺乏人工智能证据，但金融科技不仅限于AI，因此revised_ai_evidence_level为none，但整体仍属金融科技。第一轮结论正确，本轮维持并提高置信度。,False,300663.SZ,300663.SZ,科蓝软件,软件服务,非金融主体,,True,75,银行IT、金融信息安全、其他金融科技,主营业务包括电子渠道及中台、互联网银行（含互联网核心）、网银安全产品等专为银行及金融机构提供的软件产品与解决方案，属于银行IT和金融信息安全赛道；国产数据库也服务于金融领域。但输入中没有明确的人工智能证据，且业务描述仍不完整，需要年报进一步验证。,低置信度,deepseek-v4-pro,2218,325,2543,completed
True,none,银行IT、证券IT,core,95,银行IT解决方案、非银IT解决方案、银行、非银金融机构,,False,False,金融主体类型判定合理，规则命中关键词'银行IT'，且业务明确为银行IT解决方案，属于金融科技服务商。,公司主营业务明确包含银行IT解决方案和非银IT解决方案，直接服务于银行等金融机构，属于金融科技核心赛道。无泛化智能化表述，非误判。第一轮结论正确，维持金融科技相关判断。,False,300674.SZ,300674.SZ,宇信科技,软件服务,金融相关主体,金融科技服务商,True,75,银行IT、证券IT,主营业务明确包含银行IT解决方案和非银IT解决方案，表明公司实质从事金融科技（银行IT和证券IT），且银行IT解决方案收入规模最大，属于核心业务。输入中未出现人工智能相关术语。,非持牌金融相关主体,deepseek-v4-pro,2484,243,2727,completed
True,none,支付科技,core,85,第三方支付、支付业务,,False,False,金融主体规则命中关键词'第三方支付'，公司实际主营业务即为第三方支付，分类合理。,公司主营业务明确包含第三方支付和支付业务，收入占主导，属于典型的支付科技公司，无泛化智能化表述误导，金融科技相关性强。,False,300773.SZ,300773.SZ,拉卡拉,软件服务,金融相关主体,支付清算,True,75,支付科技,主营业务明确包含第三方支付和支付业务，属于支付科技范畴；科研服务可能涉及金融科技相关技术，但无明确AI证据。,非持牌金融相关主体,deepseek-v4-pro,1903,200,2103,completed
True,none,金融数据,core,85,金融信息服务、证券服务、互联网金融服务,,False,False,规则命中'金融信息服务'，且公司实际从事金融信息服务，分类合理。,主营业务明确包含金融信息服务、证券服务等，直接面向金融领域，虽未提及AI，但属于典型金融科技中的金融数据赛道，与第一轮结论一致。,False,300803.SZ,300803.SZ,指南针,软件服务,金融相关主体,其他金融相关,True,75,金融数据,主营业务明确包含金融信息服务，属于金融数据赛道，且收入规模大（15.09亿），未提及AI技术。,非持牌金融相关主体,deepseek-v4-pro,1910,205,2115,completed
True,none,证券IT、银行IT、财富管理科技,core,85,证券经纪软件业务、银行软件业务、资管机构软件业务、综合金融软件业务,,False,False,金融主体类型判定合理：主营业务中明确包含证券、银行、资管等金融软件业务，且公司名称模式也匹配金融科技服务商特征，不存在偶然误判。,主营业务构成中明确列出证券经纪软件业务、银行软件业务、资管机构软件业务和综合金融软件业务，均直接服务于金融机构核心业务环节，属于典型的金融科技赛道，且金融相关收入占比较高，构成核心业务。未发现泛化智能化表述，AI证据缺失不影响金融科技判定。,False,600446.SH,600446.SH,金证股份,软件服务,金融相关主体,金融科技服务商,True,75,证券IT、银行IT、财富管理科技,主营业务明确包含证券、银行、资管等金融专用软件业务，属于金融科技赛道；但输入没有AI相关证据，且部分业务如IT设备分销、科技园租赁非金融科技，但重要性较低。,非持牌金融相关主体,deepseek-v4-pro,2772,283,3055,completed
True,none,财富管理科技、银行IT、证券IT、保险IT、金融数据、金融信息安全、其他金融科技,core,80,财富科技服务、资管科技服务、运营与机构科技服务、企金、保险核心与金融基础设施科技服务、风险与平台科技服务,,False,False,规则命中非金融主体，与实际业务一致，无分类错误。,主营业务构成中明确包含面向金融行业的科技服务，如财富科技、资管科技、运营与机构科技、企金保险核心等，均为金融科技核心赛道。虽无AI相关词汇，但业务实质属于金融科技，且占比较高，应为金融科技公司。,False,600570.SH,600570.SH,恒生电子,软件服务,非金融主体,,True,75,财富管理科技、银行IT、证券IT、保险IT、金融数据、金融信息安全、其他金融科技,主营业务明确包含财富科技、资管科技、运营与机构科技、企金保险核心与金融基础设施科技等专门金融科技服务，属于金融科技供应商。但输入中未出现任何AI相关词汇，因此AI证据缺失。,低置信度,deepseek-v4-pro,2639,293,2932,completed
True,none,保险IT,important,70,金融保险系统软件产品,,False,False,金融主体类型判定为'非金融主体'，但公司有明确面向金融保险行业的软件产品，该分类未反映业务实质。,主营业务中明确包含'金融保险系统软件产品'，且收入占比显著，属于面向保险行业的软件系统，符合金融科技中保险IT赛道的定义，但缺乏AI等前沿技术证据。与第一轮结论一致。,False,600624.SH,600624.SH,ST复华,化学制药,非金融主体,,True,75,保险IT,主营业务中包含'金融保险系统软件产品'，明确指向保险IT赛道，但输入中无AI证据，且产品描述较为概括。,低置信度,deepseek-v4-pro,2332,224,2556,completed
True,none,金融数据、证券IT,core,85,金融资讯及数据PC终端服务系统、港股服务系统、证券公司综合服务系统、金融资讯及数据移动终端服务系统、保险经纪业务,,False,False,金融主体类型规则命中关键词‘金融信息服务’，公司主营业务为金融资讯和数据终端服务系统，属于真实的金融信息服务，分类合理。,公司主营业务明确包括金融资讯及数据终端（PC/移动）、港股服务系统、证券公司综合服务系统、保险经纪业务，直接服务于金融数据获取、证券分析和保险销售，属于金融科技赛道中的金融数据和证券IT。无泛化智能化表述，第一轮结论正确。,False,601519.SH,601519.SH,大智慧,软件服务,金融相关主体,其他金融相关,True,75,金融数据、证券IT,主营业务明确为金融资讯和数据终端服务系统，以及证券公司综合服务系统，属于金融数据和证券IT赛道。输入中无AI相关证据。,非持牌金融相关主体,deepseek-v4-pro,2653,275,2928,completed
True,none,财税科技,core,80,数智财税业务、数字政务业务,,False,False,金融主体规则未命中，公司为非金融主体，与业务描述一致。,主营业务明确为数智财税和数字政务，符合财税科技赛道，未发现泛化智能化表述误导；无具体AI技术描述，故evidence_level为none。第一轮结论正确。,False,603171.SH,603171.SH,税友股份,软件服务,非金融主体,,True,75,财税科技,主营业务包含数智财税业务和数字政务业务，属于财税科技范畴，但描述较简略，无明确AI证据。,低置信度,deepseek-v4-pro,2212,206,2418,completed
True,none,保险IT,core,80,保险类,,False,False,金融主体规则判定为“非金融主体”合理，公司名称和行业均未命中金融关键词，实际业务描述中的‘保险’属于为客户提供的软件解决方案，公司并非持牌金融机构。,公司主营业务构成中明确包含‘保险类’业务收入约31亿元，占比较高，表明公司为保险行业提供软件或定制化解决方案，属于典型的保险IT赛道，且该判断不受泛化智能化表述误导。第一轮结论正确，无需推翻。,False,603927.SH,603927.SH,中科软,软件服务,非金融主体,,True,75,保险IT,主营业务披露中有'保险类'产品，表明公司为保险行业提供软件或解决方案，属于保险IT赛道。但描述为'定制软件收入'等通用名称，未提及具体产品名称或技术细节，且无AI证据。,低置信度,deepseek-v4-pro,2555,240,2795,completed
True,none,证券IT、金融数据,core,80,证券信息服务、软件服务收入、软件销售,,False,True,主营业务明确包含证券信息服务，为证券行业提供软件销售和服务，实际业务与金融科技强相关，但金融主体规则未命中，属于规则漏判,公司主营业务包括证券信息服务、软件销售和软件服务，直接面向证券行业提供专用软件和信息服务，符合证券IT和金融数据赛道；尽管缺乏AI证据，但业务实质属于金融科技,False,688318.SH,688318.SH,财富趋势,软件服务,非金融主体,,True,75,证券IT、金融数据,公司主营业务包括证券信息服务和软件服务收入，表明其向证券行业提供专用信息服务和软件产品，符合证券IT和金融数据赛道。但输入中没有明确AI证据。,低置信度,deepseek-v4-pro,2104,237,2341,completed
True,none,保险IT、银行IT,core,80,保险行业（行业）、银行及其他金融行业（行业）,,False,False,金融主体类型判定为非金融主体，合理；公司并非持牌金融机构，但主营业务明确为金融行业提供IT解决方案。,主营业务构成中明确包含面向保险和银行的IT解决方案，收入占比显著，符合金融科技定义；第一轮判断基本正确，但缺乏AI具体证据，故调整置信度。,False,688590.SH,688590.SH,新致软件,软件服务,非金融主体,,True,75,保险IT、银行IT,公司主营业务包含面向保险和银行等金融行业的IT解决方案，属于金融科技范畴；但未提供AI相关具体证据。,低置信度,deepseek-v4-pro,2398,229,2627,completed
True,none,支付科技、其他金融科技,core,75,电子支付产品及信息识读产品、商户运营及增值服务、行业应用软件开发及服务(含硬件配套),,False,False,金融主体规则未命中，但该公司主营业务明确涉及电子支付产品及商户运营增值服务，属于支付科技范畴，规则未命中合理，无需修正。,主营业务构成中包含“电子支付产品及信息识读产品”和“商户运营及增值服务”，直接面向支付场景，属于支付科技赛道。虽无AI证据，但金融科技属性明确，与第一轮结论一致。,False,000997.SZ,000997.SZ,新大陆,IT设备,非金融主体,,True,70,支付科技、其他金融科技,主营业务包含电子支付产品及商户运营增值服务，涉及支付科技，但未明确软件或技术解决方案细节，且无AI证据。,低置信度,deepseek-v4-pro,2111,260,2371,completed
True,none,银行IT、证券IT、保险IT、财富管理科技、其他金融科技,core,70,定制软件开发和销售、金融行业、服务费收入,,False,False,规则判定为‘非金融主体’正确，公司未命中金融主体规则，属于软件服务提供商。,公司主营业务明确为面向金融行业的定制软件开发和销售，金融行业收入占比极高（约98.9%），且披露了‘金融行业’分类，符合为金融机构提供技术产品的金融科技范畴。但原文未提及AI等具体技术，故revised_ai_evidence_level设为none。第一轮结论基本合理，未受泛化智能化表述误导。,False,300377.SZ,300377.SZ,赢时胜,软件服务,非金融主体,,True,70,银行IT、证券IT、保险IT、财富管理科技、其他金融科技,公司主营业务为面向金融行业的定制软件开发和销售，金融行业收入占比极高（约98.9%），但输入中未明确提及具体金融科技赛道（如银行IT、证券IT）或AI技术，需年报验证。,低置信度,deepseek-v4-pro,1956,278,2234,completed
True,none,银行IT,core,75,全国性银行、区域性银行、非银金融机构,,False,False,金融主体类型命中‘金融科技服务商’合理，因主营业务明确包含对银行的IT基础设施建设、软件解决方案和运维服务，符合金融科技服务商定义,第一轮判定为银行IT赛道、置信度70，复核认为证据充足：按行业维度披露的‘全国性银行’、‘区域性银行’、‘非银金融机构’收入直接对应金融客户，构成核心金融科技业务；但未出现AI、大数据等明确技术表述，故ai_evidence_level为none，修订置信度至75。排除泛化智能化噪音词无。,False,300541.SZ,300541.SZ,先进数通,软件服务,金融相关主体,金融科技服务商,True,70,银行IT,主营业务包括专对银行的IT基础设施、软件解决方案和运维服务，表明公司从事银行IT业务。但未提及人工智能相关技术，且业务包含通用IT基础设施，需年报进一步验证。,非持牌金融相关主体,deepseek-v4-pro,2733,276,3009,completed
True,none,支付科技,core,75,商户端支付解决方案、银行端产品及服务、金融行业,智慧医疗养老,False,False,规则判定为“非金融主体”合理，公司主业并非持牌金融，而是为金融行业提供支付解决方案。,公司主营业务中明确包含“商户端支付解决方案”和“银行端产品及服务”，直接服务于金融支付场景，且“金融行业”作为单独行业口径披露收入，表明其业务深度绑定金融领域，符合金融科技定义。第一轮结论正确，不存在被泛化智能化表述误导的情形。,False,300941.SZ,300941.SZ,创识科技,IT设备,非金融主体,,True,70,支付科技,主营业务包含商户端支付解决方案和银行端产品及服务，明确涉及金融支付场景；金融行业收入规模较大，但未提及人工智能技术。,低置信度,deepseek-v4-pro,2439,260,2699,completed
False,none,,none,85,,数字财税业务、企业数字化、智慧业务,True,False,原判定为非金融主体，与复核一致，未出现误分类,主营业务中的“数字财税业务”仅表明为财税领域提供数字化工具，但未出现面向金融场景（如信贷、风控、支付）的具体产品描述；且原文无任何AI、大数据等金融科技关键词。“智慧业务”“企业数字化”为泛化术语，无法确认金融科技属性。第一轮误将财税数字化等同于财税科技，且置信度过高。,False,600271.SH,600271.SH,航天信息,软件服务,非金融主体,,True,70,财税科技、其他金融科技,主营业务包含数字财税业务和企业数字化，涉及财税领域数字化系统，可归类为财税科技；但未出现AI相关表述，需要年报验证更多产品细节。,低置信度,deepseek-v4-pro,2346,243,2589,completed
False,none,,none,20,,,True,False,金融主体规则未命中，公司被归为非金融主体，与业务描述一致，不存在误判。,主营业务构成中明确列有'保险业务'和'保险佣金'收入，但仅凭业务名称无法判断其是否提供金融科技产品或技术服务；业务描述未提及任何AI、大数据、区块链等金融科技核心技术，且公司整体以B2B电子商务、网络信息服务为主，保险业务更可能是保险代理或经纪服务，而非面向金融机构的IT系统或技术解决方案，因此不构成金融科技。,False,002315.SZ,002315.SZ,焦点科技,互联网,非金融主体,,True,65,保险IT、其他金融科技,公司有明确的保险业务和保险佣金收入，属于金融科技中的保险IT或保险科技；网络信息服务虽可能涉及金融数据，但描述不具体。主营业务未提及AI相关技术。,低置信度,deepseek-v4-pro,2747,246,2993,completed
False,none,,none,25,,低代码平台和物联网平台建设及解决方案,True,False,规则判定为'非金融主体'，因行业、主营业务和公司名称均未命中金融主体规则，判定合理。,主营业务虽提及‘金融行业’，但仅表明产品面向金融行业客户，描述为通用的低代码平台和物联网解决方案，未体现任何金融业务环节、场景或AI技术应用，不属于金融科技。第一轮仅因‘金融行业’收入即判定为金融科技，属于误判。,False,300448.SZ,300448.SZ,浩云科技,软件服务,非金融主体,,True,65,其他金融科技,主营包含'低代码平台和物联网平台建设及解决方案'和'金融行业'收入，表明为金融行业提供物联网解决方案，但通用低代码平台非专用金融科技产品，也无具体金融场景或AI证据，需年报验证。,低置信度,deepseek-v4-pro,2341,236,2577,completed
True,indirect,银行IT,important,70,银行、非银行金融机构类,,False,False,金融主体规则未命中，判断正确，公司非金融主体，但业务面向金融机构。,主营业务明确以银行和非银行金融机构为对象，提供软件开发及维护等服务，属于金融科技赛道中的银行IT，虽未明确提及AI等前沿技术，但为金融机构提供软件系统是典型金融科技。第一轮结论基本一致，无差异。,False,300468.SZ,300468.SZ,四方精创,软件服务,非金融主体,,True,65,银行IT、证券IT、保险IT,主营业务包括软件开发及维护、系统集成，客户涉及银行和非银行金融机构，但项目描述宽泛，未明确金融专用软件或AI技术，需要年报验证。,低置信度,deepseek-v4-pro,1984,227,2211,completed
True,none,银行IT、证券IT、其他金融科技,core,60,银行业、非银金融机构,,False,False,金融主体类型为“非金融主体”，与实际业务为金融IT服务商一致，不存在误判。,主营业务构成中明确列出“银行业”和“非银金融机构”作为业务口径，收入合计占比高，表明公司为银行及非银金融机构提供软件开发、系统集成和专业服务，符合金融科技定义。但描述中无AI、大数据等具体技术手段证据，故AI证据级别为none，置信度中等偏下。,False,300542.SZ,300542.SZ,新晨科技,软件服务,非金融主体,,True,65,银行IT、证券IT、其他金融科技,公司软件开发业务和系统集成业务面向银行及非银金融机构，收入规模大，属于金融IT服务商，但主营业务描述宽泛，缺乏具体金融科技产品或AI证据。,低置信度,deepseek-v4-pro,2240,249,2489,completed
False,none,,none,75,,数据资产管理软件、供应链管理软件、人工智能软件,False,True,规则因'资产管理'关键词将公司判定为资产管理类金融相关主体，但业务描述中的'数据资产管理软件'指企业数据治理工具，非金融资产管理业务。,主营业务为检验检测、数据资产管理、供应链管理等通用软件，未涉及金融场景或金融机构客户，'资产管理'属企业数据管理范畴，非金融业务，与第一轮结论一致。,False,301159.SZ,301159.SZ,三维天地,软件服务,金融相关主体,资产管理,False,75,,主营业务为检验检测、数据资产管理、供应链管理等通用软件产品及服务，未涉及金融科技相关场景或产品，不属于金融科技范畴。,非持牌金融相关主体,deepseek-v4-pro,2443,227,2670,completed
True,indirect,其他金融科技,weak,60,金融业-金融科技服务、金融科技服务、金融企业不良资产收购处置、资产管理业务、手续费及佣金收入,,False,False,公司所属行业为多元金融，主营业务包含资产管理、不良资产收购处置、手续费及佣金收入等典型金融业务，金融主体类型命中合理，并非误判。,公司主营业务明确包含金融科技服务项目（收入约810万元），且其他业务为资产管理等典型金融业务，符合金融科技定义；但金融科技服务收入规模小且利润为负，描述中无具体AI技术细节，故证据等级为间接，重要性为弱，置信度中等，建议人工复核。与第一轮结论一致，无需调整。,True,000567.SZ,000567.SZ,海德股份,多元金融,金融相关主体,资产管理、金融科技服务商,True,75,其他金融科技,主营业务中明确包含'金融科技服务'项目，但收入规模较小（约809万），且无具体技术或AI描述。,非持牌金融相关主体,deepseek-v4-pro,2152,292,2444,completed
True,none,金融数据、证券IT、其他金融科技,weak,60,金融数据服务、金融电子商务服务、信息技术服务业,,False,False,公司持有证券、期货、基金等牌照，主营业务包括证券经纪、期货经纪、资产管理等传统金融业务，且其'金融数据服务'和'金融电子商务服务'明确属于金融科技服务，金融主体类型判定合理。,东方财富主营业务中包含'金融数据服务'（收入2.4亿）和'金融电子商务服务'（收入3.18亿），前者直接对应金融科技赛道中的金融数据，后者涉及互联网基金销售等技术驱动的金融业务，同时公司作为持牌金融机构，其信息技术服务收入（35.3亿）可能为金融业务提供系统支撑。尽管AI证据缺失，且金融科技业务占比较小（约3%），但确实存在面向金融场景的技术服务，故判定为金融科技相关，赛道为金融数据，与第一轮结论一致。,False,300059.SZ,300059.SZ,东方财富,证券,金融机构,证券、资产管理、其他金融相关,True,70,金融数据,主营业务中包含'金融数据服务'，属于金融科技赛道中的金融数据。但收入占比相对较小（与证券经纪业务等相比），且无AI相关证据。,低置信度,deepseek-v4-pro,2366,336,2702,completed
True,none,支付科技、其他金融科技,weak,60,移动支付产品、金融增值服务业务,,False,False,金融主体规则判定为非金融主体，与实际业务相符，未命中任何金融主体关键词或模式,主营业务中明确存在移动支付产品和金融增值服务业务，属于面向金融场景的具体产品，符合支付科技范畴；但收入占比很低，且未提及AI等技术手段，故置信度下调。第一轮结论正确，未受泛化智能化误导。,False,300180.SZ,300180.SZ,华峰超纤,化纤,非金融主体,,True,70,支付科技、其他金融科技,主营业务中包含移动支付产品和金融增值服务业务，属于金融科技范畴；但收入占比低，且未出现AI相关描述。,低置信度,deepseek-v4-pro,2420,234,2654,completed
