ts_code,name,final_fintech_related,final_confidence,final_tracks,is_pseudo_fintech_false_positive,recommend_manual_review,recheck_trigger,recheck_source
601136.SH,首创证券,True,60,人工智能与大模型、数字化渠道与开放银行、数据平台与数据治理、科技投入与组织建设、智能投顾与财富管理、监管科技与合规,False,False,低置信度,annual_report_level
300542.SZ,新晨科技,True,60,银行IT、证券IT、其他金融科技,False,False,低置信度,company_level_only
300059.SZ,东方财富,True,60,金融数据、证券IT、其他金融科技,False,False,低置信度,company_level_only
300180.SZ,华峰超纤,True,60,支付科技、其他金融科技,False,False,低置信度,company_level_only
000750.SZ,国海证券,True,65,人工智能与大模型、数字化渠道与开放银行、科技投入与组织建设、智能风控与反欺诈、数据平台与数据治理、其他金融科技,False,False,低置信度,annual_report_level
002797.SZ,第一创业,True,70,人工智能与大模型、智能投顾与财富管理、数字化渠道与开放银行、科技投入与组织建设、其他金融科技,False,False,低置信度,annual_report_level
600816.SH,建元信托,True,70,数据平台与数据治理、人工智能与大模型、数字化渠道与开放银行、科技投入与组织建设,False,False,低置信度,annual_report_level
601099.SH,太平洋,True,70,智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、科技投入与组织建设、其他金融科技,False,False,低置信度,annual_report_level
300333.SZ,兆日科技,True,70,支付科技,False,False,低置信度,company_level_only
300348.SZ,长亮科技,True,70,银行IT、金融数据,False,False,低置信度,company_level_only
600624.SH,ST复华,True,70,保险IT,False,False,低置信度,company_level_only
300377.SZ,赢时胜,True,70,银行IT、证券IT、保险IT、财富管理科技、其他金融科技,False,False,低置信度,company_level_only
300468.SZ,四方精创,True,70,银行IT,False,False,低置信度,company_level_only
001236.SZ,弘业期货,True,72,人工智能与大模型、智能风控与反欺诈、智能投顾与财富管理、数据平台与数据治理、数字化渠道与开放银行、其他金融科技,False,False,低置信度,annual_report_level
600909.SH,华安证券,True,72,人工智能与大模型、智能风控与反欺诈、数据平台与数据治理、数字化渠道与开放银行、科技投入与组织建设,False,False,低置信度,annual_report_level
002987.SZ,京北方,True,75,人工智能与大模型、智能风控与反欺诈、支付清算与数字人民币、监管科技与合规、其他金融科技,False,False,非持牌金融相关主体,annual_report_level
601059.SH,信达证券,True,75,人工智能与大模型、智能投顾与财富管理、数字化渠道与开放银行、科技投入与组织建设,False,False,低置信度,annual_report_level
601375.SH,中原证券,True,75,人工智能与大模型、智能投顾与财富管理、智能风控与反欺诈、数字化渠道与开放银行、监管科技与合规,False,False,低置信度,annual_report_level
000997.SZ,新大陆,True,75,支付科技、其他金融科技,False,False,低置信度,company_level_only
300941.SZ,创识科技,True,75,支付科技,False,False,低置信度,company_level_only
300996.SZ,普联软件,True,75,财务SaaS,False,False,低置信度,company_level_only
300803.SZ,指南针,True,80,人工智能与大模型、智能投顾与财富管理、证券科技、科技投入与组织建设、其他金融科技,False,False,非持牌金融相关主体,annual_report_level
601519.SH,大智慧,True,80,人工智能与大模型、智能风控与反欺诈、数据平台与数据治理、智能投顾与财富管理、科技投入与组织建设、其他金融科技,False,False,非持牌金融相关主体,annual_report_level
601818.SH,光大银行,True,80,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、科技投入与组织建设、支付清算与数字人民币、监管科技与合规,False,False,低置信度,annual_report_level
601825.SH,沪农商行,True,80,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、支付清算与数字人民币、科技投入与组织建设,False,False,低置信度,annual_report_level
601995.SH,中金公司,True,80,人工智能与大模型、数字化渠道与开放银行、智能投顾与财富管理、科技投入与组织建设,False,False,低置信度,annual_report_level
300130.SZ,新国都,True,80,支付科技,False,False,低置信度,company_level_only
300465.SZ,高伟达,True,80,银行IT、证券IT,False,False,低置信度,company_level_only
600570.SH,恒生电子,True,80,财富管理科技、银行IT、证券IT、保险IT、金融数据、金融信息安全、其他金融科技,False,False,低置信度,company_level_only
603171.SH,税友股份,True,80,财税科技,False,False,低置信度,company_level_only
603927.SH,中科软,True,80,保险IT,False,False,低置信度,company_level_only
688318.SH,财富趋势,True,80,证券IT、金融数据,False,False,低置信度,company_level_only
688590.SH,新致软件,True,80,保险IT、银行IT,False,False,低置信度,company_level_only
600906.SH,财达证券,True,82,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、智能投顾与财富管理、科技投入与组织建设、其他金融科技,False,False,低置信度,annual_report_level
601688.SH,华泰证券,True,82,人工智能与大模型、智能风控与反欺诈、数据平台与数据治理、监管科技与合规、科技投入与组织建设、其他金融科技,False,False,低置信度,annual_report_level
000686.SZ,东北证券,True,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、科技投入与组织建设、证券科技,False,False,低置信度,annual_report_level
000776.SZ,广发证券,True,85,人工智能与大模型、智能投顾与财富管理、数据平台与数据治理、云计算与技术基础设施、科技投入与组织建设,False,False,低置信度,annual_report_level
000987.SZ,越秀资本,True,85,科技投入与组织建设、智能风控与反欺诈、人工智能与大模型,False,False,非持牌金融相关主体,annual_report_level
002670.SZ,国盛证券,True,85,人工智能与大模型、数据平台与数据治理、云计算与技术基础设施、科技投入与组织建设、其他金融科技,False,False,低置信度,annual_report_level
002721.SZ,金一文化,True,85,人工智能与大模型、支付清算与数字人民币、智能风控与反欺诈、数据平台与数据治理、数字化渠道与开放银行、科技投入与组织建设,False,False,非持牌金融相关主体,annual_report_level
002926.SZ,华西证券,True,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、科技投入与组织建设,False,False,低置信度,annual_report_level
300085.SZ,银之杰,True,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、智能投顾与财富管理、证券科技、科技投入与组织建设、其他金融科技,False,False,非持牌金融相关主体,annual_report_level
300541.SZ,先进数通,True,85,人工智能与大模型、智能风控与反欺诈、数据平台与数据治理、云计算与技术基础设施、数字化渠道与开放银行、监管科技与合规、支付清算与数字人民币、证券科技、其他金融科技,False,False,非持牌金融相关主体,annual_report_level
300674.SZ,宇信科技,True,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、支付清算与数字人民币、监管科技与合规、科技投入与组织建设,False,False,非持牌金融相关主体,annual_report_level
600036.SH,招商银行,True,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、监管科技与合规、支付清算与数字人民币、科技投入与组织建设,False,False,低置信度,annual_report_level
600095.SH,湘财股份,True,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、科技投入与组织建设,False,False,低置信度,annual_report_level
600928.SH,西安银行,True,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、支付清算与数字人民币、科技投入与组织建设、其他金融科技,False,False,低置信度,annual_report_level
601166.SH,兴业银行,True,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、支付清算与数字人民币、监管科技与合规、科技投入与组织建设,False,False,低置信度,annual_report_level
601788.SH,光大证券,True,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、智能投顾与财富管理、科技投入与组织建设、支付清算与数字人民币、监管科技与合规,False,False,低置信度,annual_report_level
601860.SH,紫金银行,True,85,支付清算与数字人民币、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、人工智能与大模型、科技投入与组织建设,False,False,低置信度,annual_report_level
601901.SH,方正证券,True,85,人工智能与大模型、智能风控与反欺诈、云计算与技术基础设施、科技投入与组织建设,False,False,低置信度,annual_report_level
601939.SH,建设银行,True,85,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、智能投顾与财富管理、支付清算与数字人民币、科技投入与组织建设,False,False,低置信度,annual_report_level
601988.SH,中国银行,True,85,人工智能与大模型、智能风控与反欺诈、支付清算与数字人民币、科技投入与组织建设、数据平台与数据治理、数字化渠道与开放银行、其他金融科技,False,False,低置信度,annual_report_level
603093.SH,南华期货,True,85,人工智能与大模型、数据平台与数据治理、云计算与技术基础设施、数字化渠道与开放银行、科技投入与组织建设、其他金融科技,False,False,低置信度,annual_report_level
603123.SH,翠微股份,True,85,支付清算与数字人民币、人工智能与大模型、数字化渠道与开放银行、数据平台与数据治理,False,False,非持牌金融相关主体,annual_report_level
002657.SZ,中科金财,True,85,银行IT、AI金融基础设施,False,False,低置信度,company_level_only
300561.SZ,汇金科技,True,85,银行IT、金融信息安全,False,False,低置信度,company_level_only
300663.SZ,科蓝软件,True,85,银行IT、金融信息安全、其他金融科技,False,False,低置信度,company_level_only
300773.SZ,拉卡拉,True,85,支付科技,False,False,非持牌金融相关主体,company_level_only
300231.SZ,银信科技,False,85,,False,False,低置信度,company_level_only
300352.SZ,ST信源,False,85,,False,False,低置信度,company_level_only
300895.SZ,铜牛信息,False,85,,False,False,低置信度,company_level_only
688227.SH,品高股份,False,85,,False,False,低置信度,company_level_only
603038.SH,华立股份,False,85,,False,False,低置信度,company_level_only
601198.SH,东兴证券,True,88,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、智能投顾与财富管理、证券科技、科技投入与组织建设,False,False,低置信度,annual_report_level
300380.SZ,安硕信息,True,90,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、监管科技与合规、科技投入与组织建设,False,False,非持牌金融相关主体,annual_report_level
601658.SH,邮储银行,True,90,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、支付清算与数字人民币、智能投顾与财富管理、监管科技与合规、科技投入与组织建设,False,False,低置信度,annual_report_level
002279.SZ,久其软件,False,90,,False,False,低置信度,company_level_only
300033.SZ,同花顺,True,92,人工智能与大模型、智能投顾与财富管理、数据平台与数据治理、支付清算与数字人民币,False,False,非持牌金融相关主体,annual_report_level
000548.SZ,湖南投资,False,95,,False,False,非持牌金融相关主体,annual_report_level
000736.SZ,中交发展,False,95,,False,False,非持牌金融相关主体,annual_report_level
002010.SZ,传化智联,False,95,,False,False,低置信度,company_level_only
300311.SZ,ST任子行,False,95,,False,False,低置信度,company_level_only
301051.SZ,信濠光电,False,95,,False,False,低置信度,company_level_only
002771.SZ,真视通,False,95,,False,False,低置信度,company_level_only
301208.SZ,中亦科技,False,95,,False,False,低置信度,company_level_only
300096.SZ,ST易联众,False,95,,False,False,低置信度,company_level_only
002285.SZ,世联行,False,98,,False,False,非持牌金融相关主体,annual_report_level
