company_id,company_name,segment,board,in_kg_sample,revenue_2025_yi,revenue_source,revenue_implied_yi,net_profit_2025_yi,total_assets_2025_yi,roe_2025_pct,net_margin_pct,is_loss,rd_amount_2025_yi,rd_intensity_pct,rd_growth_pct,rd_cap_ratio_pct,rd_staff_2025,rd_disclosed,rd_format,asset_intensity,ai_kw_hits_2025,ai_breadth_2025,ai_depth_2025,ai_hhi_2025,ai_product_lines_2025,primary_direction_2025,top3_2025,text_len,ai_density_2025,rd_text_type,breadth_2024,depth_2024,hhi_2024,primary_2024,evidence_2024,products_2024,revenue_tier,rd_tier,profit_tier
002670.SZ,国盛证券,证券,深市主板,True,,缺失,,,,,,,0.1874,,13.27,,,True,A_深市版,资产密集型金融机构,10,2,5.0,0.52,2,大模型与生成式AI,大模型与生成式AI(3.0) > 智能决策与预测(2.0),1448,6.906,叙述型(含研发项目描述),1.0,0.406,1.0,大模型与生成式AI,1.0,0.0,,,
002721.SZ,金一文化,其他,深市主板,True,8.77,年报反推,8.77,,,,,,0.2737,3.12,,,,True,A_深市版,轻资产科技服务商,45,0,0.0,,3,,,2055,21.898,叙述型(含研发项目描述),1.0,0.439,1.0,大模型与生成式AI,2.0,0.0,中规模,低研发强度,
002797.SZ,第一创业,证券,,False,,缺失,,,,,,,,,,,,False,无投入表,资产密集型金融机构,0,0,0.0,,0,,,36,0.0,未披露/极简,,,,,,,,,
002926.SZ,华西证券,证券,,False,,缺失,,,,,,,,,,,,False,无投入表,资产密集型金融机构,0,0,0.0,,0,,,36,0.0,未披露/极简,,,,,,,,,
002987.SZ,京北方,金融IT服务商,深市主板,True,48.39,年报检索,,3.27,,,6.76,0.0,,,,,,False,无投入表,轻资产科技服务商,9,1,5.0,1.0,1,大模型与生成式AI,大模型与生成式AI(5.0),192,46.875,叙述型(含研发项目描述),2.0,2.513,0.874,大模型与生成式AI,7.0,0.0,大规模,,微利/一般盈利
300033.SZ,同花顺,互联网金融信息,创业板,True,60.29,年报检索,60.3,32.05,,,53.16,0.0,11.4508,18.99,-4.04,,3141.0,True,A_深市版,轻资产科技服务商,87,7,19.5,0.378,2,大模型与生成式AI,大模型与生成式AI(11.5) > 智能语音(2.0) > 知识图谱(1.5),2438,35.685,叙述型(含研发项目描述),2.0,9.158,0.972,大模型与生成式AI,33.0,2.0,大规模,高研发强度,高盈利(净利率≥20%)
300059.SZ,东方财富,互联网金融信息,创业板,True,160.68,年报检索,160.62,120.85,,,75.21,0.0,10.6655,6.64,-6.66,,1973.0,True,A_深市版,轻资产科技服务商,32,3,10.5,0.746,2,大模型与生成式AI,大模型与生成式AI(9.0) > AI工程化与算力底座(1.0) > 智能决策与预测(0.5),1486,21.534,叙述型(含研发项目描述),4.0,7.452,0.692,大模型与生成式AI,14.0,1.0,大规模,中研发强度,高盈利(净利率≥20%)
300079.SZ,数码视讯,其他,,False,7.33,年报反推,7.33,,,,,,0.9829,13.41,-27.17,,,True,A_深市版,轻资产科技服务商,0,0,0.0,,0,,,1448,0.0,叙述型(含研发项目描述),,,,,,,小规模,高研发强度,
300085.SZ,银之杰,金融IT服务商,创业板,True,7.58,年报检索,,-1.33,9.13,-27.22,-17.55,1.0,,,,,,False,无投入表,轻资产科技服务商,26,5,20.5,0.284,1,计算机视觉,计算机视觉(7.5) > AI工程化与算力底座(7.0) > 机器学习与深度学习(3.0),1382,18.813,叙述型(含研发项目描述),4.0,3.723,0.576,计算机视觉,9.0,0.0,小规模,,亏损
300130.SZ,新国都,支付与商户服务,创业板,True,31.8,年报检索,31.79,4.69,,,14.75,0.0,2.8679,9.02,3.67,,,True,A_深市版,轻资产科技服务商,30,1,1.0,1.0,2,智能决策与预测,智能决策与预测(1.0),1570,19.108,叙述型(含研发项目描述),1.0,0.448,1.0,智能决策与预测,3.0,2.0,中规模,中研发强度,微利/一般盈利
300180.SZ,华峰超纤,其他,创业板,True,40.0,年报反推,40.0,,,,,,1.5321,3.83,-20.27,,,True,A_深市版,轻资产科技服务商,51,5,18.0,0.35,1,大模型与生成式AI,大模型与生成式AI(9.5) > 智能决策与预测(4.0) > 机器学习与深度学习(2.0),3246,15.712,叙述型(含研发项目描述),3.0,2.026,0.375,大模型与生成式AI,7.0,0.0,大规模,低研发强度,
300333.SZ,兆日科技,金融IT服务商,,False,,缺失,,,,,,,,,,,,False,无投入表,轻资产科技服务商,0,0,0.0,,0,,,274,0.0,叙述型(含研发项目描述),,,,,,,,,
300348.SZ,长亮科技,金融IT服务商,创业板,True,19.58,年报检索,,0.21,29.51,0.97,1.07,0.0,,,,,,False,无投入表,轻资产科技服务商,2,1,2.0,1.0,0,大模型与生成式AI,大模型与生成式AI(2.0),259,7.722,叙述型(含研发项目描述),3.0,4.64,0.647,大模型与生成式AI,13.0,2.0,中规模,,微利/一般盈利
300377.SZ,赢时胜,金融IT服务商,创业板,True,13.7,年报检索,,-0.0526,,,-0.38,1.0,,,,,,False,无投入表,轻资产科技服务商,0,0,0.0,,0,,,100,0.0,叙述型(含研发项目描述),2.0,3.308,0.828,大模型与生成式AI,16.0,0.0,中规模,,亏损
300380.SZ,安硕信息,金融IT服务商,,False,,缺失,,,,,,,,,,,,False,无投入表,轻资产科技服务商,9,2,3.0,0.556,1,计算机视觉,计算机视觉(2.0) > 大模型与生成式AI(1.0),567,15.873,叙述型(含研发项目描述),,,,,,,,,
300465.SZ,高伟达,金融IT服务商,创业板,True,,缺失,,,,,,,,,,,,False,无投入表,轻资产科技服务商,10,2,3.0,0.556,1,大模型与生成式AI,大模型与生成式AI(2.0) > 自然语言处理(1.0),326,30.675,叙述型(含研发项目描述),1.0,0.203,1.0,自然语言处理,4.0,1.0,,,
300468.SZ,四方精创,金融IT服务商,创业板,True,6.31,年报检索,6.31,0.743,,,11.77,0.0,0.5992,9.5,-14.52,,,True,A_深市版,轻资产科技服务商,91,5,20.0,0.349,5,大模型与生成式AI,大模型与生成式AI(10.5) > 隐私计算与可信AI(4.5) > 强化学习与智能优化(2.0),11600,7.845,叙述型(含研发项目描述),2.0,0.556,0.573,智能决策与预测,5.0,0.0,小规模,中研发强度,微利/一般盈利
300541.SZ,先进数通,金融IT服务商,创业板,True,35.84,年报检索,35.79,1.19,,7.03,3.32,0.0,0.8947,2.5,-15.64,,,True,A_深市版,轻资产科技服务商,13,2,10.0,0.5,2,大模型与生成式AI,大模型与生成式AI(5.0) > AI工程化与算力底座(5.0),3151,4.126,叙述型(含研发项目描述),2.0,2.6,0.506,大模型与生成式AI,9.0,0.0,中规模,低研发强度,微利/一般盈利
300542.SZ,新晨科技,金融IT服务商,创业板,True,,缺失,,,,,,,,,,,,False,无投入表,轻资产科技服务商,0,0,0.0,,0,,,245,0.0,叙述型(含研发项目描述),2.0,2.243,0.512,大模型与生成式AI,5.0,0.0,,,
300561.SZ,汇金科技,金融IT服务商,创业板,True,1.12,年报反推,1.12,,,,,,0.1395,12.45,-5.26,,,True,A_深市版,轻资产科技服务商,5,3,4.5,0.506,0,大模型与生成式AI,大模型与生成式AI(3.0) > 计算机视觉(1.0) > AI工程化与算力底座(0.5),1997,2.504,叙述型(含研发项目描述),3.0,1.716,0.414,计算机视觉,4.0,0.0,小规模,中研发强度,
300663.SZ,科蓝软件,金融IT服务商,创业板,True,5.91,年报检索,,-3.95,17.66,-64.06,-66.84,1.0,,,,,,False,无投入表,轻资产科技服务商,13,2,6.5,0.503,1,AI工程化与算力底座,AI工程化与算力底座(3.5) > 大模型与生成式AI(3.0),1852,7.019,叙述型(含研发项目描述),3.0,9.344,0.487,大模型与生成式AI,29.0,3.0,小规模,,亏损
300674.SZ,宇信科技,金融IT服务商,创业板,True,36.23,年报检索,,4.32,,,11.92,0.0,,,,,,False,无投入表,轻资产科技服务商,8,1,3.0,1.0,1,大模型与生成式AI,大模型与生成式AI(3.0),289,27.682,叙述型(含研发项目描述),1.0,1.658,1.0,大模型与生成式AI,5.0,1.0,大规模,,微利/一般盈利
300803.SZ,指南针,互联网金融信息,,False,21.46,年报检索,21.47,2.28,,,10.62,0.0,1.6447,7.66,1.17,,,True,A_深市版,轻资产科技服务商,18,2,1.5,0.556,2,智能决策与预测,智能决策与预测(1.0) > 知识图谱(0.5),1543,11.666,叙述型(含研发项目描述),,,,,,,中规模,中研发强度,微利/一般盈利
300941.SZ,创识科技,支付与商户服务,,False,,缺失,,,,,,,,,,,,False,无投入表,轻资产科技服务商,68,2,4.5,0.556,3,计算机视觉,计算机视觉(3.0) > 智能决策与预测(1.5),4738,14.352,叙述型(含研发项目描述),,,,,,,,,
300996.SZ,普联软件,金融IT服务商,创业板,True,8.25,年报检索,8.25,0.7398,,,8.97,0.0,1.1639,14.11,7.53,,1420.0,True,A_深市版,轻资产科技服务商,61,5,31.0,0.286,4,大模型与生成式AI,大模型与生成式AI(13.0) > AI工程化与算力底座(8.0) > 机器学习与深度学习(5.0),4472,13.64,叙述型(含研发项目描述),3.0,2.478,0.389,机器学习与深度学习,6.0,1.0,小规模,高研发强度,微利/一般盈利
600095.SH,湘财股份,证券,,False,3.01,年报反推,3.01,,,,,,0.0012,0.04,,0.0,,True,B_沪市版,资产密集型金融机构,0,0,0.0,,0,,,358,0.0,纯表格型(仅投入金额表),,,,,,,小规模,低研发强度,
600446.SH,金证股份,金融IT服务商,沪市主板,True,24.19,年报检索,24.19,-1.68,,,-6.95,1.0,5.0021,20.68,,3.22,5103.0,True,B_沪市版,轻资产科技服务商,0,0,0.0,,0,,,394,0.0,纯表格型(仅投入金额表),1.0,1.62,1.0,大模型与生成式AI,5.0,0.0,中规模,高研发强度,亏损
600570.SH,恒生电子,金融IT服务商,沪市主板,True,57.83,年报检索,57.82,12.31,159.07,13.33,21.29,0.0,21.8,37.7,,,5463.0,True,B_沪市版,轻资产科技服务商,0,0,0.0,,0,,,384,0.0,纯表格型(仅投入金额表),1.0,1.212,1.0,大模型与生成式AI,7.0,3.0,大规模,高研发强度,高盈利(净利率≥20%)
600624.SH,ST复华,其他,,False,6.4,年报反推,6.4,,,,,,0.3873,6.05,,18.4,,True,B_沪市版,轻资产科技服务商,0,0,0.0,,0,,,422,0.0,纯表格型(仅投入金额表),,,,,,,小规模,中研发强度,
600816.SH,建元信托,信托,,False,,缺失,,,,,,,,,,,,False,无投入表,资产密集型金融机构,0,0,0.0,,0,,,97,0.0,纯表格型(仅投入金额表),,,,,,,,,
600864.SH,哈投股份,证券,,False,,缺失,,,,,,,,,,,,False,无投入表,资产密集型金融机构,0,0,0.0,,0,,,100,0.0,纯表格型(仅投入金额表),,,,,,,,,
600906.SH,财达证券,证券,沪市主板,True,,缺失,,,,,,,,,,,,False,无投入表,资产密集型金融机构,0,0,0.0,,0,,,99,0.0,纯表格型(仅投入金额表),2.0,0.786,0.501,智能决策与预测,2.0,1.0,,,
600909.SH,华安证券,证券,,False,,缺失,,,,,,,,,,,,False,无投入表,资产密集型金融机构,0,0,0.0,,0,,,98,0.0,纯表格型(仅投入金额表),,,,,,,,,
600928.SH,西安银行,银行,沪市主板,True,,缺失,,26.5,5381.67,,,0.0,,,,,,False,无投入表,资产密集型金融机构,0,0,0.0,,0,,,329,0.0,未披露/极简,1.0,0.366,1.0,智能决策与预测,2.0,1.0,,,
601059.SH,信达证券,证券,,False,40.38,年报反推,40.38,,,,,,0.1656,0.41,,,,True,B_沪市版,资产密集型金融机构,0,0,0.0,,0,,,361,0.0,纯表格型(仅投入金额表),,,,,,,大规模,低研发强度,
601099.SH,太平洋,证券,,False,,缺失,,,,,,,,,,,,False,无投入表,资产密集型金融机构,0,0,0.0,,0,,,99,0.0,纯表格型(仅投入金额表),,,,,,,,,
601136.SH,首创证券,证券,,False,,缺失,,,,,,,,,,,,False,无投入表,资产密集型金融机构,0,0,0.0,,0,,,97,0.0,纯表格型(仅投入金额表),,,,,,,,,
601198.SH,东兴证券,证券,,False,,缺失,,,,,,,,,,,,False,无投入表,资产密集型金融机构,0,0,0.0,,0,,,95,0.0,纯表格型(仅投入金额表),,,,,,,,,
601375.SH,中原证券,证券,,False,,缺失,,,,,,,,,,,,False,无投入表,资产密集型金融机构,0,0,0.0,,0,,,98,0.0,纯表格型(仅投入金额表),,,,,,,,,
601456.SH,国联民生,证券,,False,76.54,年报反推,76.54,,,,,,0.6889,0.9,,,,True,B_沪市版,资产密集型金融机构,0,0,0.0,,0,,,369,0.0,纯表格型(仅投入金额表),,,,,,,大规模,低研发强度,
601519.SH,大智慧,互联网金融信息,,False,8.26,年报反推,8.26,,,,,,1.8511,22.4,,,,True,B_沪市版,轻资产科技服务商,56,5,16.0,0.432,2,大模型与生成式AI,大模型与生成式AI(10.0) > 机器学习与深度学习(2.5) > 知识图谱(1.5),3047,18.379,纯表格型(仅投入金额表),,,,,,,小规模,高研发强度,
601788.SH,光大证券,证券,沪市主板,True,108.52,年报检索,108.51,37.29,,,34.36,0.0,9.9613,9.18,,26.01,,True,B_沪市版,资产密集型金融机构,0,0,0.0,,0,,,477,0.0,纯表格型(仅投入金额表),1.0,0.421,1.0,大模型与生成式AI,1.0,1.0,大规模,中研发强度,高盈利(净利率≥20%)
603093.SH,南华期货,证券,沪市主板,True,13.88,年报反推,13.88,,,,,,0.2096,1.51,,,,True,B_沪市版,资产密集型金融机构,0,0,0.0,,0,,,341,0.0,纯表格型(仅投入金额表),1.0,0.397,1.0,大模型与生成式AI,1.0,1.0,中规模,低研发强度,
603123.SH,翠微股份,其他,,False,23.19,年报反推,23.19,,,,,,0.5428,2.34,,,,True,B_沪市版,轻资产科技服务商,0,0,0.0,,0,,,356,0.0,纯表格型(仅投入金额表),,,,,,,中规模,低研发强度,
603171.SH,税友股份,金融IT服务商,沪市主板,True,20.54,年报检索,20.53,1.36,,,6.62,0.0,5.1109,24.89,,9.67,1083.0,True,B_沪市版,轻资产科技服务商,0,0,0.0,,0,,,384,0.0,纯表格型(仅投入金额表),3.0,3.139,0.516,大模型与生成式AI,7.0,0.0,中规模,高研发强度,微利/一般盈利
603927.SH,中科软,金融IT服务商,沪市主板,True,60.28,年报检索,60.29,2.24,,,3.72,0.0,8.176,13.56,,,5322.0,True,B_沪市版,轻资产科技服务商,0,0,0.0,,0,,,376,0.0,纯表格型(仅投入金额表),3.0,2.264,0.442,AI工程化与算力底座,10.0,1.0,大规模,高研发强度,微利/一般盈利
688318.SH,财富趋势,互联网金融信息,科创板,True,3.68,年报检索,3.68,3.15,40.55,,85.6,0.0,0.8558,23.25,,,,True,B_沪市版,轻资产科技服务商,0,0,0.0,,0,,,230,0.0,纯表格型(仅投入金额表),4.0,3.113,0.473,大模型与生成式AI,13.0,3.0,小规模,高研发强度,高盈利(净利率≥20%)
688590.SH,新致软件,金融IT服务商,科创板,True,21.07,年报检索,21.08,-1.27,32.1,,-6.03,1.0,2.0192,9.58,,14.4,,True,B_沪市版,轻资产科技服务商,0,0,0.0,,0,,,280,0.0,纯表格型(仅投入金额表),6.0,6.249,0.416,大模型与生成式AI,18.0,2.0,中规模,中研发强度,亏损
