fintech_related,ai_evidence_level,tracks,business_materiality,confidence,evidence,reason,needs_annual_report_validation,fintech_candidate_for_annual_report,confirmed_ai_from_main_business,ai_fintech_candidate,financial_institution_review_candidate,financial_institution_category,financial_institution_review_reason,annual_report_fintech_review_candidate,ts_code,name,industry,market,exchange,report_period,prefilter_passed,prefilter_reason,prefilter_strong_hits,prefilter_financial_hits,prefilter_tech_hits,financial_institution_industry_hits,financial_institution_business_hits,financial_related_industry_hits,model,prompt_tokens,completion_tokens,total_tokens
True,none,银行IT,core,75,数字金融业务解决方案、大数据应用系统解决方案,主营业务包含数字金融业务解决方案和大数据应用系统解决方案，明显面向金融行业，属于银行IT等金融科技赛道。但输入中未出现AI相关证据。,True,True,False,False,False,,,True,300348.SZ,长亮科技,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,金融业务,系统、系统集成、解决方案、软件,,,,deepseek-v4-flash,1876,115,1991
True,none,证券IT、银行IT、保险IT,core,75,定制软件开发和销售、金融行业、服务费收入,主营业务包括定制软件开发和销售，且金融行业收入占主导，但产品名称宽泛，无具体金融科技产品描述，因此归为金融科技但需年报验证。,True,True,False,False,False,,,True,300377.SZ,赢时胜,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,金融业务、金融行业,软件,,,,deepseek-v4-flash,1678,129,1807
True,none,银行IT,core,75,信贷管理系统、风险管理系统、数据仓库和商业智能系统、非银行金融机构及其他系统,主营业务明确包含信贷管理系统、风险管理系统等银行专用IT解决方案，且收入规模大，属于核心业务。但输入中没有AI明确证据。,True,True,False,False,False,,,True,300380.SZ,安硕信息,软件服务,创业板,SZSE,20251231.0,True,命中明确金融科技产品/服务关键词,信贷管理系统,信贷、金融机构、银行,系统、软件,,,,deepseek-v4-flash,2004,122,2126
True,none,银行IT,important,75,软件开发及服务、银行业、非银金融机构,主营业务包括软件开发及服务，客户明确为银行业和非银金融机构，属于金融科技中的银行IT赛道，但未出现AI相关描述，且业务描述较宽泛。,True,True,False,False,False,,,True,300465.SZ,高伟达,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,金融机构、银行,系统、系统集成、软件,,,,deepseek-v4-flash,1946,118,2064
True,none,银行IT,core,75,银行,主营业务构成中'银行'作为主要收入来源，表明公司核心业务服务于银行，属于银行IT赛道。但产品描述较为宽泛，缺乏具体金融科技产品细节，且无AI证据。,True,True,False,False,False,,,True,300468.SZ,四方精创,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,金融机构、银行,系统、系统集成、软件,,,,deepseek-v4-flash,1728,114,1842
True,none,银行IT,important,75,全国性银行、区域性银行、软件解决方案,主营业务收入来源包括全国性银行和区域性银行，并提供软件解决方案，表明公司为银行业提供IT解决方案，属于银行IT赛道；但描述宽泛，缺乏AI证据，且IT基础设施建设收入较高，需年报进一步验证。,True,True,False,False,False,,,True,300541.SZ,先进数通,软件服务,创业板,SZSE,20251231.0,True,命中明确金融科技产品/服务关键词,银行软件,金融机构、银行,解决方案、软件,,,,deepseek-v4-flash,2472,130,2602
True,none,银行IT、其他金融科技,core,75,电子渠道及中台、互联网银行（含互联网核心）、非银金融机构、网银安全产品、国产数据库(中国),主营业务包含电子渠道及中台、互联网银行核心系统、非银金融机构解决方案、网银安全产品等，明确指向银行IT和金融科技，但输入中无AI相关证据。,True,True,False,False,False,,,True,300663.SZ,科蓝软件,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,金融机构、银行,软件,,,,deepseek-v4-flash,1930,155,2085
True,none,银行IT,core,75,银行IT解决方案、非银IT解决方案,主营包含银行IT解决方案和非银IT解决方案，明确为金融科技供应商，但无AI技术证据。,True,True,False,False,False,,,True,300674.SZ,宇信科技,软件服务,创业板,SZSE,20251231.0,True,命中明确金融科技产品/服务关键词,银行IT,金融机构、银行,解决方案、软件,,,,deepseek-v4-flash,2216,102,2318
True,none,支付科技,core,75,第三方支付、支付业务、科研服务,主营业务明确包括第三方支付和支付业务，属于支付科技赛道，但未提及人工智能相关证据。,True,True,False,False,False,,,True,300773.SZ,拉卡拉,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,支付,软件,,,,deepseek-v4-flash,1655,102,1757
True,none,金融数据,core,75,金融信息服务,主营业务包含金融信息服务，且按产品披露收入占比很大，属于金融数据赛道。但未提及人工智能技术，因此AI证据级别为none。,True,True,False,False,False,,,True,300803.SZ,指南针,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,证券,软件,,,,deepseek-v4-flash,1661,108,1769
True,none,支付科技、银行IT、其他金融科技,core,75,支付电子化解决方案、银行、财政管护、智慧财政、政企数智化,主营业务包括支付电子化解决方案和银行相关产品，属于金融科技领域，但产品名称较宽泛，无AI证据。,True,True,False,False,False,,,True,301153.SZ,中科江南,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,支付、银行,解决方案、软件,,,,deepseek-v4-flash,1996,138,2134
True,none,证券IT、银行IT、财富管理科技,important,75,证券经纪软件业务、银行软件业务、资管机构软件业务、综合金融软件业务、定制化服务,主营业务明确包含证券、银行、资管等专用金融软件，但输入中没有关于人工智能、AI、大模型等证据。,True,True,False,False,False,,,True,600446.SH,金证股份,软件服务,主板,SSE,20251231.0,True,命中明确金融科技产品/服务关键词,银行软件,证券、资管、银行,软件,,,,deepseek-v4-flash,2490,134,2624
True,none,财富管理科技、银行IT、证券IT、保险IT、金融数据、AI金融基础设施,core,75,财富科技服务、资管科技服务、运营与机构科技服务、企金、保险核心与金融基础设施科技服务、风险与平台科技服务,主营业务包含财富、资管、运营、企金保险核心、风险平台等明确的金融科技服务，且收入规模大，属于核心业务。但输入中未出现人工智能相关术语，故AI证据为无。,True,True,False,False,False,,,True,600570.SH,恒生电子,软件服务,主板,SSE,20251231.0,True,同时命中金融场景词与技术产品词,,保险、资管,平台、数据服务、软件,,,,deepseek-v4-flash,2352,174,2526
True,none,银行IT、保险IT,important,75,金融保险系统软件产品,主营业务包含'金融保险系统软件产品'，明确指向金融科技中的银行IT和保险IT赛道，但未提及AI技术证据。由于名称较为具体，但具体内容未知，置信度设为75，需要年报验证。,True,True,False,False,False,,,True,600624.SH,ST复华,化学制药,主板,SSE,20251231.0,True,同时命中金融场景词与技术产品词,,保险,系统、软件,,,,deepseek-v4-flash,2088,132,2220
True,none,金融数据、证券IT,core,75,金融资讯及数据PC终端服务系统、证券公司综合服务系统、港股服务系统、金融资讯及数据移动终端服务系统,主营业务明确包括金融资讯及数据终端服务系统、证券公司综合服务系统，属于金融数据与证券IT赛道，但输入没有AI证据。,True,True,False,False,False,,,True,601519.SH,大智慧,软件服务,主板,SSE,20251231.0,True,同时命中金融场景词与技术产品词,,保险、证券,平台、系统、软件,,,,deepseek-v4-flash,2395,134,2529
True,none,证券IT、金融数据,core,75,软件服务收入、软件销售、证券信息服务,主营业务包含证券信息服务和软件销售，明确指向证券IT和金融数据赛道，但无AI相关证据。,True,True,False,False,False,,,True,688318.SH,财富趋势,软件服务,科创板,SSE,20251231.0,True,同时命中金融场景词与技术产品词,,证券,软件,,,,deepseek-v4-flash,1849,109,1958
True,none,支付科技、财富管理科技,important,70,电子支付产品及信息识读产品、商户运营及增值服务、行业应用软件开发及服务(含硬件配套),主营业务包括电子支付产品、商户运营及增值服务，涉及支付科技和财富管理科技；但输入未提供AI相关证据，且业务描述较宽泛。,True,True,False,False,False,,,True,000997.SZ,新大陆,IT设备,主板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,支付,软件,,,,deepseek-v4-flash,1863,143,2006
True,none,其他金融科技,important,70,低代码平台和物联网平台建设及解决方案、金融行业、软件平台及物联网设备,主营业务包含金融行业解决方案和低代码平台，但未明确描述金融科技专用产品或AI技术，需年报验证具体金融场景。,True,True,False,False,False,,,True,300448.SZ,浩云科技,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,金融行业,平台、解决方案、软件,,,,deepseek-v4-flash,2074,120,2194
True,none,支付科技、银行IT,important,70,商户端支付解决方案、金融行业、银行端产品及服务,主营业务包含商户端支付解决方案、金融行业和银行端产品及服务，表明公司从事支付科技和银行IT相关的金融科技业务。但多项收入按地区披露，且主营商户端支付解决方案和银行端产品及服务占比不高，无AI相关证据。,True,True,False,False,False,,,True,300941.SZ,创识科技,IT设备,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,支付、金融行业、银行,信息技术、技术服务、解决方案、软件,,,,deepseek-v4-flash,2190,147,2337
True,none,财税科技、其他金融科技,important,70,数字财税业务、企业数字化、智慧业务,主营业务包括数字财税业务、企业数字化和智慧业务，其中数字财税业务直接涉及财税科技领域，但具体金融场景不明确；企业数字化和智慧业务范围较宽，未明确指向金融科技专用产品。无AI相关证据。,True,True,False,False,False,,,True,600271.SH,航天信息,软件服务,主板,SSE,20251231.0,True,同时命中金融场景词与技术产品词,,财税,数字化、软件,,,,deepseek-v4-flash,2093,138,2231
True,none,保险IT,important,70,保险类、定制软件收入,主营业务构成中保险类收入金额较大且单独列出，属于保险行业专用软件服务，符合保险IT赛道；但输入无人工智能相关证据，且业务描述较为宽泛，需年报确认具体产品。,True,True,False,False,False,,,True,603927.SH,中科软,软件服务,主板,SSE,20251231.0,True,同时命中金融场景词与技术产品词,,保险,软件,,,,deepseek-v4-flash,2290,122,2412
True,none,保险IT、银行IT,important,70,保险行业（行业）、银行及其他金融行业（行业）、IT解决方案、企服行业,主营业务明确包含保险行业和银行及其他金融行业，提供IT解决方案，属于金融科技。但输入中没有AI技术相关描述。,True,True,False,False,False,,,True,688590.SH,新致软件,软件服务,科创板,SSE,20251231.0,True,同时命中金融场景词与技术产品词,,保险、金融行业、银行,解决方案、软件,,,,deepseek-v4-flash,2152,132,2284
True,none,银行IT、其他金融科技,important,65,软件开发业务、系统集成业务、银行业、非银金融机构、专业技术服务,主营业务含软件开发、系统集成、专业技术服务，客户涉及银行业和非银金融机构，表明向金融领域提供IT解决方案，但产品名称宽泛，无专用软件或AI证据。,True,True,False,False,False,,,True,300542.SZ,新晨科技,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,金融机构、银行,技术服务、系统、系统集成、软件,,,,deepseek-v4-flash,1980,133,2113
True,none,财税科技,core,60,数智财税业务,主营业务包含数智财税业务，属于面向财税场景的科技服务，符合财税科技赛道。但数字政务业务占比高且不直接属于金融科技，且缺乏AI技术证据。,True,True,False,False,False,,,True,603171.SH,税友股份,软件服务,主板,SSE,20251231.0,True,同时命中金融场景词与技术产品词,,财税,信息技术、技术服务、软件,,,,deepseek-v4-flash,1970,114,2084
False,explicit,,none,70,,主营业务包括检验检测信息管理软件、数据资产管理软件、人工智能软件、供应链管理软件等，但未明确指向金融科技专用产品、系统或解决方案，且金融行业客户或场景未提及。,True,False,True,False,False,,,False,301159.SZ,三维天地,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,资产管理,信息技术、技术服务、软件,,,,deepseek-v4-flash,2197,110,2307
True,none,支付科技、其他金融科技,weak,75,移动支付产品、金融增值服务业务,主营业务中包含移动支付产品和金融增值服务业务，属于金融科技范畴，但收入占比较小，且无AI证据。,True,False,False,False,False,,,False,300180.SZ,华峰超纤,化纤,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,支付,技术服务,,,,deepseek-v4-flash,2171,111,2282
True,none,其他金融科技,weak,65,,主营业务中明确有'金融科技服务'产品项目，但收入占比极低，且无具体技术或场景描述，无法确定具体赛道。,True,False,False,False,True,金融机构,公司属于银行、证券、保险、信托、期货、租赁等金融机构。金融科技能力通常不会单独列入主营业务项目，建议通过年度报告进一步核验。,True,000567.SZ,海德股份,多元金融,主板,SZSE,20251231.0,True,命中明确金融科技产品/服务关键词,金融科技服务,资产管理,,多元金融,资产管理业务,,deepseek-v4-flash,1896,136,2032
True,none,保险IT、其他金融科技,weak,65,保险业务、保险佣金、认证供应商服务、在线交易平台,公司有保险业务和保险佣金收入，涉及保险科技；认证供应商服务和在线交易平台可能涉及金融相关技术服务，但描述不具体。没有AI证据。,True,False,False,False,True,金融机构,公司属于银行、证券、保险、信托、期货、租赁等金融机构。金融科技能力通常不会单独列入主营业务项目，建议通过年度报告进一步核验。,True,002315.SZ,焦点科技,互联网,主板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,保险,平台,,保险业务,,deepseek-v4-flash,2488,126,2614
True,none,支付科技、保险IT,weak,65,商品邮购分期、信用卡账单分期、保险中介服务业务、数据服务、软件即服务Saas业务,主营业务包含邮购分期、账单分期（支付科技），保险中介服务（保险IT），以及数据服务和SaaS业务，但描述宽泛，未明确为金融专用解决方案，且收入占比低，无AI证据。,True,False,False,False,False,,,False,300061.SZ,旗天科技,互联网,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,保险,SaaS、数据服务、软件,,,,deepseek-v4-flash,2155,149,2304
True,none,其他金融科技,weak,65,金融行业相关产品、金融科技行业,主营业务中包含'金融科技行业'和'金融行业相关产品'，表明公司有金融科技业务，但收入占比较低且缺少具体产品描述，无法判断具体赛道。,True,False,False,False,False,,,False,300079.SZ,数码视讯,IT设备,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,金融行业,技术服务、软件,,,,deepseek-v4-flash,2488,119,2607
True,none,支付科技、其他金融科技,weak,60,支付业务、酒店信息管理系统业务、零售信息管理系统业务、餐饮信息管理系统业务、智能设备,公司主营业务为信息管理系统和支付业务，支付业务明确为金融科技；但支付业务收入占比较低（约1.8%），且无AI证据。其他业务如酒店、零售、餐饮系统主要为客户管理，不直接面向金融领域。需年报验证支付业务具体形态。,True,False,False,False,False,,,False,002153.SZ,石基信息,软件服务,主板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,支付,系统、软件,,,,deepseek-v4-flash,2098,162,2260
True,none,银行IT,weak,60,银行,主营业务构成中包含'银行'项目，但未详细说明产品或解决方案，且无AI证据。法院和司法辅助服务占比更大，银行相关业务不明确。,True,False,False,False,False,,,False,301378.SZ,通达海,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,银行,系统、系统集成、软件,,,,deepseek-v4-flash,2337,106,2443
True,none,财务SaaS、其他金融科技,weak,55,财务数字化-GMC、商业保理,主营业务包含财务数字化-GMC（可能涉及财务SaaS）和商业保理（金融业务），但描述不具体，缺乏明确金融科技产品证据，且商业保理收入占比极低。,True,False,False,False,False,,,False,300170.SZ,汉得信息,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,财务,数字化、软件,,,,deepseek-v4-flash,1896,128,2024
False,none,,none,95,运输行业、客运收入、保险代理费,主营业务为交通运输、客运、保险代理等传统行业，仅保险代理费涉及保险中介，但并非保险科技服务。软件销售收入金额极小，且未披露具体产品是否为金融专用。无金融科技相关软件、系统或数据服务。,False,False,False,False,False,,,False,002357.SZ,富临运业,公共交通,主板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,保险,软件,,,,deepseek-v4-flash,2462,130,2592
False,none,,none,95,养护决策方案咨询、路况快速检测系统开发与集成、公路资产管理系统开发和销售、路面升级改造工程实施收入,主营业务全部为公路养护、检测、资产管理、工程实施等非金融科技领域，无任何金融科技相关产品、服务或客户。,False,False,False,False,False,,,False,603860.SH,中公高科,建筑工程,主板,SSE,20251231.0,True,命中明确金融科技产品/服务关键词,资产管理系统,资产管理,系统,,,,deepseek-v4-flash,1532,126,1658
False,none,,none,90,物业管理(行业),主营业务均为物业管理、资产管理等传统房产服务，未涉及任何金融科技相关业务。,False,False,False,False,False,,,False,001914.SZ,招商积余,房产服务,主板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,资产管理,平台,,,,deepseek-v4-flash,2490,90,2580
False,none,,none,80,,主营业务为物联网终端设备，如车载信息智能终端、资产管理终端等，属于通信设备行业，未涉及金融科技业务。,False,False,False,False,False,,,False,300590.SZ,移为通信,通信设备,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,资产管理,智能化,,,,deepseek-v4-flash,1888,94,1982
False,none,,none,75,网资管理(行业)、网安,主营业务为网资管理和网安，属于网络安全领域，未体现金融科技专用产品、金融客户或金融场景。,True,False,False,False,False,,,False,300311.SZ,ST任子行,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,资管,软件,,,,deepseek-v4-flash,1801,102,1903
False,none,,none,75,,主营业务项目包括石油石化、煤炭电力、建筑房地产等，以及金融行业，但金融行业收入占比较小且未明确为金融科技专用产品；其余项目如业财融合、集团财务、XBRL应用等可能涉及财务软件，但未明确金融科技属性；无AI证据。,True,False,False,False,False,,,False,300996.SZ,普联软件,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,司库、财务、金融行业,软件,,,,deepseek-v4-flash,2464,130,2594
False,none,,none,75,电子元器件、智能手机与电脑类、智能头显与智能穿戴类,主营业务为电子元器件制造，涉及智能手机、电脑、智能穿戴、光伏设备等，与金融科技无关。,False,False,False,False,False,,,False,301051.SZ,信濠光电,元器件,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,保险,系统,,,,deepseek-v4-flash,2200,108,2308
False,none,,none,75,IT基础设施运维支持服务、软硬件产品,主营业务为IT基础设施运维和软硬件销售，虽服务银行等金融机构，但缺乏金融专用软件或解决方案证据，不属于实质金融科技。,True,False,False,False,False,,,False,301208.SZ,中亦科技,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,银行,软件,,,,deepseek-v4-flash,2270,108,2378
False,none,,none,75,,主营业务以融资租赁、小额贷款、典当、担保等传统类金融业务为主，虽有软件开发及维护和网络银行云服务项目，但无明确金融科技产品描述，且公司为多元金融行业自身运营，非金融科技供应商。,True,False,False,False,True,金融机构,公司属于银行、证券、保险、信托、期货、租赁等金融机构。金融科技能力通常不会单独列入主营业务项目，建议通过年度报告进一步核验。,True,600318.SH,新力金融,多元金融,主板,SSE,20251231.0,True,同时命中金融场景词与技术产品词,,银行,云服务、信息技术、技术服务、软件,多元金融,典当业务、小额贷款业务,,deepseek-v4-flash,2230,119,2349
False,none,,none,75,装饰复合材料制造业,主营业务为装饰复合材料、封边装饰材料、板材装饰材料等，无任何金融科技业务证据。其中'软件及技术服务'收入微小且未说明用途，'基金管理'收入极小且属于投资管理，不构成金融科技供应商。,False,False,False,False,False,,,False,603038.SH,华立股份,家居用品,主板,SSE,20251231.0,True,同时命中金融场景词与技术产品词,,基金,技术服务、软件,,,,deepseek-v4-flash,2212,122,2334
False,none,,none,75,,主营业务包括云计算业务、行业信息化业务、芯片销售等，其中教育&金融行业虽有金融客户但属于行业分类，无金融科技专用产品或解决方案证据，且无AI证据。,True,False,False,False,False,,,False,688227.SH,品高股份,软件服务,科创板,SSE,20251231.0,True,同时命中金融场景词与技术产品词,,金融行业,软件,,,,deepseek-v4-flash,2486,106,2592
False,none,,none,70,多媒体信息系统、数据中心系统建设及服务、生产监控与应急指挥系统,主营业务为多媒体信息系统、数据中心建设等，虽有金融行业客户，但无专用金融科技产品证据。,True,False,False,False,False,,,False,002771.SZ,真视通,软件服务,主板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,金融行业,信息系统、系统、软件,,,,deepseek-v4-flash,2214,107,2321
False,none,,none,70,民生服务行业、定制软件及IC、保险经纪行业,主营业务为民生服务行业、定制软件及IC，保险经纪收入极小，未体现金融科技专用产品或解决方案。,True,False,False,False,False,,,False,300096.SZ,ST易联众,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,保险,技术服务、系统、系统集成、软件,,,,deepseek-v4-flash,2379,106,2485
False,none,,none,70,IDC及增值服务、IDC及云平台信息系统集成、其他互联网综合服务,主营业务为IDC及云平台集成等，虽提及金融行业客户但无金融科技专用产品或解决方案，属于通用IT服务。,True,False,False,False,False,,,False,300895.SZ,铜牛信息,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,金融行业,信息系统、平台、系统、系统集成、软件,,,,deepseek-v4-flash,1906,116,2022
False,none,,none,60,支付、保险及其他业务、智能公路港业务,主营业务以化学、物流等为主，虽有支付、保险业务，但未体现专用金融科技产品，且智能公路港属于物流基础设施，非金融科技。,False,False,False,False,False,,,False,002010.SZ,传化智联,仓储物流,主板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,保险、支付,平台,,,,deepseek-v4-flash,2319,113,2432
False,none,,none,60,应用软件及服务、金融行业、系统集成设备,主营业务中虽有'金融行业'和'应用软件及服务'，但'金融行业'仅表明客户行业，未说明具体金融科技产品或解决方案；'应用软件及服务'描述宽泛，无法确认为金融科技；'系统集成设备'属于通用硬件集成。无明确金融科技赛道产品或AI证据。,True,False,False,False,False,,,False,300047.SZ,天源迪科,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,金融行业,系统、系统集成、软件,,,,deepseek-v4-flash,2433,149,2582
False,none,,none,50,IT基础设施服务、系统集成设备、银行业,主营为IT基础设施服务和系统集成设备，虽有银行业收入，但不属于面向金融场景的软件、系统或解决方案；未提供金融科技专用产品证据。,True,False,False,False,False,,,False,300231.SZ,银信科技,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,保险、证券、金融行业、银行,系统、系统集成、软件,,,,deepseek-v4-flash,2170,112,2282
False,none,,weak,50,,主营业务包括软件产品、系统集成设备、技术服务等，金融行业收入规模较小且缺乏专用金融科技产品描述，无法明确认定为实质从事金融科技业务。,True,False,False,False,False,,,False,300352.SZ,ST信源,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,金融行业,技术服务、系统、系统集成、软件,,,,deepseek-v4-flash,2390,113,2503
False,none,,weak,40,金融行业,主营业务中仅有'金融行业'作为行业分类，未提及任何金融科技专用产品、解决方案或技术，不足以认定公司实质从事金融科技业务。缺乏AI相关证据。,True,False,False,False,False,,,False,300166.SZ,东方国信,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,金融行业,技术服务、系统、系统集成、软件,,,,deepseek-v4-flash,2350,107,2457
